,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,BTCUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 01:09:50","51,599.1 USDT",+145.81 USDT,200 Contracts,"02/21/2024, 01:38:15","51,703.0 USDT",+1.41%
1,BTCUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 07:28:59","52,322.9 USDT",+192.86 USDT,200 Contracts,"02/20/2024, 17:20:43","52,460.2 USDT",+1.84%
2,BTCUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 08:18:25","52,193.2 USDT",+354.78 USDT,200 Contracts,"02/20/2024, 17:14:48","52,411.4 USDT",+3.39%
3,BTCUSDT Perpetual,Cross,Long 10.00x,"02/14/2024, 09:18:32","51,549.9 USDT",+928.33 USDT,200 Contracts,"02/20/2024, 16:59:10","52,233.2 USDT",+9.00%
4,BTCUSDT Perpetual,Cross,Long 10.00x,"02/14/2024, 04:35:59","51,476.7 USDT","-1,016.06 USDT",200 Contracts,"02/17/2024, 07:35:34","51,101.9 USDT",-9.87%
5,BTCUSDT Perpetual,Cross,Long 10.00x,"02/14/2024, 14:13:45","51,729.1 USDT","+1,199.99 USDT",200 Contracts,"02/14/2024, 18:23:39","52,378.3 USDT",+11.59%
6,BTCUSDT Perpetual,Cross,Long 10.00x,"02/14/2024, 06:06:06","51,697.1 USDT",-765.55 USDT,200 Contracts,"02/14/2024, 09:16:29","51,365.9 USDT",-7.41%
7,BTCUSDT Perpetual,Cross,Long 10.00x,"02/14/2024, 08:09:21","51,715.1 USDT",-707.33 USDT,200 Contracts,"02/14/2024, 09:16:25","51,413.0 USDT",-6.84%
8,BTCUSDT Perpetual,Cross,Long 10.00x,"02/10/2024, 14:51:52","48,100.3 USDT","+6,393.02 USDT",200 Contracts,"02/14/2024, 03:10:59","51,440.0 USDT",+66.45%
9,BTCUSDT Perpetual,Cross,Long 10.00x,"02/05/2024, 01:55:42","43,117.1 USDT","+16,267.78 USDT",200 Contracts,"02/14/2024, 03:10:59","51,442.7 USDT",+188.64%
10,BTCUSDT Perpetual,Cross,Long 10.00x,"02/10/2024, 22:25:05","48,436.0 USDT","+5,748.22 USDT",200 Contracts,"02/14/2024, 03:10:59","51,454.1 USDT",+59.33%
