,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,JUPUSDT Perpetual,Cross,Long 14.00x,"02/21/2024, 08:17:41",0.4609 USDT,+15.27 USDT,200 Contracts,"02/21/2024, 10:17:16",0.4690 USDT,+23.19%
1,JUPUSDT Perpetual,Cross,Long 14.00x,"02/21/2024, 08:15:17",0.4660 USDT,+5.86 USDT,200 Contracts,"02/21/2024, 10:13:31",0.4692 USDT,+8.80%
2,JUPUSDT Perpetual,Cross,Long 14.00x,"02/21/2024, 08:13:02",0.4665 USDT,+10.79 USDT,500 Contracts,"02/21/2024, 10:10:36",0.4689 USDT,+6.48%
3,LPTUSDT Perpetual,Cross,Long 20.00x,"02/21/2024, 09:35:51",14.754 USDT,+26.05 USDT,"1,000 Contracts","02/21/2024, 10:02:07",15.027 USDT,+35.32%
4,LPTUSDT Perpetual,Cross,Long 20.00x,"02/21/2024, 09:31:44",14.756 USDT,+23.29 USDT,"1,000 Contracts","02/21/2024, 10:01:47",15.000 USDT,+31.57%
5,JUPUSDT Perpetual,Cross,Long 14.00x,"02/21/2024, 08:14:19",0.4660 USDT,+14.24 USDT,500 Contracts,"02/21/2024, 10:01:30",0.4691 USDT,+8.56%
6,JUPUSDT Perpetual,Cross,Long 14.00x,"02/21/2024, 08:21:03",0.4617 USDT,+2.96 USDT,50 Contracts,"02/21/2024, 09:35:19",0.4679 USDT,+17.97%
7,BTCUSDT Perpetual,Cross,Long 14.00x,"02/21/2024, 08:17:15","50,983.7 USDT",+9.51 USDT,10 Contracts,"02/21/2024, 08:46:30","51,129.9 USDT",+2.61%
8,ETHUSDT Perpetual,Cross,Long 20.00x,"02/21/2024, 08:36:24","2,872.60 USDT",+37.57 USDT,20 Contracts,"02/21/2024, 08:37:31","2,894.27 USDT",+13.07%
9,ETHUSDT Perpetual,Cross,Long 20.00x,"02/21/2024, 08:27:43","2,888.43 USDT",+5.89 USDT,20 Contracts,"02/21/2024, 08:37:31","2,894.27 USDT",+2.03%
10,BTCUSDT Perpetual,Cross,Long 14.00x,"02/21/2024, 07:32:59","51,010.1 USDT",+14.30 USDT,10 Contracts,"02/21/2024, 08:12:18","51,204.3 USDT",+3.92%
11,BTCUSDT Perpetual,Cross,Long 14.00x,"02/21/2024, 05:46:08","50,935.5 USDT",+31.38 USDT,10 Contracts,"02/21/2024, 06:38:44","51,300.5 USDT",+8.62%
12,BTCUSDT Perpetual,Cross,Long 14.00x,"02/21/2024, 04:52:01","51,382.6 USDT",-17.61 USDT,10 Contracts,"02/21/2024, 06:38:07","51,257.9 USDT",-4.80%
13,JUPUSDT Perpetual,Cross,Long 14.00x,"02/21/2024, 04:10:54",0.4705 USDT,+34.55 USDT,500 Contracts,"02/21/2024, 04:28:46",0.4776 USDT,+20.56%
14,JUPUSDT Perpetual,Cross,Long 14.00x,"02/21/2024, 04:08:39",0.4705 USDT,+34.55 USDT,500 Contracts,"02/21/2024, 04:28:46",0.4776 USDT,+20.56%
15,JUPUSDT Perpetual,Cross,Long 14.00x,"02/21/2024, 04:06:57",0.4705 USDT,+11.47 USDT,166 Contracts,"02/21/2024, 04:28:46",0.4776 USDT,+20.56%
16,JUPUSDT Perpetual,Cross,Long 14.00x,"02/21/2024, 04:00:22",0.4747 USDT,+16.36 USDT,606 Contracts,"02/21/2024, 04:28:46",0.4776 USDT,+7.96%
17,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 20:52:04","3,008.80 USDT",+264.74 USDT,50 Contracts,"02/21/2024, 00:48:59","2,952.87 USDT",+35.19%
18,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 18:01:01","3,016.46 USDT",+286.32 USDT,50 Contracts,"02/21/2024, 00:48:19","2,958.00 USDT",+37.96%
19,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 14:27:16","2,975.07 USDT",+17.33 USDT,50 Contracts,"02/21/2024, 00:36:48","2,971.00 USDT",+2.33%
20,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 11:36:20","2,908.38 USDT",-505.45 USDT,50 Contracts,"02/20/2024, 18:18:30","3,008.00 USDT",-69.52%
21,ETHUSDT Perpetual,Cross,Long 20.00x,"02/20/2024, 18:13:22","3,015.79 USDT",-12.59 USDT,50 Contracts,"02/20/2024, 18:13:34","3,016.29 USDT",-1.67%
22,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 11:29:30","2,904.52 USDT",+7.43 USDT,50 Contracts,"02/20/2024, 11:33:23","2,901.00 USDT",+1.02%
23,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 11:23:03","2,906.61 USDT",+3.73 USDT,50 Contracts,"02/20/2024, 11:23:19","2,903.83 USDT",+0.51%
24,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 11:22:20","2,907.78 USDT",+9.58 USDT,50 Contracts,"02/20/2024, 11:23:19","2,903.83 USDT",+1.31%
25,WLDUSDT Perpetual,Cross,Long 20.00x,"02/20/2024, 11:02:46",6.300 USDT,+13.04 USDT,300 Contracts,"02/20/2024, 11:11:20",6.346 USDT,+13.80%
26,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 07:29:31","2,970.00 USDT",+361.86 USDT,50 Contracts,"02/20/2024, 10:58:52","2,896.23 USDT",+48.73%
27,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 01:15:54","2,923.65 USDT",+136.72 USDT,50 Contracts,"02/20/2024, 10:58:52","2,896.23 USDT",+18.70%
28,ETHUSDT Perpetual,Cross,Short 20.00x,"02/18/2024, 23:59:30","2,906.17 USDT",-17.46 USDT,50 Contracts,"02/20/2024, 10:47:31","2,911.00 USDT",-2.41%
29,ETHUSDT Perpetual,Cross,Short 20.00x,"02/18/2024, 22:24:55","2,893.45 USDT",-52.18 USDT,30 Contracts,"02/20/2024, 09:36:58","2,911.00 USDT",-12.03%
30,ETHUSDT Perpetual,Cross,Short 20.00x,"02/18/2024, 21:14:19","2,887.84 USDT",-46.00 USDT,20 Contracts,"02/20/2024, 09:36:58","2,911.00 USDT",-15.93%
31,ETHUSDT Perpetual,Cross,Short 20.00x,"02/18/2024, 21:03:56","2,883.47 USDT",-53.06 USDT,20 Contracts,"02/20/2024, 09:30:25","2,909.29 USDT",-18.41%
32,ETHUSDT Perpetual,Cross,Short 20.00x,"02/18/2024, 21:03:40","2,884.45 USDT",-76.65 USDT,30 Contracts,"02/20/2024, 09:30:25","2,909.29 USDT",-17.72%
