,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,STRKUSDT Perpetual,Isolated,Long 2.00x,"02/20/2024, 18:18:57",1.9300 USDT,+261.44 USDT,"5,181 Contracts","02/20/2024, 18:27:23",1.9818 USDT,+5.22%
1,LPTUSDT Perpetual,Isolated,Long 3.00x,"02/20/2024, 09:29:34",14.440 USDT,+502.43 USDT,"10,353 Contracts","02/20/2024, 18:15:31",14.945 USDT,+10.08%
2,PERPUSDT Perpetual,Isolated,Long 2.00x,"02/20/2024, 09:29:31",1.3250 USDT,+418.23 USDT,"11,320 Contracts","02/20/2024, 10:14:23",1.3634 USDT,+5.57%
3,PERPUSDT Perpetual,Isolated,Long 2.00x,"02/19/2024, 15:39:53",1.4599 USDT,+528.01 USDT,"10,273 Contracts","02/19/2024, 17:00:20",1.5120 USDT,+7.04%
4,COREUSDT Perpetual,Isolated,Long 2.00x,"02/19/2024, 09:53:55",0.7231 USDT,+543.21 USDT,"20,721 Contracts","02/19/2024, 10:11:32",0.7501 USDT,+7.25%
5,RONUSDT Perpetual,Isolated,Long 3.00x,"02/18/2024, 15:12:00",3.222 USDT,+47.62 USDT,"1,551 Contracts","02/18/2024, 16:01:47",3.254 USDT,+2.85%
6,LPTUSDT Perpetual,Isolated,Short 3.00x,"02/17/2024, 06:53:45",18.233 USDT,-489.70 USDT,"8,226 Contracts","02/17/2024, 11:37:36",18.600 USDT,-9.80%
7,USTCUSDT Perpetual,Isolated,Long 2.00x,"02/16/2024, 20:49:48",0.03122 USDT,+203.37 USDT,"4,804 Contracts","02/17/2024, 05:54:00",0.03167 USDT,+2.71%
8,TIAUSDT Perpetual,Isolated,Long 2.00x,"02/16/2024, 10:01:30",18.079 USDT,+515.87 USDT,829 Contracts,"02/16/2024, 20:02:01",18.713 USDT,+6.88%
9,USTCUSDT Perpetual,Isolated,Long 2.00x,"02/16/2024, 08:53:45",0.03140 USDT,+306.29 USDT,"4,777 Contracts","02/16/2024, 10:21:25",0.03207 USDT,+4.08%
10,LPTUSDT Perpetual,Isolated,Short 3.00x,"02/16/2024, 02:14:12",12.101 USDT,+20.26 USDT,"1,242 Contracts","02/16/2024, 05:45:38",11.926 USDT,+4.04%
11,LPTUSDT Perpetual,Isolated,Short 3.00x,"02/16/2024, 02:19:09",12.500 USDT,+144.29 USDT,"12,000 Contracts","02/16/2024, 03:31:14",12.375 USDT,+2.88%
12,LPTUSDT Perpetual,Isolated,Short 3.00x,"02/16/2024, 02:15:44",12.360 USDT,+166.46 USDT,"12,135 Contracts","02/16/2024, 02:16:29",12.215 USDT,+3.32%
13,LPTUSDT Perpetual,Isolated,Short 3.00x,"02/16/2024, 01:16:15",11.300 USDT,+257.99 USDT,"13,458 Contracts","02/16/2024, 01:42:29",11.101 USDT,+5.08%
14,TURBOUSDT Perpetual,Isolated,Long 2.00x,"01/31/2024, 00:25:32",0.0003549 USDT,+210.35 USDT,"2,535 Contracts","02/15/2024, 20:59:15",0.0003656 USDT,+4.67%
15,USTCUSDT Perpetual,Isolated,Short 3.00x,"02/15/2024, 07:45:15",0.03677 USDT,+144.95 USDT,"4,079 Contracts","02/15/2024, 09:45:52",0.03640 USDT,+2.89%
16,TURBOUSDT Perpetual,Isolated,Long 2.00x,"02/13/2024, 09:52:00",0.0003288 USDT,+457.76 USDT,"4,562 Contracts","02/14/2024, 03:36:13",0.0003393 USDT,+6.10%
17,GMXUSDT Perpetual,Isolated,Long 2.00x,"02/12/2024, 08:24:20",41.55 USDT,+504.76 USDT,"3,561 Contracts","02/12/2024, 11:26:25",42.99 USDT,+6.82%
18,PEPEUSDT Perpetual,Isolated,Long 2.00x,"01/30/2024, 18:53:38",0.000000986 USDT,+479.91 USDT,"1,521 Contracts","02/09/2024, 07:38:45",0.000001021 USDT,+6.40%
19,JUPUSDT Perpetual,Isolated,Long 3.00x,"02/08/2024, 21:58:57",0.5019 USDT,+175.36 USDT,"2,988 Contracts","02/09/2024, 01:35:27",0.5081 USDT,+3.50%
20,ICPUSDT Perpetual,Isolated,Long 3.00x,"02/07/2024, 04:42:39",11.974 USDT,+514.06 USDT,"125,271 Contracts","02/07/2024, 18:24:33",12.393 USDT,+10.28%
21,YFIIUSDT Perpetual,Isolated,Long 2.00x,"02/02/2024, 20:56:20",984.80,-682.78 USDT,"15,231 Contracts","02/07/2024, 02:01:12",941.51,-9.11%
22,TURBOUSDT Perpetual,Isolated,Long 2.00x,"02/03/2024, 09:51:04",0.0003138 USDT,+392.12 USDT,"3,186 Contracts","02/05/2024, 09:15:02",0.0003265 USDT,+7.84%
23,YFIIUSDT Perpetual,Isolated,Long 2.00x,"02/01/2024, 11:22:33","1,000.00",+110.33 USDT,"6,000 Contracts","02/03/2024, 02:37:50","1,019.30",+3.67%
24,YFIIUSDT Perpetual,Isolated,Long 2.00x,"02/01/2024, 10:24:02","1,536.00","-2,956.07 USDT","7,812 Contracts","02/03/2024, 02:37:50","1,158.08",-49.28%
25,YFIIUSDT Perpetual,Isolated,Long 2.00x,"02/02/2024, 18:46:03",998.50,+426.03 USDT,"13,019 Contracts","02/02/2024, 20:00:42","1,031.93",+6.55%
26,YFIIUSDT Perpetual,Isolated,Long 2.00x,"02/02/2024, 18:44:02","1,000.00",+45.57 USDT,"1,490 Contracts","02/02/2024, 20:00:42","1,031.30",+6.11%
27,YFIIUSDT Perpetual,Isolated,Long 3.00x,"02/01/2024, 11:36:17",800.00,"+1,449.04 USDT","15,000 Contracts","02/01/2024, 11:49:20",897.21,+36.22%
28,AUCTIONUSDT Perpetual,Isolated,Long 3.00x,"01/30/2024, 06:21:53",24.700 USDT,-420.24 USDT,"6,072 Contracts","02/01/2024, 11:38:42",24.041 USDT,-8.41%
29,MATICUSDT Perpetual,Isolated,Long 3.00x,"01/17/2024, 08:49:01",0.8495 USDT,-104.74 USDT,235 Contracts,"02/01/2024, 11:35:11",0.8073 USDT,-15.74%
30,MATICUSDT Perpetual,Isolated,Long 3.00x,"01/16/2024, 10:57:41",0.8482 USDT,-508.21 USDT,"1,178 Contracts","02/01/2024, 11:35:11",0.8073 USDT,-15.26%
31,MATICUSDT Perpetual,Isolated,Long 3.00x,"01/15/2024, 10:27:51",0.8387 USDT,-120.87 USDT,357 Contracts,"02/01/2024, 11:35:11",0.8074 USDT,-12.12%
32,YFIIUSDT Perpetual,Isolated,Long 3.00x,"02/01/2024, 09:48:56","1,920.00",+26.68 USDT,"6,250 Contracts","02/01/2024, 10:03:26","1,925.00",+0.66%
