,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,LPTUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 08:30:55",14.726 USDT,+13.68 USDT,500 Contracts,"02/21/2024, 08:36:03",14.438 USDT,+18.58%
1,WLDUSDT Perpetual,Cross,Short 2.00x,"02/21/2024, 03:47:48",6.742 USDT,+11.00 USDT,207 Contracts,"02/21/2024, 03:57:21",6.684 USDT,+1.57%
2,ORDIUSDT Perpetual,Cross,Long 2.00x,"02/19/2024, 01:43:57",73.015 USDT,-108.68 USDT,400 Contracts,"02/20/2024, 08:00:27",70.440 USDT,-7.45%
3,ORDIUSDT Perpetual,Cross,Long 5.00x,"02/19/2024, 02:02:10",72.355 USDT,-16.97 USDT,100 Contracts,"02/20/2024, 07:45:31",70.765 USDT,-11.73%
4,ORDIUSDT Perpetual,Cross,Long 5.00x,"02/19/2024, 08:03:24",69.800 USDT,+10.82 USDT,150 Contracts,"02/20/2024, 07:40:11",70.628 USDT,+5.16%
5,ORDIUSDT Perpetual,Cross,Long 5.00x,"02/19/2024, 18:59:56",68.821 USDT,+18.97 USDT,150 Contracts,"02/20/2024, 07:36:14",70.160 USDT,+9.19%
6,ORDIUSDT Perpetual,Cross,Long 5.00x,"02/19/2024, 19:21:23",68.286 USDT,+28.20 USDT,150 Contracts,"02/20/2024, 07:36:07",70.260 USDT,+13.76%
7,ORDIUSDT Perpetual,Cross,Long 5.00x,"02/19/2024, 22:05:56",67.940 USDT,+23.40 USDT,100 Contracts,"02/20/2024, 07:36:06",70.354 USDT,+17.22%
8,WLDUSDT Perpetual,Cross,Long 5.00x,"02/19/2024, 22:08:33",6.717 USDT,+8.82 USDT,100 Contracts,"02/19/2024, 22:30:48",6.810 USDT,+6.57%
9,WLDUSDT Perpetual,Cross,Long 5.00x,"02/19/2024, 22:08:16",6.690 USDT,+10.26 USDT,89 Contracts,"02/19/2024, 22:30:48",6.810 USDT,+8.61%
10,WLDUSDT Perpetual,Cross,Short 5.00x,"02/19/2024, 02:59:27",7.250 USDT,+22.01 USDT,400 Contracts,"02/19/2024, 08:43:09",7.191 USDT,+3.79%
11,WLDUSDT Perpetual,Cross,Short 5.00x,"02/19/2024, 05:36:48",7.708 USDT,+28.20 USDT,88 Contracts,"02/19/2024, 07:48:16",7.380 USDT,+20.78%
12,WLDUSDT Perpetual,Cross,Short 5.00x,"02/19/2024, 05:52:52",7.765 USDT,+14.88 USDT,50 Contracts,"02/19/2024, 07:41:03",7.462 USDT,+19.17%
13,WLDUSDT Perpetual,Cross,Short 5.00x,"02/19/2024, 06:17:47",7.854 USDT,+15.93 USDT,40 Contracts,"02/19/2024, 07:41:00",7.447 USDT,+25.37%
14,WLDUSDT Perpetual,Cross,Short 5.00x,"02/19/2024, 03:01:21",7.332 USDT,+13.23 USDT,200 Contracts,"02/19/2024, 04:25:43",7.259 USDT,+4.51%
15,WLDUSDT Perpetual,Cross,Short 5.00x,"02/19/2024, 03:04:55",7.365 USDT,+6.87 USDT,80 Contracts,"02/19/2024, 04:25:34",7.274 USDT,+5.83%
16,WLDUSDT Perpetual,Cross,Short 5.00x,"02/19/2024, 03:15:38",7.398 USDT,+9.03 USDT,80 Contracts,"02/19/2024, 04:25:32",7.280 USDT,+7.62%
17,ORDIUSDT Perpetual,Cross,Long 20.00x,"02/19/2024, 02:54:17",71.441 USDT,+1.57 USDT,100 Contracts,"02/19/2024, 03:04:21",71.665 USDT,+4.42%
18,ORDIUSDT Perpetual,Cross,Long 20.00x,"02/19/2024, 02:05:51",72.026 USDT,+8.34 USDT,100 Contracts,"02/19/2024, 02:15:06",72.911 USDT,+23.16%
19,WLDUSDT Perpetual,Cross,Short 5.00x,"02/18/2024, 10:58:17",6.315 USDT,+28.88 USDT,100 Contracts,"02/18/2024, 13:38:03",6.020 USDT,+22.86%
20,WLDUSDT Perpetual,Cross,Short 5.00x,"02/18/2024, 10:57:09",6.160 USDT,+20.08 USDT,150 Contracts,"02/18/2024, 13:38:03",6.020 USDT,+10.86%
21,WLDUSDT Perpetual,Cross,Short 5.00x,"02/18/2024, 10:56:27",6.017 USDT,-1.97 USDT,300 Contracts,"02/18/2024, 13:38:03",6.020 USDT,-0.55%
22,WLDUSDT Perpetual,Cross,Long 5.00x,"02/17/2024, 08:32:53",4.657 USDT,+13.19 USDT,300 Contracts,"02/17/2024, 08:39:52",4.705 USDT,+4.72%
23,BTCUSDT Perpetual,Cross,Short 10.00x,"02/16/2024, 09:16:58","51,801.7 USDT",+43.32 USDT,40 Contracts,"02/17/2024, 03:09:43","51,671.0 USDT",+2.09%
24,ETHUSDT Perpetual,Cross,Short 10.00x,"02/16/2024, 09:11:52","2,789.04 USDT",+13.05 USDT,20 Contracts,"02/16/2024, 09:13:19","2,779.73 USDT",+2.33%
25,ETHUSDT Perpetual,Cross,Short 10.00x,"02/16/2024, 09:11:34","2,789.22 USDT",+20.11 USDT,30 Contracts,"02/16/2024, 09:13:19","2,779.73 USDT",+2.40%
26,ETHUSDT Perpetual,Cross,Short 10.00x,"02/16/2024, 09:11:18","2,792.10 USDT",+11.50 USDT,12 Contracts,"02/16/2024, 09:13:19","2,779.73 USDT",+3.43%
27,API3USDT Perpetual,Cross,Short 10.00x,"02/15/2024, 08:08:35",4.595 USDT,+13.57 USDT,150 Contracts,"02/15/2024, 15:26:18",4.505 USDT,+19.69%
28,API3USDT Perpetual,Cross,Short 10.00x,"02/15/2024, 07:58:52",4.578 USDT,+37.11 USDT,500 Contracts,"02/15/2024, 15:26:18",4.505 USDT,+16.21%
29,ETHUSDT Perpetual,Cross,Short 10.00x,"02/15/2024, 08:49:28","2,850.47 USDT",+7.36 USDT,5 Contracts,"02/15/2024, 09:31:40","2,833.75 USDT",+5.16%
30,ETHUSDT Perpetual,Cross,Short 10.00x,"02/15/2024, 08:32:04","2,840.49 USDT",+7.80 USDT,20 Contracts,"02/15/2024, 09:31:40","2,833.75 USDT",+1.37%
31,SUIUSDT Perpetual,Cross,Short 10.00x,"02/14/2024, 03:52:09",1.9161 USDT,+26.11 USDT,"1,500 Contracts","02/14/2024, 04:23:36",1.8974 USDT,+9.08%
32,SUIUSDT Perpetual,Cross,Short 10.00x,"02/12/2024, 09:18:22",1.7645 USDT,+10.78 USDT,"1,000 Contracts","02/12/2024, 17:06:33",1.7525 USDT,+6.11%
33,SUIUSDT Perpetual,Cross,Short 10.00x,"02/12/2024, 09:18:53",1.7639 USDT,+1.13 USDT,500 Contracts,"02/12/2024, 16:40:11",1.7602 USDT,+1.28%
34,SUIUSDT Perpetual,Cross,Short 10.00x,"02/12/2024, 09:36:04",1.7756 USDT,+8.24 USDT,500 Contracts,"02/12/2024, 16:39:31",1.7582 USDT,+9.28%
35,ORDIUSDT Perpetual,Cross,Short 20.00x,"02/12/2024, 11:18:51",69.443 USDT,+20.30 USDT,200 Contracts,"02/12/2024, 11:21:04",68.380 USDT,+29.24%
36,API3USDT Perpetual,Cross,Short 10.00x,"02/12/2024, 01:02:09",3.636 USDT,-0.01 USDT,200 Contracts,"02/12/2024, 05:26:11",3.633 USDT,-0.01%
37,API3USDT Perpetual,Cross,Short 10.00x,"02/12/2024, 01:11:10",3.688 USDT,+4.79 USDT,150 Contracts,"02/12/2024, 03:52:07",3.653 USDT,+8.66%
38,ORDIUSDT Perpetual,Cross,Short 20.00x,"02/11/2024, 21:19:33",61.988 USDT,+6.71 USDT,88 Contracts,"02/12/2024, 00:01:05",61.163 USDT,+24.63%
