,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,AUCTIONUSDT Perpetual,Cross,Long 2.00x,"02/16/2024, 02:06:41",33.360 USDT,+56.95 USDT,986 Contracts,--,35.513 USDT,+5.19%
1,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/16/2024, 22:40:39",70.527 USDT,-20.88 USDT,212 Contracts,"02/17/2024, 02:31:11",69.617 USDT,-69.80%
2,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/16/2024, 02:07:40",69.461 USDT,-18.70 USDT,431 Contracts,"02/16/2024, 02:32:15",69.097 USDT,-31.23%
3,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/15/2024, 21:46:46",33.675 USDT,-56.18 USDT,"1,187 Contracts","02/16/2024, 01:58:36",33.227 USDT,-2.11%
4,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/15/2024, 20:02:50",33.319 USDT,-50.34 USDT,"4,477 Contracts","02/16/2024, 01:58:36",33.240 USDT,-0.51%
5,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/15/2024, 15:56:39",31.300 USDT,"+1,230.12 USDT","6,389 Contracts","02/16/2024, 01:58:36",33.262 USDT,+9.22%
6,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/15/2024, 09:37:43",33.797 USDT,-367.71 USDT,"5,917 Contracts","02/15/2024, 09:43:37",33.207 USDT,-2.76%
7,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/15/2024, 09:36:41",33.537 USDT,-233.83 USDT,"7,440 Contracts","02/15/2024, 09:43:37",33.256 USDT,-1.41%
8,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/14/2024, 03:20:21",27.675 USDT,+503.01 USDT,722 Contracts,"02/15/2024, 09:02:18",34.717 USDT,+37.76%
9,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/14/2024, 03:03:52",27.714 USDT,+374.22 USDT,540 Contracts,"02/15/2024, 09:02:18",34.719 USDT,+37.50%
10,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/13/2024, 07:52:58",27.327 USDT,+532.23 USDT,730 Contracts,"02/15/2024, 09:02:18",34.723 USDT,+40.01%
11,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/13/2024, 04:00:02",28.340 USDT,+443.05 USDT,705 Contracts,"02/15/2024, 09:02:18",34.730 USDT,+33.26%
12,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/12/2024, 12:43:55",28.780 USDT,+404.03 USDT,694 Contracts,"02/15/2024, 09:02:18",34.733 USDT,+30.34%
13,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/12/2024, 10:09:42",28.459 USDT,+431.27 USDT,702 Contracts,"02/15/2024, 09:02:18",34.733 USDT,+32.38%
14,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/12/2024, 08:48:42",27.816 USDT,+243.41 USDT,359 Contracts,"02/15/2024, 09:02:18",34.733 USDT,+36.56%
15,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/12/2024, 04:38:02",27.594 USDT,+506.97 USDT,724 Contracts,"02/15/2024, 09:02:18",34.733 USDT,+38.06%
16,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/11/2024, 21:16:34",27.982 USDT,+236.17 USDT,357 Contracts,"02/15/2024, 09:02:18",34.733 USDT,+35.46%
17,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/11/2024, 20:38:42",27.558 USDT,+254.57 USDT,362 Contracts,"02/15/2024, 09:02:18",34.733 USDT,+38.27%
18,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/11/2024, 01:24:04",28.731 USDT,+406.12 USDT,696 Contracts,"02/15/2024, 09:02:18",34.733 USDT,+30.46%
19,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/11/2024, 00:55:54",28.707 USDT,+202.99 USDT,347 Contracts,"02/15/2024, 09:02:18",34.734 USDT,+30.56%
20,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/11/2024, 00:20:53",28.919 USDT,+584.66 USDT,"1,036 Contracts","02/15/2024, 09:02:18",34.739 USDT,+29.27%
21,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/10/2024, 23:58:20",28.808 USDT,+299.78 USDT,520 Contracts,"02/15/2024, 09:02:18",34.750 USDT,+30.01%
22,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/10/2024, 23:08:54",28.734 USDT,+405.86 USDT,695 Contracts,"02/15/2024, 09:02:18",34.751 USDT,+30.48%
23,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/10/2024, 22:27:44",29.176 USDT,+554.39 USDT,"1,027 Contracts","02/15/2024, 09:02:18",34.751 USDT,+27.75%
24,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/10/2024, 21:26:46",29.521 USDT,+856.14 USDT,"1,692 Contracts","02/15/2024, 09:02:18",34.758 USDT,+25.70%
25,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/10/2024, 18:57:51",29.703 USDT,"+2,348.17 USDT","6,731 Contracts","02/15/2024, 09:02:18",33.352 USDT,+17.61%
26,PYTHUSDT Perpetual,Cross,Long 3.00x,"02/11/2024, 02:39:17",0.5695 USDT,-17.61 USDT,524 Contracts,"02/11/2024, 06:05:21",0.5667 USDT,-1.77%
27,PYTHUSDT Perpetual,Cross,Long 3.00x,"02/11/2024, 02:35:37",0.5597 USDT,+34.79 USDT,535 Contracts,"02/11/2024, 06:05:21",0.5668 USDT,+3.48%
28,PYTHUSDT Perpetual,Cross,Long 3.00x,"02/11/2024, 00:48:51",0.5489 USDT,+46.78 USDT,271 Contracts,"02/11/2024, 06:05:21",0.5669 USDT,+9.43%
29,BIGTIMEUSDT Perpetual,Cross,Long 5.00x,"02/10/2024, 18:57:32",0.3442 USDT,+398.49 USDT,"4,356 Contracts","02/10/2024, 22:58:51",0.3537 USDT,+13.28%
30,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/10/2024, 06:21:40",28.063 USDT,+203.50 USDT,"1,422 Contracts","02/10/2024, 17:20:17",29.533 USDT,+7.64%
31,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/10/2024, 04:13:14",27.753 USDT,+628.02 USDT,"3,601 Contracts","02/10/2024, 17:20:17",29.535 USDT,+9.42%
32,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/10/2024, 04:11:03",27.666 USDT,"+1,667.84 USDT","9,035 Contracts","02/10/2024, 17:20:17",29.547 USDT,+10.00%
33,BIGTIMEUSDT Perpetual,Cross,Long 5.00x,"02/10/2024, 01:21:11",0.3490 USDT,-76.08 USDT,858 Contracts,"02/10/2024, 03:55:28",0.3406 USDT,-12.71%
34,BIGTIMEUSDT Perpetual,Cross,Long 5.00x,"02/10/2024, 01:20:45",0.3477 USDT,-211.81 USDT,"2,875 Contracts","02/10/2024, 03:55:28",0.3407 USDT,-10.60%
35,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/10/2024, 01:22:46",28.056 USDT,-139.86 USDT,"3,562 Contracts","02/10/2024, 03:55:28",27.698 USDT,-2.10%
36,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/09/2024, 12:26:26",27.657 USDT,+3.84 USDT,"2,463 Contracts","02/10/2024, 03:55:28",27.709 USDT,+0.08%
37,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/09/2024, 09:28:35",27.647 USDT,+2.69 USDT,361 Contracts,"02/10/2024, 03:55:28",27.762 USDT,+0.40%
38,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/09/2024, 08:33:54",27.623 USDT,+23.84 USDT,542 Contracts,"02/10/2024, 01:21:19",28.098 USDT,+2.38%
39,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/09/2024, 07:14:12",28.223 USDT,-28.37 USDT,"1,769 Contracts","02/10/2024, 01:21:19",28.099 USDT,-0.86%
40,AUCTIONUSDT Perpetual,Cross,Long 1.50x,"02/09/2024, 05:32:45",27.893 USDT,+31.03 USDT,"1,792 Contracts","02/10/2024, 01:21:19",28.101 USDT,+0.93%
