,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,OMGUSDT Perpetual,Cross,Long 20.00x,"02/13/2024, 04:15:26",0.6670 USDT,+165.98 USDT,"3,164 Contracts","02/19/2024, 01:50:21",0.7247 USDT,+157.30%
1,AAVEUSDT Perpetual,Cross,Long 20.00x,"02/13/2024, 04:07:29",90.18 USDT,+277.29 USDT,430 Contracts,"02/19/2024, 00:18:54",97.20 USDT,+143.02%
2,AAVEUSDT Perpetual,Cross,Long 20.00x,"01/28/2024, 13:40:14",90.33 USDT,+534.19 USDT,955 Contracts,"02/18/2024, 22:55:28",96.86 USDT,+123.85%
3,ICPUSDT Perpetual,Cross,Long 20.00x,"02/16/2024, 08:17:58",13.327 USDT,+791.26 USDT,"85,469 Contracts","02/18/2024, 22:26:33",14.297 USDT,+138.93%
4,OMGUSDT Perpetual,Cross,Long 20.00x,"01/23/2024, 23:22:22",0.6427 USDT,+409.67 USDT,"7,500 Contracts","02/18/2024, 18:43:38",0.7086 USDT,+169.97%
5,OMGUSDT Perpetual,Cross,Long 20.00x,"01/26/2024, 03:47:31",0.6437 USDT,+303.61 USDT,"5,625 Contracts","02/18/2024, 18:43:33",0.7087 USDT,+167.70%
6,ICPUSDT Perpetual,Cross,Long 20.00x,"02/13/2024, 07:30:13",13.037 USDT,+371.25 USDT,"50,934 Contracts","02/15/2024, 08:52:28",13.805 USDT,+111.81%
7,EOSUSDT Perpetual,Cross,Long 20.00x,"01/26/2024, 06:17:16",0.7023 USDT,+903.28 USDT,"1,490 Contracts","02/15/2024, 04:22:01",0.7689 USDT,+172.64%
8,KSMUSDT Perpetual,Cross,Long 20.00x,"01/15/2024, 21:59:28",42.23 USDT,"+1,209.87 USDT","5,000 Contracts","02/14/2024, 01:38:30",44.96 USDT,+114.59%
9,ICPUSDT Perpetual,Cross,Long 20.00x,"02/13/2024, 07:36:51",12.779 USDT,+292.75 USDT,"49,678 Contracts","02/14/2024, 01:30:49",13.385 USDT,+92.23%
10,KSMUSDT Perpetual,Cross,Long 20.00x,"01/19/2024, 04:00:21",39.82 USDT,+408.25 USDT,"1,075 Contracts","02/12/2024, 16:55:43",43.86 USDT,+190.72%
