,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,ETHUSDT Perpetual,Isolated,Long 50.00x,"02/20/2024, 08:55:46","2,933.39 USDT","+6,859.78 USDT","2,902 Contracts","02/20/2024, 13:31:56","2,960.63 USDT",+40.29%
1,ETHUSDT Perpetual,Isolated,Long 50.00x,"02/20/2024, 10:01:35","2,923.72 USDT",+707.87 USDT,432 Contracts,"02/20/2024, 13:22:02","2,943.04 USDT",+28.02%
2,ETHUSDT Perpetual,Cross,Long 50.00x,"02/20/2024, 10:22:07","2,921.67 USDT","+1,174.58 USDT",585 Contracts,"02/20/2024, 13:21:51","2,944.69 USDT",+34.36%
3,ETHUSDT Perpetual,Isolated,Long 100.00x,"02/20/2024, 08:06:03","2,990.08 USDT","-2,873.33 USDT",477 Contracts,"02/20/2024, 08:39:42","2,932.81 USDT",-201.46%
4,ETHUSDT Perpetual,Isolated,Long 100.00x,"02/20/2024, 08:01:48","2,996.36 USDT","-6,219.81 USDT",935 Contracts,"02/20/2024, 08:39:42","2,932.81 USDT",-222.01%
5,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 05:17:31",6.798 USDT,+60.57 USDT,"1,629 Contracts","02/20/2024, 06:24:39",6.842 USDT,+5.46%
6,WLDUSDT Perpetual,Isolated,Long 10.00x,"02/20/2024, 05:20:04",6.749 USDT,+125.72 USDT,"1,219 Contracts","02/20/2024, 05:30:19",6.859 USDT,+15.28%
7,WLDUSDT Perpetual,Isolated,Long 10.00x,"02/20/2024, 04:51:16",6.904 USDT,-107.28 USDT,"2,116 Contracts","02/20/2024, 05:30:19",6.860 USDT,-7.35%
8,WLDUSDT Perpetual,Isolated,Long 10.00x,"02/20/2024, 04:45:03",6.974 USDT,-110.55 USDT,925 Contracts,"02/20/2024, 05:30:19",6.861 USDT,-17.14%
9,WLDUSDT Perpetual,Isolated,Long 10.00x,"02/20/2024, 05:01:06",6.779 USDT,+387.13 USDT,"5,318 Contracts","02/20/2024, 05:05:53",6.858 USDT,+10.73%
10,BTCUSDT Perpetual,Cross,Short 50.00x,"02/20/2024, 04:53:38","52,092.5 USDT",-137.45 USDT,78 Contracts,"02/20/2024, 05:01:52","52,216.5 USDT",-16.92%
11,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 04:55:43",6.892 USDT,+1.85 USDT,"1,319 Contracts","02/20/2024, 05:00:50",6.900 USDT,+0.20%
12,WLDUSDT Perpetual,Isolated,Long 10.00x,"02/20/2024, 03:26:19",7.044 USDT,+68.36 USDT,"1,162 Contracts","02/20/2024, 04:01:00",7.110 USDT,+8.35%
13,WLDUSDT Perpetual,Isolated,Long 10.00x,"02/20/2024, 03:47:51",6.929 USDT,+201.58 USDT,"1,167 Contracts","02/20/2024, 04:00:55",7.108 USDT,+24.92%
14,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 03:48:01",6.912 USDT,+208.73 USDT,"1,548 Contracts","02/20/2024, 03:55:13",7.054 USDT,+19.50%
15,WLDUSDT Perpetual,Isolated,Long 10.00x,"02/20/2024, 03:48:23",6.876 USDT,+160.95 USDT,"2,325 Contracts","02/20/2024, 03:50:04",6.952 USDT,+10.06%
16,WLDUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 21:43:50",7.038 USDT,-110.32 USDT,"2,050 Contracts","02/20/2024, 00:31:08",6.992 USDT,-7.65%
17,WLDUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 21:56:43",6.860 USDT,+60.90 USDT,"1,182 Contracts","02/19/2024, 23:12:01",6.918 USDT,+7.51%
18,WLDUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 22:02:39",6.659 USDT,+727.80 USDT,"4,049 Contracts","02/19/2024, 22:32:54",6.845 USDT,+26.99%
19,WLDUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 22:15:14",6.736 USDT,+684.61 USDT,"8,560 Contracts","02/19/2024, 22:31:41",6.823 USDT,+11.87%
20,WLDUSDT Perpetual,Isolated,Long 20.00x,"02/19/2024, 22:17:33",6.700 USDT,+465.21 USDT,"3,964 Contracts","02/19/2024, 22:31:36",6.824 USDT,+35.02%
21,WLDUSDT Perpetual,Isolated,Long 20.00x,"02/19/2024, 22:22:47",6.624 USDT,"+1,004.35 USDT","5,167 Contracts","02/19/2024, 22:31:34",6.825 USDT,+58.68%
22,BTCUSDT Perpetual,Isolated,Long 50.00x,"02/19/2024, 11:00:17","51,757.9 USDT",+26.60 USDT,96 Contracts,"02/19/2024, 13:08:18","51,837.4 USDT",+2.67%
23,WLDUSDT Perpetual,Cross,Long 20.00x,"02/19/2024, 10:33:11",7.265 USDT,+265.94 USDT,"5,072 Contracts","02/19/2024, 11:41:02",7.325 USDT,+14.43%
24,WLDUSDT Perpetual,Isolated,Long 10.00x,"02/19/2024, 10:48:45",7.088 USDT,"+1,108.44 USDT","4,925 Contracts","02/19/2024, 11:40:54",7.320 USDT,+31.75%
25,WLDUSDT Perpetual,Isolated,Long 10.00x,"02/19/2024, 10:46:33",7.168 USDT,+750.78 USDT,"5,141 Contracts","02/19/2024, 11:40:54",7.321 USDT,+20.37%
