,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/20/2024, 08:41:48",67.863 USDT,-128.00 USDT,"2,516 Contracts","02/20/2024, 16:43:09",67.439 USDT,-37.49%
1,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/20/2024, 09:29:50",62.500 USDT,+719.30 USDT,"2,341 Contracts","02/20/2024, 09:34:05",65.617 USDT,+245.81%
2,ORDIUSDT Perpetual,Cross,Short 50.00x,"02/07/2024, 17:51:18",58.145 USDT,"-1,115.93 USDT","2,516 Contracts","02/20/2024, 09:29:49",62.880 USDT,-381.41%
3,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/19/2024, 10:44:06",70.494 USDT,-16.25 USDT,"2,516 Contracts","02/20/2024, 07:43:14",70.500 USDT,-4.58%
4,ORDIUSDT Perpetual,Cross,Short 50.00x,"02/19/2024, 01:41:48",73.205 USDT,+113.62 USDT,"1,998 Contracts","02/19/2024, 01:59:56",72.564 USDT,+38.84%
5,ORDIUSDT Perpetual,Cross,Short 50.00x,"02/18/2024, 20:30:38",71.268 USDT,+123.58 USDT,"2,052 Contracts","02/18/2024, 21:47:57",70.595 USDT,+42.25%
6,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/14/2024, 10:21:33",69.500 USDT,+531.05 USDT,"2,105 Contracts","02/16/2024, 07:54:58",72.072 USDT,+181.49%
7,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/13/2024, 07:30:36",68.752 USDT,+495.44 USDT,"2,047 Contracts","02/14/2024, 03:50:33",71.242 USDT,+176.02%
8,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/10/2024, 21:59:10",63.861 USDT,"+2,408.13 USDT","3,000 Contracts","02/12/2024, 19:14:02",71.970 USDT,+628.48%
9,ORDIUSDT Perpetual,Cross,Short 50.00x,"02/08/2024, 21:33:45",62.149 USDT,-0.79 USDT,"2,354 Contracts","02/09/2024, 08:54:52",62.107 USDT,-0.27%
10,ORDIUSDT Perpetual,Cross,Short 50.00x,"02/09/2024, 01:08:15",63.427 USDT,+222.80 USDT,"2,306 Contracts","02/09/2024, 08:51:10",62.415 USDT,+76.16%
11,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/09/2024, 01:35:16",63.989 USDT,-135.74 USDT,"3,000 Contracts","02/09/2024, 01:36:26",63.601 USDT,-35.36%
12,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/08/2024, 11:33:36",60.695 USDT,+165.74 USDT,"2,319 Contracts","02/08/2024, 20:24:56",61.471 USDT,+58.87%
13,ORDIUSDT Perpetual,Cross,Short 50.00x,"02/08/2024, 09:23:31",61.483 USDT,+116.75 USDT,"2,379 Contracts","02/08/2024, 10:48:34",60.935 USDT,+39.91%
14,ORDIUSDT Perpetual,Cross,Short 50.00x,"02/08/2024, 10:06:42",62.797 USDT,+274.49 USDT,"2,331 Contracts","02/08/2024, 10:42:03",61.558 USDT,+93.76%
15,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/08/2024, 10:03:04",62.838 USDT,-101.63 USDT,"3,000 Contracts","02/08/2024, 10:04:20",62.562 USDT,-26.96%
16,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/08/2024, 09:22:03",61.736 USDT,-50.71 USDT,"3,000 Contracts","02/08/2024, 09:23:20",61.629 USDT,-13.69%
17,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/08/2024, 08:06:27",60.944 USDT,-51.13 USDT,"3,000 Contracts","02/08/2024, 08:07:09",60.834 USDT,-13.99%
18,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/01/2024, 09:46:09",59.000 USDT,-13.50 USDT,"3,000 Contracts","02/08/2024, 03:13:15",59.122 USDT,-3.82%
19,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/01/2024, 20:27:39",57.800 USDT,+74.05 USDT,"3,000 Contracts","02/07/2024, 17:50:03",58.194 USDT,+21.35%
20,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/04/2024, 19:13:35",51.385 USDT,+775.23 USDT,"2,739 Contracts","02/05/2024, 01:57:05",54.268 USDT,+275.40%
21,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/01/2024, 17:05:03",57.318 USDT,+271.40 USDT,"3,000 Contracts","02/01/2024, 18:12:54",58.303 USDT,+78.91%
22,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/01/2024, 04:12:50",59.565 USDT,+33.75 USDT,"3,000 Contracts","02/01/2024, 08:37:09",59.737 USDT,+9.44%
23,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/01/2024, 07:21:45",58.251 USDT,+290.94 USDT,"3,000 Contracts","02/01/2024, 08:19:05",59.280 USDT,+83.24%
24,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/01/2024, 02:10:07",59.800 USDT,+400.04 USDT,"3,000 Contracts","02/01/2024, 03:00:28",61.176 USDT,+111.49%
25,ORDIUSDT Perpetual,Cross,Short 50.00x,"01/31/2024, 21:52:47",61.862 USDT,+107.77 USDT,"3,000 Contracts","01/31/2024, 22:25:07",61.441 USDT,+29.03%
26,ORDIUSDT Perpetual,Cross,Long 50.00x,"01/31/2024, 15:57:27",59.900 USDT,+607.76 USDT,"3,000 Contracts","01/31/2024, 21:11:24",61.969 USDT,+169.10%
27,ORDIUSDT Perpetual,Cross,Long 50.00x,"01/31/2024, 05:19:11",58.416 USDT,+814.53 USDT,"3,000 Contracts","01/31/2024, 09:34:29",61.191 USDT,+232.39%
28,ORDIUSDT Perpetual,Cross,Long 50.00x,"01/31/2024, 04:39:01",59.767 USDT,+16.02 USDT,"3,000 Contracts","01/31/2024, 05:57:34",59.880 USDT,+4.46%
29,ORDIUSDT Perpetual,Cross,Long 50.00x,"01/30/2024, 17:43:34",61.270 USDT,-430.90 USDT,"3,000 Contracts","01/31/2024, 05:57:34",59.894 USDT,-117.22%
30,ORDIUSDT Perpetual,Cross,Short 50.00x,"01/29/2024, 10:40:23",58.196 USDT,-270.07 USDT,"3,000 Contracts","01/31/2024, 04:39:28",59.035 USDT,-77.35%
31,ORDIUSDT Perpetual,Cross,Short 50.00x,"01/29/2024, 19:21:43",60.883 USDT,+12.15 USDT,"3,000 Contracts","01/30/2024, 08:02:59",60.781 USDT,+3.32%
