,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,BNBUSDT Perpetual,Cross,Short 20.00x,"02/21/2024, 10:19:10",371.8 USDT,+3.38 USDT,88 Contracts,"02/21/2024, 11:49:43",367.7 USDT,+20.66%
1,BNBUSDT Perpetual,Cross,Short 20.00x,"02/21/2024, 09:08:31",367.9 USDT,-0.31 USDT,88 Contracts,"02/21/2024, 11:49:43",367.7 USDT,-1.87%
2,BTCUSDT Perpetual,Cross,Long 100.00x,"02/21/2024, 07:32:56","50,991.7 USDT",+15.94 USDT,5 Contracts,"02/21/2024, 11:19:52","51,364.5 USDT",+62.52%
3,BTCUSDT Perpetual,Cross,Long 100.00x,"02/21/2024, 07:03:32","51,294.1 USDT",+0.81 USDT,5 Contracts,"02/21/2024, 11:19:52","51,364.5 USDT",+3.17%
4,ETHUSDT Perpetual,Cross,Long 100.00x,"02/21/2024, 08:37:07","2,887.25 USDT",+6.42 USDT,5 Contracts,"02/21/2024, 08:41:49","2,902.99 USDT",+44.48%
5,APTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 06:05:53",9.0530 USDT,+1.75 USDT,10 Contracts,"02/21/2024, 06:29:44",9.2379 USDT,+19.41%
6,APTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 06:05:44",9.0542 USDT,+1.74 USDT,10 Contracts,"02/21/2024, 06:29:44",9.2379 USDT,+19.27%
7,APTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 03:59:23",9.0731 USDT,+1.55 USDT,10 Contracts,"02/21/2024, 06:29:44",9.2379 USDT,+17.15%
8,APTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 03:59:15",9.0611 USDT,+1.67 USDT,10 Contracts,"02/21/2024, 06:29:44",9.2379 USDT,+18.50%
9,APTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 03:26:06",9.1434 USDT,+0.85 USDT,10 Contracts,"02/21/2024, 06:29:44",9.2379 USDT,+9.33%
10,APTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 03:26:01",9.1343 USDT,+0.94 USDT,10 Contracts,"02/21/2024, 06:29:44",9.2379 USDT,+10.33%
11,APTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 03:19:05",9.1950 USDT,+0.34 USDT,10 Contracts,"02/21/2024, 06:29:44",9.2383 USDT,+3.70%
12,APTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 01:50:41",9.2179 USDT,+0.09 USDT,10 Contracts,"02/21/2024, 06:29:44",9.2383 USDT,+1.01%
13,APTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 00:40:29",9.3000 USDT,-0.70 USDT,10 Contracts,"02/21/2024, 06:29:44",9.2383 USDT,-7.53%
14,APTUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 21:52:52",9.4448 USDT,-2.18 USDT,10 Contracts,"02/21/2024, 06:29:44",9.2384 USDT,-23.04%
15,ETHUSDT Perpetual,Cross,Long 100.00x,"02/21/2024, 06:11:42","2,906.33 USDT",+3.68 USDT,5 Contracts,"02/21/2024, 06:26:01","2,916.61 USDT",+25.35%
16,APTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 03:58:45",9.0500 USDT,+0.70 USDT,10 Contracts,"02/21/2024, 04:22:23",9.1267 USDT,+7.77%
17,APTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 04:09:11",9.0300 USDT,+0.88 USDT,10 Contracts,"02/21/2024, 04:22:14",9.1246 USDT,+9.77%
18,APTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 04:11:10",9.0000 USDT,+1.20 USDT,10 Contracts,"02/21/2024, 04:22:12",9.1269 USDT,+13.39%
19,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 23:28:03",6.794 USDT,+8.29 USDT,50 Contracts,"02/21/2024, 02:47:43",6.968 USDT,+24.41%
20,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 23:27:56",6.806 USDT,+7.70 USDT,50 Contracts,"02/21/2024, 02:47:43",6.969 USDT,+22.64%
21,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 23:10:37",6.842 USDT,+5.90 USDT,50 Contracts,"02/21/2024, 02:47:43",6.969 USDT,+17.26%
22,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 22:39:35",6.888 USDT,+3.70 USDT,50 Contracts,"02/21/2024, 02:47:43",6.969 USDT,+10.76%
23,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 22:35:52",6.946 USDT,+0.70 USDT,50 Contracts,"02/21/2024, 02:47:43",6.969 USDT,+2.02%
