,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,ETHUSDT Perpetual,Cross,Long 20.00x,"02/15/2024, 08:53:32","2,855.38 USDT",+176.87 USDT,30 Contracts,"02/19/2024, 01:12:58","2,921.94 USDT",+41.29%
1,ETHUSDT Perpetual,Cross,Long 20.00x,"02/15/2024, 06:13:16","2,792.78 USDT",+364.77 USDT,30 Contracts,"02/19/2024, 01:12:58","2,921.94 USDT",+87.07%
2,BTCUSDT Perpetual,Cross,Long 20.00x,"02/15/2024, 06:12:49","52,284.2 USDT",-17.24 USDT,30 Contracts,"02/19/2024, 01:12:58","52,374.0 USDT",-2.20%
3,BTCUSDT Perpetual,Cross,Short 20.00x,"02/08/2024, 12:54:48","45,294.1 USDT","-2,045.99 USDT",30 Contracts,"02/15/2024, 06:12:07","52,218.2 USDT",-301.15%
4,ETHUSDT Perpetual,Cross,Short 20.00x,"02/08/2024, 01:23:36","2,423.31 USDT",-716.54 USDT,20 Contracts,"02/15/2024, 06:12:07","2,788.63 USDT",-295.69%
5,ETHUSDT Perpetual,Cross,Short 20.00x,"02/09/2024, 02:54:05","2,475.00 USDT",-921.68 USDT,30 Contracts,"02/15/2024, 06:12:07","2,788.63 USDT",-248.27%
6,BTCUSDT Perpetual,Cross,Short 20.00x,"02/07/2024, 14:15:26","43,872.2 USDT","-1,645.76 USDT",20 Contracts,"02/15/2024, 06:12:07","52,218.0 USDT",-375.13%
7,BTCUSDT Perpetual,Cross,Short 20.00x,"02/07/2024, 20:05:07","44,750.0 USDT","-2,201.28 USDT",30 Contracts,"02/15/2024, 06:12:07","52,218.0 USDT",-327.94%
8,BTCUSDT Perpetual,Cross,Short 20.00x,"02/07/2024, 11:25:29","43,472.3 USDT",-862.85 USDT,10 Contracts,"02/15/2024, 06:12:07","52,218.0 USDT",-396.97%
9,ETHUSDT Perpetual,Cross,Short 20.00x,"02/07/2024, 10:41:47","2,395.00 USDT",-386.48 USDT,10 Contracts,"02/15/2024, 06:12:07","2,788.63 USDT",-322.74%
10,BTCUSDT Perpetual,Isolated,Short 20.00x,"02/12/2024, 07:39:55","47,941.3 USDT",-482.06 USDT,20 Contracts,"02/12/2024, 11:19:30","50,313.2 USDT",-100.56%
11,BTCUSDT Perpetual,Cross,Long 20.00x,"02/07/2024, 04:56:05","42,866.2 USDT",+37.54 USDT,30 Contracts,"02/07/2024, 06:42:51","43,034.3 USDT",+5.83%
12,BTCUSDT Perpetual,Cross,Long 20.00x,"02/05/2024, 08:59:19","43,174.2 USDT",-58.23 USDT,30 Contracts,"02/07/2024, 06:42:51","43,034.3 USDT",-9.00%
13,ETHUSDT Perpetual,Cross,Short 20.00x,"02/07/2024, 03:09:50","2,363.45 USDT",+16.95 USDT,40 Contracts,"02/07/2024, 04:53:56","2,356.85 USDT",+3.58%
14,ETHUSDT Perpetual,Cross,Long 20.00x,"01/21/2024, 22:20:08","2,423.36 USDT",-258.22 USDT,40 Contracts,"02/07/2024, 03:09:33","2,363.66 USDT",-53.28%
15,ETHUSDT Perpetual,Cross,Long 20.00x,"01/22/2024, 03:53:21","2,390.00 USDT",-120.34 USDT,40 Contracts,"02/07/2024, 03:08:24","2,363.73 USDT",-25.18%
16,BTCUSDT Perpetual,Cross,Long 20.00x,"02/05/2024, 09:20:07","42,810.1 USDT",+44.80 USDT,30 Contracts,"02/06/2024, 07:31:41","43,004.6 USDT",+6.97%
17,ETHUSDT Perpetual,Cross,Long 20.00x,"01/30/2024, 19:56:25","2,334.85 USDT",+16.08 USDT,30 Contracts,"02/06/2024, 07:30:05","2,342.95 USDT",+4.59%
18,ETHUSDT Perpetual,Cross,Long 20.00x,"02/05/2024, 09:52:27","2,301.60 USDT",+54.58 USDT,30 Contracts,"02/05/2024, 20:20:26","2,321.97 USDT",+15.80%
19,BTCUSDT Perpetual,Cross,Long 20.00x,"02/01/2024, 12:26:57","43,011.5 USDT",+35.24 USDT,30 Contracts,"02/05/2024, 04:39:42","43,183.3 USDT",+5.46%
20,ETHUSDT Perpetual,Cross,Long 20.00x,"02/01/2024, 12:26:46","2,300.00 USDT",+67.99 USDT,30 Contracts,"02/05/2024, 04:39:29","2,325.23 USDT",+19.70%
21,ETHUSDT Perpetual,Cross,Long 20.00x,"02/01/2024, 10:00:57","2,290.40 USDT",+53.09 USDT,30 Contracts,"02/01/2024, 11:30:32","2,310.40 USDT",+15.45%
22,BTCUSDT Perpetual,Cross,Long 20.00x,"01/31/2024, 15:55:45","42,403.1 USDT",+35.45 USDT,30 Contracts,"02/01/2024, 08:51:31","42,568.0 USDT",+5.57%
23,ETHUSDT Perpetual,Cross,Long 20.00x,"01/31/2024, 15:55:24","2,275.51 USDT",+43.04 USDT,30 Contracts,"02/01/2024, 08:45:52","2,291.99 USDT",+12.61%
24,BTCUSDT Perpetual,Cross,Long 20.00x,"01/31/2024, 05:13:34","42,762.9 USDT",+157.87 USDT,30 Contracts,"01/31/2024, 09:51:13","43,332.2 USDT",+24.61%
25,BTCUSDT Perpetual,Cross,Long 20.00x,"01/30/2024, 19:56:52","42,845.0 USDT",+45.82 USDT,30 Contracts,"01/30/2024, 23:48:08","43,040.7 USDT",+7.13%
26,ETHUSDT Perpetual,Cross,Short 20.00x,"01/30/2024, 11:23:39","2,373.75 USDT",+78.39 USDT,30 Contracts,"01/30/2024, 17:39:49","2,345.26 USDT",+22.01%
27,ETHUSDT Perpetual,Cross,Long 20.00x,"01/22/2024, 09:17:49","2,358.09 USDT",+46.74 USDT,40 Contracts,"01/30/2024, 11:10:44","2,374.40 USDT",+9.91%
28,ETHUSDT Perpetual,Cross,Long 20.00x,"01/23/2024, 02:38:40","2,303.57 USDT",+65.03 USDT,40 Contracts,"01/30/2024, 09:42:30","2,323.85 USDT",+14.11%
29,BTCUSDT Perpetual,Cross,Short 20.00x,"01/29/2024, 20:39:48","43,741.2 USDT",+85.14 USDT,30 Contracts,"01/29/2024, 23:08:29","43,413.8 USDT",+12.97%
30,BTCUSDT Perpetual,Cross,Short 20.00x,"01/29/2024, 10:35:41","43,080.8 USDT",+43.23 USDT,30 Contracts,"01/29/2024, 12:48:44","42,893.7 USDT",+6.69%
31,BTCUSDT Perpetual,Cross,Long 20.00x,"01/23/2024, 08:33:47","38,609.7 USDT",+391.36 USDT,20 Contracts,"01/26/2024, 04:40:10","40,631.6 USDT",+101.36%
32,BTCUSDT Perpetual,Cross,Long 20.00x,"01/23/2024, 03:23:08","39,184.3 USDT",+558.03 USDT,40 Contracts,"01/26/2024, 04:40:10","40,632.9 USDT",+71.20%
33,BTCUSDT Perpetual,Cross,Long 20.00x,"01/22/2024, 12:50:54","40,128.9 USDT",+185.60 USDT,40 Contracts,"01/26/2024, 04:40:10","40,663.3 USDT",+23.12%
34,ETHUSDT Perpetual,Cross,Long 20.00x,"01/22/2024, 04:27:27","2,368.00 USDT",+118.78 USDT,40 Contracts,"01/22/2024, 07:12:47","2,399.37 USDT",+25.08%
35,BTCUSDT Perpetual,Cross,Long 20.00x,"01/22/2024, 04:28:01","40,449.7 USDT",+80.97 USDT,40 Contracts,"01/22/2024, 04:59:24","40,692.7 USDT",+10.00%
36,ETHUSDT Perpetual,Cross,Long 20.00x,"01/21/2024, 21:18:24","2,426.00 USDT",+19.39 USDT,20 Contracts,"01/21/2024, 21:51:01","2,437.40 USDT",+7.99%
37,BTCUSDT Perpetual,Cross,Long 20.00x,"01/19/2024, 11:11:25","40,300.0 USDT",+66.36 USDT,20 Contracts,"01/19/2024, 11:15:50","40,660.2 USDT",+16.46%
38,BTCUSDT Perpetual,Cross,Short 20.00x,"01/18/2024, 01:02:10","42,891.0 USDT",+26.11 USDT,20 Contracts,"01/18/2024, 03:58:31","42,725.3 USDT",+6.08%
39,ETHUSDT Perpetual,Cross,Short 20.00x,"01/17/2024, 01:44:46","2,557.82 USDT",+36.49 USDT,30 Contracts,"01/17/2024, 02:06:18","2,543.18 USDT",+9.51%
40,ETHUSDT Perpetual,Cross,Short 20.00x,"01/16/2024, 18:20:30","2,582.40 USDT",+14.04 USDT,20 Contracts,"01/16/2024, 21:52:11","2,572.80 USDT",+5.43%
41,ETHUSDT Perpetual,Cross,Short 20.00x,"01/12/2024, 08:55:54","2,694.39 USDT",+56.35 USDT,30 Contracts,"01/12/2024, 09:23:54","2,672.92 USDT",+13.94%
42,ETHUSDT Perpetual,Cross,Short 20.00x,"01/11/2024, 04:31:40","2,622.00 USDT",+5.84 USDT,20 Contracts,"01/11/2024, 09:42:22","2,616.46 USDT",+2.22%
43,ETHUSDT Perpetual,Cross,Short 20.00x,"01/11/2024, 09:01:06","2,677.99 USDT",+0.05 USDT,20 Contracts,"01/11/2024, 09:04:35","2,675.29 USDT",+0.02%
44,BTCUSDT Perpetual,Cross,Short 20.00x,"01/11/2024, 09:00:05","48,642.6 USDT",+47.80 USDT,20 Contracts,"01/11/2024, 09:04:13","48,355.1 USDT",+9.82%
45,ETHUSDT Perpetual,Cross,Short 20.00x,"01/11/2024, 09:01:09","2,678.41 USDT",+3.13 USDT,20 Contracts,"01/11/2024, 09:01:27","2,674.97 USDT",+1.16%
46,BTCUSDT Perpetual,Cross,Short 20.00x,"01/11/2024, 08:48:42","48,706.4 USDT",+53.13 USDT,20 Contracts,"01/11/2024, 08:56:31","48,392.2 USDT",+10.90%
47,ETHUSDT Perpetual,Cross,Short 20.00x,"01/11/2024, 08:49:15","2,678.69 USDT",+18.07 USDT,20 Contracts,"01/11/2024, 08:54:18","2,666.99 USDT",+6.74%
48,ETHUSDT Perpetual,Cross,Short 20.00x,"01/10/2024, 22:07:37","2,620.58 USDT",+18.17 USDT,20 Contracts,"01/10/2024, 22:33:27","2,608.88 USDT",+6.93%
49,BTCUSDT Perpetual,Cross,Short 20.00x,"01/10/2024, 11:44:41","46,255.9 USDT",+45.71 USDT,25 Contracts,"01/10/2024, 11:48:01","46,026.9 USDT",+7.90%
50,ETHUSDT Perpetual,Cross,Short 20.00x,"01/10/2024, 11:43:35","2,439.84 USDT",+15.61 USDT,20 Contracts,"01/10/2024, 11:48:01","2,429.60 USDT",+6.39%
51,ETHUSDT Perpetual,Cross,Short 20.00x,"01/10/2024, 09:10:29","2,426.38 USDT",+15.89 USDT,20 Contracts,"01/10/2024, 10:52:27","2,416.38 USDT",+6.55%
52,BTCUSDT Perpetual,Cross,Short 20.00x,"01/08/2024, 11:31:30","45,330.1 USDT",+104.93 USDT,25 Contracts,"01/10/2024, 06:51:53","44,904.5 USDT",+18.51%
53,ETHUSDT Perpetual,Cross,Short 20.00x,"01/10/2024, 03:43:22","2,423.78 USDT",+29.80 USDT,20 Contracts,"01/10/2024, 04:41:38","2,406.46 USDT",+12.29%
54,ETHUSDT Perpetual,Cross,Short 20.00x,"01/10/2024, 00:25:45","2,380.81 USDT",+20.23 USDT,20 Contracts,"01/10/2024, 01:49:51","2,368.32 USDT",+8.49%
55,BTCUSDT Perpetual,Cross,Short 20.00x,"01/07/2024, 13:51:08","44,199.7 USDT",+107.62 USDT,25 Contracts,"01/07/2024, 19:41:48","43,726.1 USDT",+19.47%
56,ETHUSDT Perpetual,Cross,Short 20.00x,"01/07/2024, 13:52:02","2,248.33 USDT",+90.49 USDT,20 Contracts,"01/07/2024, 18:35:39","2,200.88 USDT",+40.25%
57,BTCUSDT Perpetual,Cross,Short 20.00x,"01/05/2024, 03:10:07","44,042.9 USDT",+34.87 USDT,25 Contracts,"01/05/2024, 04:38:20","43,859.5 USDT",+6.33%
58,ETHUSDT Perpetual,Cross,Short 20.00x,"01/04/2024, 13:14:46","2,284.40 USDT",+18.12 USDT,20 Contracts,"01/04/2024, 13:47:57","2,273.06 USDT",+7.93%
59,BTCUSDT Perpetual,Cross,Short 20.00x,"01/04/2024, 13:13:30","44,227.1 USDT",+53.62 USDT,25 Contracts,"01/04/2024, 13:47:57","43,968.5 USDT",+9.70%
60,BTCUSDT Perpetual,Cross,Short 20.00x,"01/04/2024, 09:37:57","44,214.0 USDT",+57.01 USDT,25 Contracts,"01/04/2024, 10:21:32","43,955.0 USDT",+10.31%
61,BTCUSDT Perpetual,Cross,Long 20.00x,"01/03/2024, 06:09:28","41,000.0 USDT",-10.39 USDT,3 Contracts,"01/03/2024, 06:11:17","40,682.5 USDT",-16.89%
