,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,BTCUSDT Perpetual,Cross,Long 20.00x,"02/21/2024, 06:07:30","50,725.0 USDT",+101.71 USDT,20 Contracts,"02/21/2024, 11:23:41","51,255.8 USDT",+20.05%
1,BTCUSDT Perpetual,Cross,Long 20.00x,"02/20/2024, 11:22:15","50,908.7 USDT",+59.35 USDT,20 Contracts,"02/21/2024, 11:23:26","51,237.8 USDT",+11.65%
2,BTCUSDT Perpetual,Cross,Long 20.00x,"02/21/2024, 03:58:49","51,050.0 USDT",+30.32 USDT,20 Contracts,"02/21/2024, 11:23:19","51,223.9 USDT",+5.94%
3,BTCUSDT Perpetual,Cross,Long 20.00x,"02/21/2024, 03:41:33","51,250.0 USDT",+29.53 USDT,20 Contracts,"02/21/2024, 10:54:38","51,420.0 USDT",+5.76%
4,ETHUSDT Perpetual,Cross,Short 20.00x,"02/21/2024, 03:40:26","2,909.81 USDT",-97.01 USDT,40 Contracts,"02/21/2024, 10:49:37","2,932.84 USDT",-16.67%
5,ETHUSDT Perpetual,Cross,Short 20.00x,"02/21/2024, 03:40:16","2,910.83 USDT",-92.93 USDT,40 Contracts,"02/21/2024, 10:49:37","2,932.84 USDT",-15.97%
6,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 21:15:06","3,000.76 USDT",+267.99 USDT,40 Contracts,"02/21/2024, 10:49:37","2,932.84 USDT",+44.65%
7,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 21:14:59","3,001.54 USDT",+271.11 USDT,40 Contracts,"02/21/2024, 10:49:37","2,932.84 USDT",+45.16%
8,ETHUSDT Perpetual,Cross,Short 20.00x,"02/21/2024, 03:40:08","2,910.46 USDT",-94.41 USDT,40 Contracts,"02/21/2024, 10:49:37","2,932.84 USDT",-16.22%
9,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 21:13:46","3,002.00 USDT",+272.94 USDT,40 Contracts,"02/21/2024, 10:49:37","2,932.84 USDT",+45.46%
10,BTCUSDT Perpetual,Cross,Long 20.00x,"02/21/2024, 01:07:56","51,550.0 USDT",+16.56 USDT,20 Contracts,"02/21/2024, 02:36:27","51,658.8 USDT",+3.21%
11,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 21:16:39","3,003.40 USDT",+190.03 USDT,40 Contracts,"02/21/2024, 02:30:17","2,954.43 USDT",+31.63%
12,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 21:17:09","3,002.53 USDT",+185.27 USDT,40 Contracts,"02/21/2024, 02:30:11","2,954.75 USDT",+30.85%
13,ETHUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 21:19:25","3,006.00 USDT",+201.56 USDT,40 Contracts,"02/21/2024, 02:30:09","2,954.81 USDT",+33.52%
14,SOLUSDT Perpetual,Cross,Long 10.00x,"02/18/2024, 19:04:10",112.00 USDT,-192.46 USDT,40 Contracts,"02/20/2024, 18:53:40",107.42 USDT,-42.96%
15,SOLUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 09:29:41",102.40 USDT,+197.95 USDT,40 Contracts,"02/20/2024, 18:53:40",107.42 USDT,+48.32%
16,BTCUSDT Perpetual,Cross,Long 20.00x,"02/18/2024, 17:55:42","52,120.9 USDT",+23.57 USDT,20 Contracts,"02/20/2024, 17:28:47","52,325.0 USDT",+4.52%
17,BTCUSDT Perpetual,Cross,Long 20.00x,"02/20/2024, 08:12:54","52,260.0 USDT",+47.10 USDT,20 Contracts,"02/20/2024, 17:16:40","52,524.9 USDT",+9.01%
