,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,USTCUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 11:07:10",0.03069 USDT,-4.32 USDT,986 Contracts,"02/21/2024, 11:24:39",0.03073 USDT,-1.43%
1,USTCUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 11:07:38",0.03097 USDT,+14.57 USDT,987 Contracts,"02/21/2024, 11:21:25",0.03081 USDT,+4.76%
2,USTCUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 11:13:13",0.03129 USDT,+28.33 USDT,827 Contracts,"02/21/2024, 11:15:30",0.03093 USDT,+10.95%
3,FILUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 09:15:54",6.994 USDT,+24.17 USDT,"4,241 Contracts","02/21/2024, 11:06:02",7.058 USDT,+8.15%
4,USTCUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 10:55:08",0.02954 USDT,-8.43 USDT,927 Contracts,"02/21/2024, 10:59:14",0.02947 USDT,-3.08%
5,GRTUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 10:19:58",0.2430 USDT,-31.20 USDT,"1,223 Contracts","02/21/2024, 10:39:35",0.2454 USDT,-10.50%
6,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 08:24:43",6.177 USDT,+32.91 USDT,535 Contracts,"02/21/2024, 08:26:39",6.113 USDT,+9.96%
7,LPTUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 07:52:19",14.897 USDT,+6.71 USDT,"1,934 Contracts","02/21/2024, 08:00:43",14.855 USDT,+2.33%
8,FILUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 07:46:06",7.141 USDT,-9.11 USDT,"3,771 Contracts","02/21/2024, 07:50:51",7.124 USDT,-3.39%
9,LPTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 07:46:54",14.811 USDT,+9.79 USDT,"1,754 Contracts","02/21/2024, 07:49:54",14.877 USDT,+3.76%
10,LPTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 07:44:08",15.013 USDT,-24.19 USDT,"1,976 Contracts","02/21/2024, 07:49:54",14.896 USDT,-8.16%
11,LPTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 07:47:54",14.711 USDT,+27.04 USDT,"1,502 Contracts","02/21/2024, 07:48:49",14.897 USDT,+12.24%
12,LPTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 07:45:18",14.894 USDT,-1.45 USDT,"1,919 Contracts","02/21/2024, 07:48:49",14.897 USDT,-0.51%
13,WLDUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 04:29:04",6.670 USDT,-10.12 USDT,432 Contracts,"02/21/2024, 07:09:30",6.651 USDT,-3.52%
14,WLDUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 05:33:37",6.503 USDT,+25.72 USDT,433 Contracts,"02/21/2024, 06:39:22",6.567 USDT,+9.13%
15,WLDUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 05:57:06",6.399 USDT,+26.59 USDT,442 Contracts,"02/21/2024, 05:59:00",6.465 USDT,+9.40%
16,LPTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 04:23:20",14.503 USDT,-18.40 USDT,"1,021 Contracts","02/21/2024, 04:24:30",14.332 USDT,-12.43%
17,WLDUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 03:25:32",6.803 USDT,-25.89 USDT,437 Contracts,"02/21/2024, 03:53:06",6.748 USDT,-8.71%
18,WLDUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 03:29:37",6.713 USDT,+13.32 USDT,440 Contracts,"02/21/2024, 03:51:47",6.748 USDT,+4.51%
19,LPTUSDT Perpetual,Cross,Long 10.00x,"02/21/2024, 02:35:56",14.994 USDT,+38.98 USDT,"5,062 Contracts","02/21/2024, 02:50:18",15.085 USDT,+5.13%
20,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 02:20:56",6.987 USDT,+21.88 USDT,"1,046 Contracts","02/21/2024, 02:25:43",6.963 USDT,+2.99%
21,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 01:11:04",6.749 USDT,+39.56 USDT,"1,075 Contracts","02/21/2024, 01:15:05",6.709 USDT,+5.45%
22,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 23:58:04",6.662 USDT,+61.05 USDT,788 Contracts,"02/21/2024, 00:44:13",6.745 USDT,+11.62%
23,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 23:49:38",6.703 USDT,+59.08 USDT,806 Contracts,"02/21/2024, 00:42:39",6.781 USDT,+10.93%
24,FETUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 19:09:00",1.0703 USDT,-153.46 USDT,270 Contracts,"02/20/2024, 23:52:08",1.0141 USDT,-53.11%
25,FETUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 19:07:26",1.0951 USDT,-252.70 USDT,310 Contracts,"02/20/2024, 23:52:08",1.0143 USDT,-74.44%
26,FETUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 19:22:06",1.0692 USDT,-125.77 USDT,248 Contracts,"02/20/2024, 23:41:39",1.0195 USDT,-47.43%
27,FETUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 19:33:55",1.0583 USDT,-96.89 USDT,254 Contracts,"02/20/2024, 23:39:31",1.0212 USDT,-36.05%
28,LPTUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 23:04:19",14.803 USDT,+35.10 USDT,"1,935 Contracts","02/20/2024, 23:15:25",14.994 USDT,+12.25%
29,FETUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 22:18:58",1.0281 USDT,-38.09 USDT,291 Contracts,"02/20/2024, 22:36:32",1.0157 USDT,-12.73%
30,FETUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 19:44:29",1.0503 USDT,-27.19 USDT,236 Contracts,"02/20/2024, 22:18:04",1.0395 USDT,-10.97%
31,FETUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 19:45:50",1.0501 USDT,-29.69 USDT,254 Contracts,"02/20/2024, 21:29:57",1.0391 USDT,-11.13%
32,FETUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 20:12:26",1.0403 USDT,+6.06 USDT,259 Contracts,"02/20/2024, 21:24:12",1.0433 USDT,+2.25%
33,FETUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 20:58:00",1.0203 USDT,+36.62 USDT,368 Contracts,"02/20/2024, 21:08:08",1.0309 USDT,+9.75%
34,FETUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 19:08:07",1.0703 USDT,+29.80 USDT,268 Contracts,"02/20/2024, 19:15:29",1.0821 USDT,+10.39%
35,FETUSDT Perpetual,Cross,Short 10.00x,"02/20/2024, 19:02:49",1.0799 USDT,-37.24 USDT,290 Contracts,"02/20/2024, 19:06:52",1.0920 USDT,-11.90%
36,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 09:29:33",6.211 USDT,+113.19 USDT,494 Contracts,"02/20/2024, 10:01:35",6.445 USDT,+36.89%
37,FILUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 09:29:32",7.146 USDT,+81.64 USDT,"3,859 Contracts","02/20/2024, 09:48:11",7.365 USDT,+29.60%
38,FILUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 09:28:54",7.353 USDT,-19.41 USDT,"2,891 Contracts","02/20/2024, 09:30:28",7.291 USDT,-9.13%
39,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 09:17:55",6.303 USDT,+35.55 USDT,471 Contracts,"02/20/2024, 09:18:24",6.381 USDT,+11.97%
40,FILUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 08:49:37",7.677 USDT,-24.77 USDT,"1,813 Contracts","02/20/2024, 09:04:27",7.548 USDT,-17.79%
41,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 08:06:52",6.703 USDT,+26.19 USDT,473 Contracts,"02/20/2024, 08:18:06",6.762 USDT,+8.26%
42,OPUSDT Perpetual,Cross,Short 10.00x,"02/20/2024, 08:01:03",4.1597 USDT,-15.87 USDT,385 Contracts,"02/20/2024, 08:04:24",4.1980 USDT,-9.91%
43,WLDUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 03:48:49",6.898 USDT,+28.24 USDT,461 Contracts,"02/20/2024, 03:50:19",6.965 USDT,+8.88%
44,WLDUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 21:56:08",6.755 USDT,+29.19 USDT,462 Contracts,"02/19/2024, 21:56:30",6.823 USDT,+9.35%
45,WLDUSDT Perpetual,Cross,Short 10.00x,"02/19/2024, 18:30:38",7.597 USDT,+21.77 USDT,206 Contracts,"02/19/2024, 18:38:06",7.488 USDT,+13.91%
46,WLDUSDT Perpetual,Cross,Short 10.00x,"02/19/2024, 17:36:23",7.697 USDT,+27.09 USDT,403 Contracts,"02/19/2024, 17:45:43",7.626 USDT,+8.73%
47,LPTUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 09:04:18",16.633 USDT,+10.38 USDT,850 Contracts,"02/19/2024, 09:06:57",16.766 USDT,+7.34%
48,WLDUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 08:43:09",7.131 USDT,+22.87 USDT,415 Contracts,"02/19/2024, 08:45:09",7.188 USDT,+7.72%
49,PERPUSDT Perpetual,Cross,Short 10.00x,"02/19/2024, 08:00:55",1.5487 USDT,+16.65 USDT,"1,626 Contracts","02/19/2024, 08:05:24",1.5378 USDT,+6.61%
50,WLDUSDT Perpetual,Cross,Short 10.00x,"02/19/2024, 03:15:49",7.447 USDT,+13.00 USDT,415 Contracts,"02/19/2024, 03:37:06",7.412 USDT,+4.20%
51,WLDUSDT Perpetual,Cross,Short 10.00x,"02/19/2024, 01:12:58",7.297 USDT,+9.62 USDT,372 Contracts,"02/19/2024, 01:18:13",7.268 USDT,+3.54%
52,LPTUSDT Perpetual,Cross,Short 10.00x,"02/18/2024, 23:40:34",19.249 USDT,+25.49 USDT,"1,561 Contracts","02/18/2024, 23:41:38",19.079 USDT,+8.48%
53,WLDUSDT Perpetual,Cross,Short 10.00x,"02/18/2024, 22:20:50",6.729 USDT,+46.56 USDT,471 Contracts,"02/18/2024, 22:20:55",6.624 USDT,+14.69%
54,WLDUSDT Perpetual,Cross,Short 10.00x,"02/18/2024, 21:38:52",6.269 USDT,+27.08 USDT,455 Contracts,"02/18/2024, 21:42:11",6.207 USDT,+9.49%
55,WLDUSDT Perpetual,Cross,Long 10.00x,"02/18/2024, 07:27:01",5.381 USDT,+40.05 USDT,474 Contracts,"02/18/2024, 07:52:28",5.468 USDT,+15.70%
56,LPTUSDT Perpetual,Cross,Short 10.00x,"02/18/2024, 07:47:20",18.397 USDT,+6.74 USDT,908 Contracts,"02/18/2024, 07:49:18",18.310 USDT,+4.04%
57,LPTUSDT Perpetual,Cross,Long 10.00x,"02/18/2024, 00:47:01",16.485 USDT,+28.16 USDT,"1,937 Contracts","02/18/2024, 00:58:48",16.641 USDT,+8.82%
58,WLDUSDT Perpetual,Cross,Short 10.00x,"02/17/2024, 19:30:53",5.506 USDT,+29.65 USDT,583 Contracts,"02/17/2024, 19:31:47",5.451 USDT,+9.23%
59,LPTUSDT Perpetual,Cross,Short 10.00x,"02/17/2024, 08:41:07",18.998 USDT,+30.06 USDT,"1,682 Contracts","02/17/2024, 08:44:15",18.806 USDT,+9.40%
60,LTCUSDT Perpetual,Cross,Long 10.00x,"02/14/2024, 09:15:54",69.35 USDT,-33.11 USDT,35 Contracts,"02/17/2024, 08:33:20",68.64 USDT,-13.64%
61,BTCUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 07:34:17","51,123.0 USDT",-13.77 USDT,5 Contracts,"02/17/2024, 08:32:25","50,883.4 USDT",-5.39%
62,LPTUSDT Perpetual,Cross,Short 10.00x,"02/17/2024, 07:57:19",19.297 USDT,+49.79 USDT,"1,532 Contracts","02/17/2024, 08:02:27",18.962 USDT,+16.84%
63,LPTUSDT Perpetual,Cross,Short 10.00x,"02/17/2024, 07:09:31",18.797 USDT,+26.65 USDT,"1,695 Contracts","02/17/2024, 07:14:08",18.630 USDT,+8.36%
64,LPTUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 07:03:08",18.768 USDT,+12.80 USDT,"1,385 Contracts","02/17/2024, 07:03:14",18.880 USDT,+4.92%
65,LPTUSDT Perpetual,Cross,Short 10.00x,"02/17/2024, 06:55:54",18.797 USDT,-7.96 USDT,"1,541 Contracts","02/17/2024, 06:57:34",18.836 USDT,-2.75%
66,LPTUSDT Perpetual,Cross,Short 10.00x,"02/17/2024, 06:56:42",19.213 USDT,+42.54 USDT,"1,443 Contracts","02/17/2024, 06:57:13",18.899 USDT,+15.34%
67,LPTUSDT Perpetual,Cross,Short 10.00x,"02/17/2024, 06:37:17",17.887 USDT,+41.13 USDT,"1,617 Contracts","02/17/2024, 06:41:27",17.621 USDT,+14.22%
68,LPTUSDT Perpetual,Cross,Short 10.00x,"02/17/2024, 06:36:54",17.773 USDT,+9.06 USDT,"1,579 Contracts","02/17/2024, 06:39:50",17.703 USDT,+3.22%
