file_symbol,Start,End,Period,Start Value,Min Value,Max Value,End Value,Total Return [%],Benchmark Return [%],Total Time Exposure [%],Capital Weighted Time Exposure [%],Max Gross Exposure [%],Max Drawdown [%],Max Drawdown Duration,Total Orders,Total Fees Paid,Total Trades,Win Rate [%],Max Winning Streak,Max Losing Streak,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,symbol
Champion-orders_BTCUSDT,2024-01-03 00:00:00+00:00,2024-03-02 00:00:00+00:00,59 days 01:38:00,10076.038333333328,10075.67933333333,11011.350333333317,10940.688333333334,8.581249608187665,38.713288888888165,8.303745679418748,7.10314426388579,295.53437741704306,2.992820953143165,22 days 13:37:00,98,0.0,49,95.91836734693877,34.0,1.0,1.8304548369537759,-2.0718815152230206,0.4906952823470179,-1.3883059783083793,0 days 05:09:28.085106382,0 days 12:42:00,11.621583440820652,17.64591836734689,3.8226513562771762,22.19145001980699,1.0644345746059252,5.612027059046426,BTCUSDT
Champion-orders_BTCUSDT_unlevered,2024-01-03 00:00:00+00:00,2024-03-02 00:00:00+00:00,59 days 01:38:00,30228.114999999987,30227.755999999987,31163.427,31092.764999999992,2.860416536062554,38.71328888888992,8.303745679418748,2.4075149294602234,100.0,1.057489601512694,22 days 13:37:00,98,0.0,49,95.91836734693877,34.0,1.0,1.8304548369537759,-2.0718815152230206,0.4906952823470179,-1.3883059783083793,0 days 05:09:28.085106382,0 days 12:42:00,11.621583440820652,17.64591836734689,3.779750327000666,18.02549762714012,1.0638773325740052,5.538499051211992,BTCUSDT
Champion-orders_ETHUSDT,2024-01-10 00:00:00+00:00,2024-03-25 00:00:00+00:00,75 days 05:24:00,54630.89333333331,50548.50333333332,74833.30333333329,74812.85333333325,36.94239425458162,47.57385091180011,13.054355452162033,18.639543859851024,281.691089338715,15.660287711214952,18 days 14:00:00,324,0.0,159,94.9685534591195,77.0,3.0,4.473832473942665,-7.058392887272177,0.8761638251852428,-1.3936861150661328,0 days 07:03:40.927152317,0 days 05:31:37.500000,4.639036324020686,126.93056603773573,3.7042630536866823,23.104683787662697,1.0517049920494799,5.3786289061488635,ETHUSDT
Champion-orders_ETHUSDT_unlevered,2024-01-10 00:00:00+00:00,2024-03-25 00:00:00+00:00,75 days 05:24:00,163892.67999999993,159810.2900000001,184095.09000000005,184074.63999999987,12.314131418193874,47.57385091179751,13.054355452162033,6.474770786195188,100.0,5.547347135890009,18 days 14:00:00,324,0.0,159,94.9685534591195,77.0,3.0,4.473832473942665,-7.058392887272177,0.8761638251852428,-1.3936861150661328,0 days 07:03:40.927152317,0 days 05:31:37.500000,4.639036324020686,126.93056603773573,3.7176292895213163,13.695310599077743,1.0520322566785012,5.408481874665975,ETHUSDT
chaoshen-orders_BTCUSDT,2023-12-26 00:00:00+00:00,2024-03-14 00:00:00+00:00,79 days 01:21:00,45048.94266666667,38569.09266666664,49624.417666666675,38908.95266666668,-13.62959846900733,67.56653642598873,37.366151035215786,75.24987473789243,343.52064424626036,22.277994422544186,19 days 02:28:00,82,0.0,41,63.41463414634146,7.0,7.0,3.2017029084686883,-7.886793257111173,1.0733003418659848,-3.1330531291946304,2 days 19:20:02.307692307,2 days 02:28:56,0.5041633833663155,-149.75585365853584,-2.0259040493530076,-2.2077810709428114,0.9820971943157345,-2.8304458130979326,BTCUSDT
chaoshen-orders_BTCUSDT_unlevered,2023-12-26 00:00:00+00:00,2024-03-14 00:00:00+00:00,79 days 01:21:00,135146.828,128666.97799999992,139722.30299999996,129006.83800000002,-4.543199489669111,67.56653642598332,37.366151035215786,25.035672999610597,108.79739751424617,7.912355266574759,19 days 02:28:00,82,0.0,41,63.41463414634146,7.0,7.0,3.2017029084686883,-7.886793257111173,1.0733003418659848,-3.1330531291946304,2 days 19:20:02.307692307,2 days 02:28:56,0.5041633833663155,-149.75585365853584,-2.022573856322878,-2.44321638237507,0.982395851384689,-2.826621887174925,BTCUSDT
chaoshen-orders_ETHUSDT,2024-01-04 00:00:00+00:00,2024-03-21 00:00:00+00:00,77 days 00:45:00,18909.116666666658,15335.646666666664,20774.06666666667,15335.646666666671,-18.898132911197095,59.12214777253908,7.495154383592517,14.32928410329761,327.0029706244915,26.178889705434045,40 days 19:29:00,44,0.0,22,63.63636363636363,11.0,7.0,1.9830446000737318,-10.369733987914548,0.7320781872680339,-4.1191552719953926,0 days 08:13:38.571428571,0 days 23:47:37.500000,0.33339737945649267,-162.43045454545413,-2.021008733352336,-2.4046148128903773,0.960886839873081,-2.8338729764265467,ETHUSDT
chaoshen-orders_ETHUSDT_unlevered,2024-01-04 00:00:00+00:00,2024-03-21 00:00:00+00:00,77 days 00:45:00,56727.34999999997,53153.880000000005,58592.29999999999,53153.87999999998,-6.299377637065698,59.12214777253535,7.495154383592517,4.984218635835041,100.0,9.281799826939691,40 days 19:29:00,44,0.0,22,63.63636363636363,11.0,7.0,1.9830446000737318,-10.369733987914548,0.7320781872680339,-4.1191552719953926,0 days 08:13:38.571428571,0 days 23:47:37.500000,0.33339737945649267,-162.43045454545413,-2.091207972192454,-2.859317711032033,0.9605415607993767,-2.9269614140767635,ETHUSDT
Puzzled-PoT-Muffler-orders_BTCUSDT,2023-12-24 00:00:00+00:00,2024-03-26 00:00:00+00:00,93 days 01:46:00,39256.34366666667,32360.203666666697,48493.49436666668,32360.203666666694,-17.566944233412194,59.98500500176427,51.276617969647674,80.7332614131463,380.0505231006198,33.26897950065986,35 days 06:11:00,106,0.0,53,64.15094339622641,7.0,5.0,12.331309316446628,-8.290366820012181,1.0631403711412466,-2.2578287407918354,1 days 08:23:45.882352941,1 days 13:42:56.842105263,0.6126095548758729,-130.1158490566033,-1.3597823699098845,-1.5975408397501707,0.9906734139436646,-1.8750176455121659,BTCUSDT
Puzzled-PoT-Muffler-orders_BTCUSDT_unlevered,2023-12-24 00:00:00+00:00,2024-03-26 00:00:00+00:00,93 days 01:46:00,117769.031,110872.89100000009,127006.18170000004,110872.89100000003,-5.855648077804065,59.98500500177906,51.276617969647674,26.401888718121185,117.34242354368705,12.702760199584795,35 days 06:11:00,106,0.0,53,64.15094339622641,7.0,5.0,12.331309316446628,-8.290366820012181,1.0631403711412466,-2.2578287407918354,1 days 08:23:45.882352941,1 days 13:42:56.842105263,0.6126095548758729,-130.1158490566033,-1.3323020507482384,-1.6600076096908212,0.9907851107070823,-1.842347247008048,BTCUSDT
Puzzled-PoT-Muffler-orders_ETHUSDT,2023-12-24 00:00:00+00:00,2024-03-26 00:00:00+00:00,93 days 01:54:00,28660.543,25778.721559372672,41016.32416763097,29143.19872578891,1.684042503273253,55.44160555501616,93.08309831833714,103.63044895789639,312.98467346674767,29.109453989125946,37 days 10:09:00,114,0.0,65,57.8125,8.0,5.0,18.37464851518585,-13.418586392731523,1.3313240988152846,-1.6443618025528017,1 days 11:54:25.945945945,2 days 08:31:51.111111111,1.0328444320076031,7.856835102315046,0.39184712747478434,0.23270434571358736,1.0023571646993343,0.5445286068612952,ETHUSDT
Puzzled-PoT-Muffler-orders_ETHUSDT_unlevered,2023-12-24 00:00:00+00:00,2024-03-26 00:00:00+00:00,93 days 01:54:00,85981.629,83242.66900000002,98519.18000000002,86964.181,1.1427464348227168,55.441605555018,57.18026769327186,29.295128470037422,100.0,11.728679633752572,37 days 10:09:00,114,0.0,54,57.407407407407405,7.0,5.0,18.37460260222476,-13.383310549420916,1.3926567642233907,-1.772457112942173,1 days 06:14:48.387096774,1 days 03:35:36.521739130,1.0653087811899413,18.19540740740797,0.32587093039584064,0.38882788178164956,1.0020421468425769,0.45261628804012094,ETHUSDT
The-wealth-of-god-orders_BTCUSDT,2023-12-14 00:00:00+00:00,2024-03-06 00:00:00+00:00,83 days 05:04:00,17854.226333333336,17853.574733333335,20520.97333333332,19458.17233333332,8.98356484372254,48.701593025450606,16.722025637601817,9.945674997312198,293.1535632517602,5.6740549343663345,30 days 12:46:00,306,0.0,153,91.50326797385621,127.0,7.0,3.2111801242236004,-6.911548938010159,0.9427784375968482,-4.083728384531093,1 days 02:02:09.857142857,0 days 02:02:04.615384615,2.378788464894299,10.483307189542506,2.718280039824465,8.103770231272076,1.0419850038322542,3.901871563871821,BTCUSDT
The-wealth-of-god-orders_BTCUSDT_unlevered,2023-12-14 00:00:00+00:00,2024-03-06 00:00:00+00:00,83 days 05:04:00,53562.67900000001,53562.02740000001,56229.426000000036,55166.625,2.9945216145741798,48.70159302544956,16.722025637601817,3.4349198928592966,100.0,2.0707508200421576,30 days 12:46:00,306,0.0,153,91.50326797385621,127.0,7.0,3.2111801242236004,-6.911548938010159,0.9427784375968482,-4.083728384531093,1 days 02:02:09.857142857,0 days 02:02:04.615384615,2.378788464894299,10.483307189542506,2.6296647139283507,6.690644309002742,1.0408425634549279,3.7722601951753654,BTCUSDT
The-wealth-of-god-orders_ETHUSDT,2024-02-09 00:00:00+00:00,2024-03-12 00:00:00+00:00,32 days 01:09:00,8585.049,8575.248000000001,10256.072,9653.507999999994,12.445578353716948,68.10414601916118,6.205984961754318,7.081147291817853,293.71179234394907,6.358028687786113,11 days 12:48:00,68,0.0,34,91.17647058823529,28.0,3.0,2.4244125793748372,-9.11346083118792,1.380717020659832,-6.253956431583769,0 days 08:07:50.322580645,0 days 02:19:20,6.33301555293789,31.425264705882306,5.691499362936014,44.21319602545643,1.128652951166792,8.215118606088566,ETHUSDT
