,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,BTCUSDT Perpetual,Cross,Short 30.00x,"02/21/2024, 10:12:17","51,219.9 USDT",+57.44 USDT,200 Contracts,"02/21/2024, 10:22:04","51,140.0 USDT",+1.68%
1,BTCUSDT Perpetual,Cross,Short 30.00x,"02/21/2024, 09:23:47","51,264.4 USDT",+42.34 USDT,200 Contracts,"02/21/2024, 09:26:55","51,192.0 USDT",+1.23%
2,BTCUSDT Perpetual,Cross,Short 30.00x,"02/21/2024, 08:37:34","51,102.8 USDT",+61.95 USDT,100 Contracts,"02/21/2024, 08:50:10","50,989.8 USDT",+3.63%
3,BTCUSDT Perpetual,Cross,Short 30.00x,"02/21/2024, 08:41:34","51,119.0 USDT",+31.18 USDT,100 Contracts,"02/21/2024, 08:43:41","51,036.8 USDT",+1.82%
4,BTCUSDT Perpetual,Cross,Short 30.00x,"02/21/2024, 07:13:54","51,351.3 USDT",+426.33 USDT,200 Contracts,"02/21/2024, 07:23:22","51,100.9 USDT",+12.45%
5,ETHUSDT Perpetual,Cross,Long 30.00x,"02/21/2024, 04:06:43","2,899.68 USDT",-266.17 USDT,300 Contracts,"02/21/2024, 06:09:19","2,893.70 USDT",-9.18%
6,ETHUSDT Perpetual,Cross,Long 30.00x,"02/21/2024, 03:13:36","2,916.69 USDT",-498.36 USDT,200 Contracts,"02/21/2024, 06:09:19","2,893.81 USDT",-25.63%
7,ETHUSDT Perpetual,Cross,Long 30.00x,"02/21/2024, 03:06:45","2,932.15 USDT",-812.05 USDT,200 Contracts,"02/21/2024, 06:09:19","2,893.90 USDT",-41.55%
8,ETHUSDT Perpetual,Cross,Long 30.00x,"02/21/2024, 02:59:56","2,941.78 USDT","-1,013.37 USDT",200 Contracts,"02/21/2024, 06:09:19","2,894.02 USDT",-51.68%
9,ETHUSDT Perpetual,Cross,Long 30.00x,"02/21/2024, 00:39:29","2,960.00 USDT","-4,083.58 USDT",600 Contracts,"02/21/2024, 06:09:19","2,894.30 USDT",-68.98%
10,BTCUSDT Perpetual,Cross,Long 30.00x,"02/21/2024, 03:07:08","51,566.9 USDT","-1,123.24 USDT",100 Contracts,"02/21/2024, 06:07:32","50,479.2 USDT",-65.35%
11,BTCUSDT Perpetual,Cross,Long 30.00x,"02/21/2024, 02:36:54","51,627.6 USDT","-2,395.91 USDT",200 Contracts,"02/21/2024, 06:07:32","50,480.0 USDT",-69.62%
12,BTCUSDT Perpetual,Cross,Long 30.00x,"02/21/2024, 01:05:33","51,613.2 USDT","-1,189.48 USDT",100 Contracts,"02/21/2024, 06:07:32","50,481.1 USDT",-69.14%
13,BTCUSDT Perpetual,Cross,Long 30.00x,"02/21/2024, 00:06:31","51,758.2 USDT","-1,333.82 USDT",100 Contracts,"02/21/2024, 06:07:32","50,481.8 USDT",-77.32%
14,BTCUSDT Perpetual,Cross,Long 30.00x,"02/20/2024, 22:00:41","51,989.1 USDT","-3,121.72 USDT",200 Contracts,"02/21/2024, 06:07:32","50,484.6 USDT",-90.07%
15,BTCUSDT Perpetual,Cross,Long 30.00x,"02/20/2024, 21:56:05","52,023.5 USDT","-4,787.51 USDT",300 Contracts,"02/21/2024, 06:07:32","50,485.3 USDT",-92.03%
