,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,SOLUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 08:42:03",107.27 USDT,"-1,375.86 USDT",200 Contracts,"02/21/2024, 12:26:43",100.51 USDT,-64.14%
1,SOLUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 07:35:50",110.04 USDT,"-2,890.60 USDT",300 Contracts,"02/21/2024, 12:26:43",100.52 USDT,-87.57%
2,SOLUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 09:49:46",113.89 USDT,"-4,001.71 USDT",300 Contracts,"02/21/2024, 12:26:23",100.79 USDT,-117.13%
3,SOLUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 02:48:38",111.72 USDT,"-2,231.06 USDT",200 Contracts,"02/21/2024, 12:26:23",100.81 USDT,-99.86%
4,SOLUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 01:09:32",112.58 USDT,"-2,400.20 USDT",200 Contracts,"02/21/2024, 12:26:09",100.86 USDT,-106.60%
5,SOLUSDT Perpetual,Cross,Long 10.00x,"02/18/2024, 16:02:13",113.00 USDT,"-3,739.44 USDT",300 Contracts,"02/21/2024, 12:26:09",100.86 USDT,-110.30%
6,SOLUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 11:34:14",105.52 USDT,-3.34 USDT,100 Contracts,"02/20/2024, 11:36:17",105.55 USDT,-0.32%
7,SOLUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 11:34:08",105.47 USDT,+6.66 USDT,100 Contracts,"02/20/2024, 11:36:10",105.60 USDT,+0.63%
8,ETHUSDT Perpetual,Cross,Long 20.00x,"02/20/2024, 09:36:28","2,911.02 USDT",-383.80 USDT,400 Contracts,"02/20/2024, 11:33:17","2,903.81 USDT",-6.60%
9,ETHUSDT Perpetual,Cross,Long 20.00x,"02/20/2024, 09:24:19","2,931.97 USDT",-924.51 USDT,400 Contracts,"02/20/2024, 09:30:02","2,910.61 USDT",-15.77%
10,BTCUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 05:08:19","52,275.6 USDT",+98.02 USDT,400 Contracts,"02/20/2024, 06:26:44","52,331.4 USDT",+0.46%
11,ETHUSDT Perpetual,Cross,Long 20.00x,"02/20/2024, 03:55:26","2,898.26 USDT",+626.81 USDT,200 Contracts,"02/20/2024, 05:08:03","2,931.34 USDT",+21.62%
12,ETHUSDT Perpetual,Cross,Long 20.00x,"02/20/2024, 02:12:37","2,916.00 USDT",+276.99 USDT,200 Contracts,"02/20/2024, 05:08:03","2,931.60 USDT",+9.49%
13,APEUSDT Perpetual,Cross,Long 20.00x,"02/18/2024, 10:28:40",1.689 USDT,+524.90 USDT,"50,000 Contracts","02/20/2024, 03:46:14",1.799 USDT,+124.24%
14,UNIUSDT Perpetual,Cross,Long 20.00x,"02/18/2024, 16:01:09",7.654 USDT,-199.08 USDT,"1,000 Contracts","02/20/2024, 03:46:12",7.470 USDT,-52.02%
15,ETCUSDT Perpetual,Cross,Long 20.00x,"02/18/2024, 16:24:02",26.55 USDT,-8.04 USDT,50 Contracts,"02/20/2024, 03:46:08",26.61 USDT,-1.22%
16,LINKUSDT Perpetual,Cross,Long 20.00x,"02/18/2024, 15:59:20",20.134 USDT,-389.65 USDT,"1,000 Contracts","02/19/2024, 09:49:35",19.767 USDT,-38.71%
17,ETHUSDT Perpetual,Cross,Long 20.00x,"02/19/2024, 01:13:17","2,922.00 USDT",-375.93 USDT,200 Contracts,"02/19/2024, 02:49:56","2,905.76 USDT",-12.87%
18,BTCUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 01:09:15","52,405.6 USDT",-619.88 USDT,200 Contracts,"02/19/2024, 02:48:21","52,144.5 USDT",-5.92%
19,BTCUSDT Perpetual,Cross,Short 10.00x,"02/15/2024, 08:49:44","52,762.3 USDT",+71.19 USDT,200 Contracts,"02/15/2024, 08:55:19","52,695.0 USDT",+0.67%
20,BTCUSDT Perpetual,Cross,Long 10.00x,"02/12/2024, 20:11:11","50,035.1 USDT",-949.20 USDT,200 Contracts,"02/13/2024, 15:14:42","49,622.0 USDT",-9.49%
21,BTCUSDT Perpetual,Cross,Long 10.00x,"02/12/2024, 20:10:48","50,060.8 USDT",-997.08 USDT,200 Contracts,"02/13/2024, 15:14:42","49,623.9 USDT",-9.96%
