,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,STORJUSDT Perpetual,Cross,Long 10.00x,"02/20/2024, 09:38:07",0.7054 USDT,-53.70 USDT,"1,460 Contracts","02/21/2024, 01:08:47",0.7023 USDT,-5.22%
1,STORJUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 03:56:06",0.7206 USDT,-176.70 USDT,902 Contracts,"02/21/2024, 01:08:47",0.7026 USDT,-27.19%
2,STORJUSDT Perpetual,Cross,Long 10.00x,"02/18/2024, 04:02:58",0.7114 USDT,-382.44 USDT,"1,063 Contracts","02/20/2024, 09:29:35",0.6781 USDT,-50.57%
3,STORJUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 03:42:22",0.7193 USDT,"-2,835.76 USDT","6,468 Contracts","02/20/2024, 09:29:35",0.6782 USDT,-60.96%
4,WLDUSDT Perpetual,Isolated,Long 20.00x,"02/16/2024, 09:23:28",4.284 USDT,+738.48 USDT,"1,634 Contracts","02/17/2024, 09:57:12",4.744 USDT,+210.99%
5,WLDUSDT Perpetual,Isolated,Long 20.00x,"02/16/2024, 09:24:00",4.277 USDT,"+1,227.95 USDT","2,584 Contracts","02/17/2024, 06:27:10",4.761 USDT,+222.21%
6,WLDUSDT Perpetual,Isolated,Long 20.00x,"02/16/2024, 09:24:09",4.283 USDT,+47.67 USDT,"2,563 Contracts","02/16/2024, 17:39:11",4.307 USDT,+8.68%
7,WLDUSDT Perpetual,Isolated,Long 20.00x,"02/12/2024, 16:33:54",2.612 USDT,"+8,532.54 USDT","7,161 Contracts",--,3.819 USDT,+684.26%
8,BLURUSDT Perpetual,Isolated,Long 15.00x,"02/14/2024, 04:21:38",0.7370 USDT,-406.03 USDT,"1,379 Contracts","02/16/2024, 08:22:46",0.7091 USDT,-59.93%
9,BLURUSDT Perpetual,Isolated,Long 15.00x,"02/14/2024, 02:42:53",0.7161 USDT,-235.41 USDT,"2,792 Contracts","02/16/2024, 08:22:46",0.7093 USDT,-17.66%
10,CFXUSDT Perpetual,Isolated,Short 15.00x,"02/12/2024, 03:54:27",0.2151 USDT,"-1,574.77 USDT","18,009 Contracts","02/12/2024, 16:32:42",0.2238 USDT,-60.98%
11,ORDIUSDT Perpetual,Isolated,Short 10.00x,"02/12/2024, 03:54:29",61.144 USDT,-432.20 USDT,"3,469 Contracts","02/12/2024, 08:37:23",62.347 USDT,-20.38%
12,ETHUSDT Perpetual,Isolated,Short 20.00x,"02/12/2024, 03:52:30","2,476.50 USDT",-340.01 USDT,333 Contracts,"02/12/2024, 04:14:04","2,484.23 USDT",-8.25%
13,SOLUSDT Perpetual,Cross,Long 10.00x,"02/06/2024, 10:22:58",95.84 USDT,+356.42 USDT,42 Contracts,"02/12/2024, 03:52:14",104.80 USDT,+88.54%
14,SOLUSDT Perpetual,Cross,Long 10.00x,"02/06/2024, 07:22:17",94.67 USDT,"+1,399.76 USDT",145 Contracts,"02/12/2024, 03:52:14",104.80 USDT,+101.97%
15,SOLUSDT Perpetual,Cross,Long 10.00x,"02/06/2024, 02:25:01",95.97 USDT,+609.00 USDT,73 Contracts,"02/12/2024, 03:52:14",104.80 USDT,+86.92%
16,ETHUSDT Perpetual,Isolated,Long 30.00x,"02/06/2024, 10:22:53","2,350.72 USDT",+309.67 USDT,26 Contracts,"02/12/2024, 03:52:10","2,473.80 USDT",+152.00%
17,ETHUSDT Perpetual,Isolated,Long 30.00x,"02/06/2024, 10:22:34","2,353.83 USDT",+603.17 USDT,52 Contracts,"02/12/2024, 03:52:10","2,473.80 USDT",+147.83%
18,ETHUSDT Perpetual,Isolated,Long 30.00x,"02/06/2024, 02:25:11","2,328.51 USDT","+1,271.63 USDT",90 Contracts,"02/12/2024, 03:52:10","2,473.80 USDT",+182.03%
19,BLURUSDT Perpetual,Isolated,Long 10.00x,"02/09/2024, 11:20:10",0.6292 USDT,-498.11 USDT,"1,990 Contracts","02/12/2024, 03:52:08",0.6049 USDT,-39.79%
20,BLURUSDT Perpetual,Isolated,Long 10.00x,"02/09/2024, 01:08:38",0.6384 USDT,-476.70 USDT,"1,390 Contracts","02/12/2024, 03:52:08",0.6050 USDT,-53.73%
21,BLURUSDT Perpetual,Isolated,Long 10.00x,"02/09/2024, 01:08:32",0.6382 USDT,-472.74 USDT,"1,393 Contracts","02/12/2024, 03:52:08",0.6052 USDT,-53.18%
22,BLURUSDT Perpetual,Isolated,Long 10.00x,"02/08/2024, 10:36:57",0.6197 USDT,-132.03 USDT,863 Contracts,"02/12/2024, 03:52:08",0.6053 USDT,-24.69%
23,LUNAUSDT Perpetual,Isolated,Long 10.00x,"02/07/2024, 18:25:54",0.6629 USDT,-130.53 USDT,"10,969 Contracts","02/12/2024, 01:49:32",0.6518 USDT,-17.96%
24,LUNAUSDT Perpetual,Isolated,Long 10.00x,"02/06/2024, 02:25:23",0.6331 USDT,+152.37 USDT,"8,662 Contracts","02/12/2024, 01:49:32",0.6520 USDT,+27.78%
25,LUNAUSDT Perpetual,Isolated,Long 10.00x,"02/04/2024, 08:03:26",0.6471 USDT,+794.59 USDT,"58,614 Contracts","02/12/2024, 01:49:32",0.6623 USDT,+20.94%
26,BTCUSDT Perpetual,Cross,Long 10.00x,"02/06/2024, 02:25:17","42,930.0 USDT",+5.08 USDT,12 Contracts,"02/06/2024, 23:48:01","43,019.9 USDT",+0.98%
27,WLDUSDT Perpetual,Isolated,Long 10.00x,"02/04/2024, 15:30:45",2.240 USDT,-839.86 USDT,"14,410 Contracts","02/04/2024, 16:39:39",2.183 USDT,-26.02%
28,WLDUSDT Perpetual,Isolated,Long 10.00x,"02/04/2024, 06:25:05",2.259 USDT,"-1,590.79 USDT","26,069 Contracts","02/04/2024, 13:08:08",2.200 USDT,-27.02%
29,PEOPLEUSDT Perpetual,Isolated,Long 5.00x,"02/01/2024, 20:29:02",0.02764 USDT,"-1,696.93 USDT","9,600 Contracts","02/04/2024, 08:03:14",0.02591 USDT,-31.98%
30,SUIUSDT Perpetual,Isolated,Long 15.00x,"01/23/2024, 04:52:06",1.0774 USDT,"+15,199.69 USDT","43,262 Contracts","02/03/2024, 05:23:34",1.4281 USDT,+489.15%
31,WLDUSDT Perpetual,Isolated,Long 10.00x,"01/30/2024, 06:07:46",2.695 USDT,"-1,167.85 USDT","3,755 Contracts","01/30/2024, 18:19:23",2.386 USDT,-115.41%
32,WLDUSDT Perpetual,Isolated,Long 10.00x,"01/30/2024, 06:07:40",2.691 USDT,"-1,151.94 USDT","3,752 Contracts","01/30/2024, 18:19:23",2.386 USDT,-114.10%
33,WLDUSDT Perpetual,Isolated,Long 10.00x,"01/30/2024, 05:31:36",2.597 USDT,"-1,384.29 USDT","6,505 Contracts","01/30/2024, 18:19:23",2.386 USDT,-81.95%
34,APTUSDT Perpetual,Isolated,Long 10.00x,"01/28/2024, 18:32:06",9.0365 USDT,-43.68 USDT,"5,300 Contracts","01/28/2024, 18:41:07",9.0345 USDT,-0.92%
35,SUIUSDT Perpetual,Isolated,Long 10.00x,"01/27/2024, 04:30:20",1.4050 USDT,-676.95 USDT,"14,613 Contracts","01/28/2024, 06:22:09",1.3594 USDT,-32.98%
36,UMAUSDT Perpetual,Isolated,Long 10.00x,"01/26/2024, 00:54:29",5.446 USDT,"-1,108.36 USDT","44,064 Contracts","01/26/2024, 23:23:00",5.132 USDT,-46.19%
37,TIAUSDT Perpetual,Isolated,Long 10.00x,"01/26/2024, 11:01:40",16.810 USDT,+478.40 USDT,"1,461 Contracts","01/26/2024, 23:22:44",17.146 USDT,+19.47%
38,MATICUSDT Perpetual,Isolated,Short 10.00x,"01/24/2024, 22:08:10",0.7300 USDT,-118.82 USDT,"2,950 Contracts","01/26/2024, 00:54:55",0.7335 USDT,-5.52%
39,LINKUSDT Perpetual,Isolated,Short 10.00x,"01/25/2024, 02:33:19",13.962 USDT,+221.35 USDT,"1,545 Contracts","01/26/2024, 00:54:54",13.809 USDT,+10.26%
40,SUIUSDT Perpetual,Isolated,Long 10.00x,"01/23/2024, 09:41:58",1.1443 USDT,"+1,648.62 USDT","13,890 Contracts","01/24/2024, 09:11:43",1.2639 USDT,+103.71%
41,WLDUSDT Perpetual,Isolated,Long 10.00x,"01/21/2024, 15:16:58",2.531 USDT,"-2,463.84 USDT","21,132 Contracts","01/21/2024, 23:00:08",2.416 USDT,-46.07%
42,MEMEUSDT Perpetual,Isolated,Long 10.00x,"01/21/2024, 06:46:42",0.02584 USDT,-826.52 USDT,"8,247 Contracts","01/21/2024, 14:27:43",0.02485 USDT,-38.79%
43,MEMEUSDT Perpetual,Isolated,Long 10.00x,"01/21/2024, 06:28:34",0.02571 USDT,"-2,826.76 USDT","33,073 Contracts","01/21/2024, 14:27:43",0.02486 USDT,-33.25%
44,BLURUSDT Perpetual,Isolated,Long 10.00x,"01/11/2024, 03:44:21",0.5755 USDT,"+1,976.02 USDT","2,619 Contracts","01/18/2024, 15:04:26",0.6511 USDT,+131.10%
45,BLURUSDT Perpetual,Isolated,Long 10.00x,"01/10/2024, 15:41:40",0.5064 USDT,"+2,549.86 USDT","1,763 Contracts","01/18/2024, 15:04:26",0.6512 USDT,+285.60%
46,BLURUSDT Perpetual,Isolated,Long 10.00x,"01/10/2024, 14:48:39",0.5103 USDT,"+7,141.87 USDT","5,068 Contracts","01/18/2024, 15:04:26",0.6513 USDT,+276.15%
47,ETHUSDT Perpetual,Isolated,Long 20.00x,"01/10/2024, 07:29:42","2,389.81 USDT",+397.72 USDT,72 Contracts,"01/18/2024, 15:04:09","2,451.23 USDT",+46.22%
48,ETHUSDT Perpetual,Isolated,Long 20.00x,"01/09/2024, 15:38:59","2,300.88 USDT","+1,050.30 USDT",73 Contracts,"01/18/2024, 15:04:09","2,451.24 USDT",+125.06%
49,ETHUSDT Perpetual,Isolated,Long 20.00x,"01/09/2024, 15:38:43","2,298.69 USDT",+14.60 USDT,1 Contracts,"01/18/2024, 15:04:09","2,451.24 USDT",+127.08%
50,ETHUSDT Perpetual,Isolated,Long 20.00x,"01/09/2024, 07:00:59","2,272.29 USDT",+172.48 USDT,10 Contracts,"01/18/2024, 15:04:09","2,451.24 USDT",+151.81%
51,ETHUSDT Perpetual,Isolated,Long 20.00x,"01/09/2024, 07:00:55","2,270.86 USDT","+8,984.76 USDT",478 Contracts,"01/18/2024, 15:04:09","2,465.17 USDT",+165.54%
52,ETHUSDT Perpetual,Isolated,Long 20.00x,"01/09/2024, 06:55:43","2,288.61 USDT","+6,769.20 USDT",285 Contracts,"01/17/2024, 11:26:23","2,531.90 USDT",+207.56%
53,DOTUSDT Perpetual,Isolated,Long 10.00x,"01/10/2024, 21:38:45",8.225 USDT,"-3,031.28 USDT","3,698 Contracts","01/12/2024, 16:21:24",7.411 USDT,-99.67%
54,BIGTIMEUSDT Perpetual,Isolated,Long 10.00x,"01/12/2024, 00:42:19",0.4756 USDT,"-1,733.15 USDT","3,666 Contracts","01/12/2024, 11:21:49",0.4286 USDT,-99.41%
55,LDOUSDT Perpetual,Isolated,Long 10.00x,"01/10/2024, 16:45:49",3.760 USDT,-396.07 USDT,"1,640 Contracts","01/11/2024, 10:16:41",3.523 USDT,-64.24%
56,LDOUSDT Perpetual,Isolated,Long 10.00x,"01/10/2024, 15:44:30",3.775 USDT,"-1,722.48 USDT","6,801 Contracts","01/11/2024, 10:16:41",3.525 USDT,-67.10%
57,BIGTIMEUSDT Perpetual,Isolated,Long 10.00x,"01/11/2024, 07:33:28",0.4555 USDT,"-3,014.83 USDT","8,012 Contracts","01/11/2024, 10:16:38",0.4182 USDT,-82.60%
58,BADGERUSDT Perpetual,Isolated,Short 5.00x,"01/10/2024, 11:09:16",3.449 USDT,-422.59 USDT,"26,256 Contracts","01/10/2024, 21:16:33",3.607 USDT,-23.34%
59,BALUSDT Perpetual,Isolated,Short 10.00x,"01/10/2024, 11:11:56",4.007 USDT,-431.81 USDT,"46,252 Contracts","01/10/2024, 15:07:24",4.098 USDT,-23.30%
60,SUSHIUSDT Perpetual,Isolated,Short 10.00x,"01/10/2024, 11:07:43",1.0873 USDT,-377.59 USDT,"12,000 Contracts","01/10/2024, 14:48:19",1.1180 USDT,-28.94%
61,BCHUSDT Perpetual,Isolated,Long 10.00x,"01/09/2024, 06:55:51",249.1 USDT,-723.29 USDT,440 Contracts,"01/10/2024, 06:57:22",232.9 USDT,-66.00%
62,BCHUSDT Perpetual,Isolated,Long 10.00x,"01/09/2024, 06:01:26",250.7 USDT,-951.83 USDT,529 Contracts,"01/10/2024, 06:57:22",233.0 USDT,-71.78%
63,BTCUSDT Perpetual,Isolated,Long 20.00x,"01/08/2024, 02:23:30","44,054.1 USDT","+1,653.24 USDT",121 Contracts,"01/09/2024, 15:28:37","45,484.3 USDT",+62.02%
64,BTCUSDT Perpetual,Isolated,Long 20.00x,"01/08/2024, 01:23:25","43,997.5 USDT","+4,233.01 USDT",294 Contracts,"01/09/2024, 15:28:37","45,487.0 USDT",+65.44%
65,ETHUSDT Perpetual,Isolated,Long 15.00x,"01/09/2024, 06:54:16","2,298.61 USDT",-148.48 USDT,151 Contracts,"01/09/2024, 06:55:32","2,291.07 USDT",-6.42%
66,ETHUSDT Perpetual,Isolated,Long 15.00x,"01/09/2024, 06:54:25","2,297.49 USDT",-134.13 USDT,152 Contracts,"01/09/2024, 06:55:30","2,290.96 USDT",-5.77%
67,BTCUSDT Perpetual,Isolated,Long 20.00x,"01/08/2024, 03:34:20","43,841.0 USDT","+2,748.68 USDT",92 Contracts,"01/09/2024, 06:53:33","46,892.0 USDT",+136.29%
68,PEOPLEUSDT Perpetual,Isolated,Long 5.00x,"01/08/2024, 00:31:31",0.04713 USDT,"-1,265.81 USDT","3,453 Contracts","01/08/2024, 03:54:04",0.04348 USDT,-38.90%
69,BTCUSDT Perpetual,Cross,Long 10.00x,"01/08/2024, 02:23:19","44,056.2 USDT",-16.64 USDT,60 Contracts,"01/08/2024, 02:23:22","44,054.9 USDT",-0.63%
70,1INCHUSDT Perpetual,Isolated,Long 10.00x,"01/06/2024, 06:51:07",0.4418 USDT,"-1,743.30 USDT","51,256 Contracts","01/07/2024, 18:49:21",0.4080 USDT,-76.99%
71,PEOPLEUSDT Perpetual,Isolated,Long 5.00x,"01/05/2024, 06:13:41",0.03380 USDT,"+4,625.96 USDT","3,485 Contracts","01/07/2024, 10:32:32",0.04713 USDT,+196.35%
72,PEOPLEUSDT Perpetual,Isolated,Long 5.00x,"01/05/2024, 04:32:55",0.02888 USDT,"+6,858.26 USDT","3,752 Contracts","01/07/2024, 10:32:32",0.04720 USDT,+316.46%
73,MEMEUSDT Perpetual,Isolated,Long 10.00x,"01/05/2024, 11:46:38",0.02384 USDT,-966.69 USDT,"16,326 Contracts","01/06/2024, 01:38:42",0.02327 USDT,-24.84%
74,BNTUSDT Perpetual,Isolated,Long 10.00x,"01/05/2024, 11:49:02",0.7250 USDT,-64.08 USDT,"1,349 Contracts","01/06/2024, 01:38:40",0.7208 USDT,-6.56%
75,TURBOUSDT Perpetual,Isolated,Long 10.00x,"01/05/2024, 13:51:41",0.0004543 USDT,-134.81 USDT,"4,303 Contracts","01/06/2024, 01:38:36",0.0004517 USDT,-6.90%
76,BNTUSDT Perpetual,Isolated,Long 10.00x,"01/05/2024, 11:48:59",0.7247 USDT,-112.32 USDT,"1,349 Contracts","01/06/2024, 00:11:26",0.7168 USDT,-11.49%
77,BNTUSDT Perpetual,Isolated,Long 10.00x,"01/05/2024, 11:48:55",0.7244 USDT,-0.79 USDT,11 Contracts,"01/06/2024, 00:11:26",0.7179 USDT,-9.89%
78,SSVUSDT Perpetual,Isolated,Long 10.00x,"01/04/2024, 02:15:14",30.54 USDT,"+2,723.81 USDT","17,454 Contracts","01/05/2024, 23:35:31",32.14 USDT,+51.09%
79,1INCHUSDT Perpetual,Isolated,Long 10.00x,"01/05/2024, 09:06:54",0.4776 USDT,-855.29 USDT,"55,940 Contracts","01/05/2024, 20:13:33",0.4626 USDT,-32.02%
80,TURBOUSDT Perpetual,Isolated,Long 10.00x,"01/05/2024, 08:51:57",0.0004144 USDT,"+1,857.16 USDT","1,366 Contracts","01/05/2024, 10:36:15",0.0005507 USDT,+328.07%
81,TURBOUSDT Perpetual,Isolated,Long 10.00x,"01/05/2024, 08:47:00",0.0003971 USDT,"+4,349.17 USDT","2,785 Contracts","01/05/2024, 10:36:15",0.0005536 USDT,+393.26%
82,ATOMUSDT Perpetual,Isolated,Long 10.00x,"01/05/2024, 07:56:10",10.342 USDT,-620.82 USDT,"2,275 Contracts","01/05/2024, 08:59:21",10.077 USDT,-26.39%
83,ATOMUSDT Perpetual,Isolated,Long 10.00x,"01/05/2024, 04:50:56",10.676 USDT,"-1,218.49 USDT","2,030 Contracts","01/05/2024, 08:59:21",10.083 USDT,-56.23%
84,TURBOUSDT Perpetual,Isolated,Long 10.00x,"01/05/2024, 08:10:45",0.0003992 USDT,-687.65 USDT,"5,767 Contracts","01/05/2024, 08:15:36",0.0003877 USDT,-29.87%
85,ATOMUSDT Perpetual,Cross,Long 10.00x,"01/05/2024, 07:55:53",10.335 USDT,-3.80 USDT,560 Contracts,"01/05/2024, 07:56:01",10.337 USDT,-0.66%
86,APTUSDT Perpetual,Isolated,Long 10.00x,"01/04/2024, 04:59:48",9.8860 USDT,"+1,026.87 USDT","3,423 Contracts","01/05/2024, 04:59:08",10.1944 USDT,+30.34%
87,APTUSDT Perpetual,Isolated,Long 10.00x,"01/04/2024, 04:31:58",9.6882 USDT,"+1,733.87 USDT","3,458 Contracts","01/05/2024, 04:59:08",10.1979 USDT,+51.75%
88,BLURUSDT Perpetual,Isolated,Long 10.00x,"01/04/2024, 00:15:23",0.5357 USDT,"-4,808.94 USDT","10,000 Contracts","01/04/2024, 19:48:53",0.4880 USDT,-89.77%
89,APTUSDT Perpetual,Isolated,Long 10.00x,"01/04/2024, 03:47:38",9.7995 USDT,-146.77 USDT,601 Contracts,"01/04/2024, 04:26:27",9.5620 USDT,-24.92%
90,APTUSDT Perpetual,Isolated,Long 10.00x,"01/04/2024, 03:47:36",9.7987 USDT,-964.39 USDT,"3,998 Contracts","01/04/2024, 04:26:27",9.5643 USDT,-24.62%
