,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,BTCUSDT Perpetual,Cross,Long 75.00x,"02/21/2024, 11:37:37","51,085.3 USDT",-8.53 USDT,7 Contracts,"02/21/2024, 11:39:40","51,014.5 USDT",-17.89%
1,BTCUSDT Perpetual,Cross,Long 75.00x,"02/21/2024, 11:23:03","51,213.9 USDT",-12.53 USDT,5 Contracts,"02/21/2024, 11:39:40","51,014.5 USDT",-36.70%
2,BTCUSDT Perpetual,Cross,Long 75.00x,"02/21/2024, 10:23:20","51,115.0 USDT",-195.52 USDT,129 Contracts,"02/21/2024, 11:39:40","51,014.5 USDT",-22.24%
3,BTCUSDT Perpetual,Cross,Long 75.00x,"02/21/2024, 10:21:35","51,126.0 USDT",-11.38 USDT,7 Contracts,"02/21/2024, 11:39:40","51,014.5 USDT",-23.85%
4,BTCUSDT Perpetual,Cross,Long 75.00x,"02/21/2024, 10:17:57","51,210.8 USDT",-17.32 USDT,7 Contracts,"02/21/2024, 11:39:40","51,014.5 USDT",-36.24%
5,BTCUSDT Perpetual,Cross,Long 75.00x,"02/21/2024, 09:47:30","51,106.8 USDT",+25.03 USDT,137 Contracts,"02/21/2024, 11:39:40","51,179.0 USDT",+2.68%
6,BTCUSDT Perpetual,Cross,Long 75.00x,"02/21/2024, 09:46:36","51,102.9 USDT",+3.18 USDT,7 Contracts,"02/21/2024, 10:39:42","51,202.3 USDT",+6.66%
7,BTCUSDT Perpetual,Cross,Long 75.00x,"02/21/2024, 09:44:26","51,117.9 USDT",+2.13 USDT,7 Contracts,"02/21/2024, 10:39:42","51,202.3 USDT",+4.46%
8,BTCUSDT Perpetual,Cross,Long 75.00x,"02/21/2024, 09:43:31","51,217.9 USDT",-3.49 USDT,5 Contracts,"02/21/2024, 10:39:42","51,202.3 USDT",-10.20%
9,BTCUSDT Perpetual,Cross,Long 75.00x,"02/21/2024, 09:27:45","51,213.2 USDT",-4.55 USDT,7 Contracts,"02/21/2024, 10:39:42","51,202.3 USDT",-9.51%
10,BTCUSDT Perpetual,Cross,Long 75.00x,"02/21/2024, 08:37:06","51,010.4 USDT",+310.40 USDT,384 Contracts,"02/21/2024, 10:39:42","51,143.6 USDT",+11.88%
11,BTCUSDT Perpetual,Cross,Long 50.00x,"02/21/2024, 08:20:37","50,953.4 USDT",-8.18 USDT,7 Contracts,"02/21/2024, 08:29:21","50,887.6 USDT",-11.46%
12,BTCUSDT Perpetual,Cross,Long 50.00x,"02/21/2024, 08:14:10","51,115.1 USDT",-13.93 USDT,5 Contracts,"02/21/2024, 08:29:21","50,887.6 USDT",-27.25%
13,BTCUSDT Perpetual,Cross,Long 50.00x,"02/21/2024, 08:09:03","51,180.2 USDT",-113.40 USDT,33 Contracts,"02/21/2024, 08:29:21","50,887.6 USDT",-33.58%
14,BTCUSDT Perpetual,Cross,Long 50.00x,"02/21/2024, 07:41:17","51,078.0 USDT",-207.59 USDT,86 Contracts,"02/21/2024, 08:29:21","50,887.6 USDT",-23.63%
15,BTCUSDT Perpetual,Cross,Long 50.00x,"02/21/2024, 07:22:26","51,157.2 USDT",-3.21 USDT,1 Contracts,"02/21/2024, 08:29:21","50,887.6 USDT",-31.34%
16,BTCUSDT Perpetual,Cross,Long 50.00x,"02/21/2024, 06:10:20","50,959.2 USDT",+271.90 USDT,192 Contracts,"02/21/2024, 08:29:21","51,151.9 USDT",+13.89%
17,BTCUSDT Perpetual,Cross,Long 100.00x,"02/21/2024, 06:08:02","50,909.7 USDT",-921.77 USDT,385 Contracts,"02/21/2024, 06:08:11","50,721.1 USDT",-47.03%
18,BTCUSDT Perpetual,Cross,Short 100.00x,"02/21/2024, 06:07:51","50,720.2 USDT",-20.83 USDT,13 Contracts,"02/21/2024, 06:07:57","50,829.6 USDT",-31.58%
19,BTCUSDT Perpetual,Cross,Short 100.00x,"02/21/2024, 06:05:49","50,811.3 USDT",-192.16 USDT,389 Contracts,"02/21/2024, 06:07:57","50,809.8 USDT",-9.73%
20,BTCUSDT Perpetual,Cross,Short 100.00x,"02/21/2024, 05:49:41","50,939.9 USDT",-212.41 USDT,196 Contracts,"02/21/2024, 06:00:10","50,997.3 USDT",-21.28%
21,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 11:56:30","51,256.2 USDT",-7.69 USDT,7 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",-21.42%
22,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 11:53:20","51,120.1 USDT",-17.21 USDT,7 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",-48.09%
23,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 11:31:52","51,131.9 USDT",-16.39 USDT,7 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",-45.77%
24,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 11:26:13","51,035.0 USDT",-23.17 USDT,7 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",-64.84%
25,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 11:25:38","50,909.2 USDT",-22.84 USDT,5 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",-89.70%
26,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 11:01:35","51,255.4 USDT",-7.75 USDT,7 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",-21.58%
27,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 10:26:15","51,692.2 USDT",+29.33 USDT,9 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",+63.06%
28,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 10:17:49","51,784.5 USDT",+37.64 USDT,9 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",+80.76%
29,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 09:51:57","51,678.9 USDT",+22.54 USDT,7 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",+62.33%
30,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 09:43:24","51,682.9 USDT",+29.35 USDT,9 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",+63.09%
31,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 09:41:15","51,592.2 USDT",+16.48 USDT,7 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",+45.63%
32,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 09:33:57","51,587.5 USDT",+16.15 USDT,7 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",+44.73%
33,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 09:32:03","51,487.1 USDT",+9.12 USDT,7 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",+25.32%
34,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 09:19:13","51,809.2 USDT",+31.66 USDT,7 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",+87.31%
35,BTCUSDT Perpetual,Cross,Short 100.00x,"02/20/2024, 08:53:36","52,093.3 USDT",+66.26 USDT,9 Contracts,"02/20/2024, 11:58:45","51,314.7 USDT",+141.34%
