,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent,close_date,symbol,trade_type,num_contracts,contract_multiplier,quantity
0,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-20 05:05:42,2936.13,36.53,106 Contracts,"02/20/2024, 08:40:02",2941.33,+1.17%,2024-02-20 08:40:02,ETHUSDT,open_long,106,0.1,10.600000000000001
1,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-20 05:05:24,2931.35,158.21,192 Contracts,"02/20/2024, 08:40:02",2941.35,+2.81%,2024-02-20 08:40:02,ETHUSDT,open_long,192,0.1,19.200000000000003
2,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-20 05:05:23,2928.66,231.96,209 Contracts,"02/20/2024, 08:40:02",2941.52,+3.78%,2024-02-20 08:40:02,ETHUSDT,open_long,209,0.1,20.900000000000002
3,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-20 05:05:21,2924.47,476.28,311 Contracts,"02/20/2024, 08:40:02",2941.55,+5.23%,2024-02-20 08:40:02,ETHUSDT,open_long,311,0.1,31.1
4,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-12 11:27:40,2588.88,3266.52,392 Contracts,"02/12/2024, 19:39:06",2674.15,+32.18%,2024-02-12 19:39:06,ETHUSDT,open_long,392,0.1,39.2
5,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-12 11:27:25,2583.23,1765.61,208 Contracts,"02/12/2024, 19:17:06",2670.05,+32.85%,2024-02-12 19:17:06,ETHUSDT,open_long,208,0.1,20.8
6,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-12 11:27:24,2580.22,2350.77,266 Contracts,"02/12/2024, 19:05:39",2670.54,+34.25%,2024-02-12 19:05:39,ETHUSDT,open_long,266,0.1,26.6
7,ETHUSDT Perpetual,Isolated,Long 10.00x,2024-02-12 11:27:22,2576.43,2886.02,284 Contracts,"02/12/2024, 18:40:03",2679.99,+39.44%,2024-02-12 18:40:03,ETHUSDT,open_long,284,0.1,28.400000000000002
8,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-26 05:00:11,40740.1,126.5,24 Contracts,"01/26/2024, 06:43:00",41291.8,+12.93%,2024-01-26 06:43:00,BTCUSDT,open_long,24,0.01,0.24
9,BTCUSDT Perpetual,Isolated,Long 10.00x,2024-01-26 05:00:02,40709.3,217.58,39 Contracts,"01/26/2024, 06:43:00",41291.8,+13.70%,2024-01-26 06:43:00,BTCUSDT,open_long,39,0.01,0.39
