,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,ETHUSDT Perpetual,Isolated,Long 10.00x,"02/20/2024, 05:05:42","2,936.13 USDT",+36.53 USDT,106 Contracts,"02/20/2024, 08:40:02","2,941.33 USDT",+1.17%
1,ETHUSDT Perpetual,Isolated,Long 10.00x,"02/20/2024, 05:05:24","2,931.35 USDT",+158.21 USDT,192 Contracts,"02/20/2024, 08:40:02","2,941.35 USDT",+2.81%
2,ETHUSDT Perpetual,Isolated,Long 10.00x,"02/20/2024, 05:05:23","2,928.66 USDT",+231.96 USDT,209 Contracts,"02/20/2024, 08:40:02","2,941.52 USDT",+3.78%
3,ETHUSDT Perpetual,Isolated,Long 10.00x,"02/20/2024, 05:05:21","2,924.47 USDT",+476.28 USDT,311 Contracts,"02/20/2024, 08:40:02","2,941.55 USDT",+5.23%
4,ETHUSDT Perpetual,Isolated,Long 10.00x,"02/12/2024, 11:27:40","2,588.88 USDT","+3,266.52 USDT",392 Contracts,"02/12/2024, 19:39:06","2,674.15 USDT",+32.18%
5,ETHUSDT Perpetual,Isolated,Long 10.00x,"02/12/2024, 11:27:25","2,583.23 USDT","+1,765.61 USDT",208 Contracts,"02/12/2024, 19:17:06","2,670.05 USDT",+32.85%
6,ETHUSDT Perpetual,Isolated,Long 10.00x,"02/12/2024, 11:27:24","2,580.22 USDT","+2,350.77 USDT",266 Contracts,"02/12/2024, 19:05:39","2,670.54 USDT",+34.25%
7,ETHUSDT Perpetual,Isolated,Long 10.00x,"02/12/2024, 11:27:22","2,576.43 USDT","+2,886.02 USDT",284 Contracts,"02/12/2024, 18:40:03","2,679.99 USDT",+39.44%
8,BTCUSDT Perpetual,Isolated,Long 10.00x,"01/26/2024, 05:00:11","40,740.1 USDT",+126.50 USDT,24 Contracts,"01/26/2024, 06:43:00","41,291.8 USDT",+12.93%
9,BTCUSDT Perpetual,Isolated,Long 10.00x,"01/26/2024, 05:00:02","40,709.3 USDT",+217.58 USDT,39 Contracts,"01/26/2024, 06:43:00","41,291.8 USDT",+13.70%
10,BTCUSDT Perpetual,Isolated,Long 10.00x,"01/26/2024, 04:40:54","40,618.9 USDT",+538.57 USDT,83 Contracts,"01/26/2024, 06:43:00","41,292.3 USDT",+15.97%
11,BTCUSDT Perpetual,Isolated,Long 10.00x,"01/26/2024, 04:40:10","40,504.3 USDT","+1,361.94 USDT",178 Contracts,"01/26/2024, 06:43:00","41,293.9 USDT",+18.89%
12,BTCUSDT Perpetual,Isolated,Long 10.00x,"01/26/2024, 04:40:51","40,573.2 USDT",+776.58 USDT,91 Contracts,"01/26/2024, 06:28:12","41,451.2 USDT",+21.03%
13,BTCUSDT Perpetual,Isolated,Long 10.00x,"01/26/2024, 04:40:07","40,475.5 USDT","+1,882.21 USDT",189 Contracts,"01/26/2024, 06:28:07","41,495.9 USDT",+24.60%
14,BTCUSDT Perpetual,Isolated,Short 10.00x,"01/11/2024, 18:00:20","46,321.3 USDT","+2,011.02 USDT",50 Contracts,"01/14/2024, 20:36:22","42,291.7 USDT",+86.82%
15,BTCUSDT Perpetual,Isolated,Short 10.00x,"01/11/2024, 09:00:58","48,551.9 USDT","+12,536.41 USDT",200 Contracts,"01/14/2024, 20:36:15","42,290.0 USDT",+129.10%
16,BTCUSDT Perpetual,Isolated,Short 10.00x,"01/11/2024, 08:55:24","48,524.5 USDT",-121.53 USDT,200 Contracts,"01/11/2024, 08:57:27","48,556.1 USDT",-1.26%
17,BTCUSDT Perpetual,Isolated,Short 10.00x,"01/11/2024, 08:55:29","48,322.4 USDT",-409.74 USDT,200 Contracts,"01/11/2024, 08:56:42","48,498.2 USDT",-4.24%
18,BTCUSDT Perpetual,Isolated,Short 10.00x,"01/11/2024, 08:54:00","48,575.4 USDT",-347.60 USDT,200 Contracts,"01/11/2024, 08:54:26","48,720.0 USDT",-3.58%
19,BTCUSDT Perpetual,Isolated,Short 10.00x,"01/11/2024, 07:31:08","46,980.0 USDT",-149.03 USDT,114 Contracts,"01/11/2024, 07:34:15","47,082.5 USDT",-2.79%
20,BTCUSDT Perpetual,Isolated,Short 10.00x,"01/11/2024, 07:30:42","47,096.1 USDT",-19.68 USDT,140 Contracts,"01/11/2024, 07:34:15","47,081.9 USDT",-0.30%
21,PEOPLEUSDT Perpetual,Isolated,Long 3.00x,"01/03/2024, 09:34:24",0.04,-92.20 USDT,"1,050 Contracts","01/03/2024, 09:35:11",0.04,-5.72%
22,PEOPLEUSDT Perpetual,Isolated,Long 3.00x,"01/03/2024, 09:34:11",0.04,+41.73 USDT,"1,214 Contracts","01/03/2024, 09:35:11",0.04,+2.29%
23,PEOPLEUSDT Perpetual,Isolated,Long 3.00x,"01/03/2024, 09:30:18",0.04,+11.88 USDT,"1,798 Contracts","01/03/2024, 09:30:40",0.04,+0.41%
24,PEOPLEUSDT Perpetual,Isolated,Long 3.00x,"01/03/2024, 09:30:09",0.04,+253.89 USDT,"1,246 Contracts","01/03/2024, 09:30:40",0.04,+13.29%
25,PEOPLEUSDT Perpetual,Isolated,Long 3.00x,"01/03/2024, 09:30:07",0.04,+374.81 USDT,"1,202 Contracts","01/03/2024, 09:30:40",0.04,+20.80%
26,BTCUSDT Perpetual,Isolated,Long 10.00x,"01/03/2024, 06:01:38","42,523.3 USDT",-366.83 USDT,132 Contracts,"01/03/2024, 06:02:35","42,287.8 USDT",-6.54%
27,BTCUSDT Perpetual,Isolated,Long 10.00x,"01/01/2024, 09:38:07","42,672.2 USDT","+3,433.55 USDT",169 Contracts,"01/01/2024, 18:15:16","44,756.2 USDT",+47.61%
28,BTCUSDT Perpetual,Isolated,Long 10.00x,"01/01/2024, 04:53:49","42,750.0 USDT",+981.20 USDT,50 Contracts,"01/01/2024, 18:15:16","44,756.2 USDT",+45.90%
29,BTCUSDT Perpetual,Isolated,Long 10.00x,"01/01/2024, 04:54:33","42,745.0 USDT",+983.70 USDT,50 Contracts,"01/01/2024, 18:15:16","44,756.2 USDT",+46.02%
30,BTCUSDT Perpetual,Isolated,Long 10.00x,"01/01/2024, 04:39:05","42,700.1 USDT","+3,001.45 USDT",200 Contracts,"01/01/2024, 18:02:22","44,244.4 USDT",+35.14%
31,BTCUSDT Perpetual,Isolated,Long 10.00x,"01/01/2024, 04:40:56","42,700.0 USDT","+1,917.42 USDT",126 Contracts,"01/01/2024, 18:02:02","44,265.4 USDT",+35.63%
32,BTCUSDT Perpetual,Isolated,Long 10.00x,"01/01/2024, 05:11:28","42,771.9 USDT",-5.23 USDT,22 Contracts,"01/01/2024, 06:44:16","42,773.8 USDT",-0.56%
33,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/31/2023, 21:35:44","42,419.9 USDT",-2.74 USDT,2 Contracts,"12/31/2023, 21:43:58","42,300.0 USDT",-3.23%
34,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/31/2023, 19:49:29","42,725.0 USDT",-400.96 USDT,89 Contracts,"12/31/2023, 21:43:58","42,300.0 USDT",-10.55%
35,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/31/2023, 19:49:19","42,704.1 USDT",-214.81 USDT,50 Contracts,"12/31/2023, 21:43:58","42,300.0 USDT",-10.06%
36,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/31/2023, 19:48:21","42,686.9 USDT",-420.71 USDT,102 Contracts,"12/31/2023, 21:43:58","42,300.0 USDT",-9.67%
37,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/31/2023, 19:41:35","42,731.3 USDT",-835.97 USDT,183 Contracts,"12/31/2023, 21:43:58","42,300.0 USDT",-10.70%
38,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/31/2023, 19:41:33","42,693.0 USDT",-778.56 USDT,186 Contracts,"12/31/2023, 21:43:58","42,300.0 USDT",-9.81%
39,ORDIUSDT Perpetual,Isolated,Long 5.00x,"12/25/2023, 18:03:53",75.693 USDT,+182.59 USDT,"1,447 Contracts","12/25/2023, 18:05:32",77.001 USDT,+8.33%
40,ORDIUSDT Perpetual,Isolated,Long 5.00x,"12/25/2023, 18:03:51",75.430 USDT,+276.85 USDT,"1,795 Contracts","12/25/2023, 18:05:32",77.018 USDT,+10.22%
41,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/23/2023, 18:04:11","43,697.3 USDT",-144.46 USDT,25 Contracts,"12/24/2023, 16:14:45","43,158.6 USDT",-13.23%
42,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/23/2023, 18:04:03","43,686.9 USDT",-141.86 USDT,25 Contracts,"12/24/2023, 16:14:45","43,158.6 USDT",-12.99%
43,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/22/2023, 00:45:16","43,979.1 USDT",-453.90 USDT,50 Contracts,"12/24/2023, 16:14:45","43,158.6 USDT",-20.65%
44,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/22/2023, 00:45:10","43,966.1 USDT",-447.40 USDT,50 Contracts,"12/24/2023, 16:14:45","43,158.6 USDT",-20.36%
45,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/20/2023, 17:17:20","43,522.1 USDT",-194.76 USDT,50 Contracts,"12/24/2023, 16:14:45","43,158.6 USDT",-8.95%
46,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/20/2023, 17:17:15","43,508.2 USDT",-187.84 USDT,50 Contracts,"12/24/2023, 16:14:45","43,158.6 USDT",-8.64%
47,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/20/2023, 00:50:27","42,840.0 USDT",+455.06 USDT,151 Contracts,"12/24/2023, 16:14:45","43,158.6 USDT",+7.03%
48,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/20/2023, 00:46:39","42,801.5 USDT",+523.54 USDT,154 Contracts,"12/24/2023, 16:14:45","43,158.6 USDT",+7.94%
49,SOLUSDT Perpetual,Isolated,Long 10.00x,"12/24/2023, 00:32:03",111.95 USDT,+182.78 USDT,88 Contracts,"12/24/2023, 02:12:08",114.15 USDT,+18.55%
50,SOLUSDT Perpetual,Isolated,Long 10.00x,"12/24/2023, 00:32:01",111.83 USDT,+199.94 USDT,91 Contracts,"12/24/2023, 02:12:08",114.15 USDT,+19.64%
51,SOLUSDT Perpetual,Isolated,Long 10.00x,"12/24/2023, 00:32:00",111.71 USDT,+361.54 USDT,155 Contracts,"12/24/2023, 02:12:08",114.16 USDT,+20.88%
52,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/20/2023, 00:49:32","42,840.0 USDT","+1,248.79 USDT",98 Contracts,"12/20/2023, 08:31:10","44,131.8 USDT",+29.74%
53,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/20/2023, 00:47:58","42,851.4 USDT","+1,211.72 USDT",95 Contracts,"12/20/2023, 08:31:07","44,153.0 USDT",+29.76%
54,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/20/2023, 00:48:00","42,862.3 USDT",+976.15 USDT,77 Contracts,"12/20/2023, 08:30:29","44,156.2 USDT",+29.57%
55,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/19/2023, 09:03:11","42,391.7 USDT",-55.54 USDT,29 Contracts,"12/19/2023, 11:05:30","42,225.6 USDT",-3.92%
56,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/19/2023, 09:03:08","42,365.9 USDT",-114.20 USDT,69 Contracts,"12/19/2023, 11:05:30","42,225.8 USDT",-3.31%
57,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/19/2023, 09:03:06","42,370.5 USDT",-118.80 USDT,70 Contracts,"12/19/2023, 11:05:30","42,226.1 USDT",-3.41%
58,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/19/2023, 09:03:05","42,353.5 USDT",-176.84 USDT,117 Contracts,"12/19/2023, 11:05:30","42,227.7 USDT",-2.97%
59,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/19/2023, 09:03:02","42,296.1 USDT",-138.36 USDT,148 Contracts,"12/19/2023, 11:05:30","42,227.9 USDT",-1.62%
60,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/19/2023, 09:03:00","42,293.6 USDT",-154.05 USDT,171 Contracts,"12/19/2023, 11:05:30","42,228.9 USDT",-1.54%
61,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/18/2023, 20:12:32","43,184.6 USDT",-4.98 USDT,4 Contracts,"12/18/2023, 20:23:35","43,086.2 USDT",-2.88%
62,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/18/2023, 20:09:13","43,180.2 USDT",-57.55 USDT,48 Contracts,"12/18/2023, 20:23:35","43,086.2 USDT",-2.78%
63,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/18/2023, 20:09:12","43,170.1 USDT",-80.14 USDT,73 Contracts,"12/18/2023, 20:23:35","43,086.2 USDT",-2.55%
64,BTCUSDT Perpetual,Isolated,Long 10.00x,"12/18/2023, 20:09:10","43,166.1 USDT",-82.51 USDT,78 Contracts,"12/18/2023, 20:23:35","43,086.2 USDT",-2.46%
