,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 10:30:28",6.178 USDT,-126.09 USDT,805 Contracts,"02/21/2024, 10:48:08",6.328 USDT,-25.36%
1,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 09:33:03",6.323 USDT,+230.54 USDT,"1,701 Contracts","02/21/2024, 10:28:13",6.183 USDT,+21.43%
2,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 09:32:33",6.317 USDT,+226.37 USDT,"1,736 Contracts","02/21/2024, 10:28:13",6.182 USDT,+20.64%
3,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 09:00:40",6.153 USDT,-38.32 USDT,"1,191 Contracts","02/21/2024, 10:28:13",6.181 USDT,-5.23%
4,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 08:26:42",6.120 USDT,-52.60 USDT,812 Contracts,"02/21/2024, 10:28:13",6.180 USDT,-10.59%
5,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 08:00:46",6.410 USDT,+71.67 USDT,776 Contracts,"02/21/2024, 08:06:37",6.311 USDT,+14.41%
6,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 06:50:13",6.549 USDT,+49.20 USDT,760 Contracts,"02/21/2024, 07:39:24",6.477 USDT,+9.88%
7,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 06:00:38",6.479 USDT,+47.65 USDT,768 Contracts,"02/21/2024, 06:05:13",6.410 USDT,+9.57%
8,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 04:15:47",6.675 USDT,+115.31 USDT,745 Contracts,"02/21/2024, 05:43:58",6.513 USDT,+23.19%
9,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 04:04:27",6.799 USDT,+108.39 USDT,840 Contracts,"02/21/2024, 04:09:29",6.663 USDT,+18.97%
10,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 04:04:14",6.789 USDT,+120.22 USDT,"1,008 Contracts","02/21/2024, 04:09:29",6.663 USDT,+17.56%
11,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 04:04:14",6.790 USDT,+126.56 USDT,"1,054 Contracts","02/21/2024, 04:09:29",6.663 USDT,+17.68%
12,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 03:57:17",6.682 USDT,+9.16 USDT,744 Contracts,"02/21/2024, 04:09:29",6.663 USDT,+1.84%
13,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 03:30:17",6.752 USDT,+109.36 USDT,"1,772 Contracts","02/21/2024, 03:35:52",6.683 USDT,+9.14%
14,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 03:30:13",6.757 USDT,+120.53 USDT,"1,782 Contracts","02/21/2024, 03:35:52",6.683 USDT,+10.01%
15,WLDUSDT Perpetual,Cross,Short 10.00x,"02/21/2024, 03:27:51",6.755 USDT,+49.00 USDT,729 Contracts,"02/21/2024, 03:35:52",6.681 USDT,+9.95%
