,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,FILUSDT Perpetual,Cross,Short 3.00x,"02/20/2024, 07:29:05",7.859 USDT,+521.45 USDT,"10,451 Contracts","02/20/2024, 09:28:53",7.357 USDT,+19.04%
1,FILUSDT Perpetual,Cross,Short 3.00x,"02/20/2024, 03:03:41",7.741 USDT,+240.72 USDT,"10,152 Contracts","02/20/2024, 03:58:50",7.499 USDT,+9.18%
2,WLDUSDT Perpetual,Cross,Short 3.00x,"02/19/2024, 11:16:36",7.177 USDT,+453.48 USDT,"1,395 Contracts","02/19/2024, 22:58:01",6.849 USDT,+13.58%
3,WLDUSDT Perpetual,Cross,Short 3.00x,"02/19/2024, 01:44:53",7.296 USDT,"+1,901.41 USDT","4,253 Contracts","02/19/2024, 22:58:01",6.848 USDT,+18.38%
4,WLDUSDT Perpetual,Cross,Short 3.00x,"02/19/2024, 01:43:49",7.285 USDT,"+2,752.52 USDT","5,634 Contracts","02/19/2024, 22:58:01",6.799 USDT,+20.11%
5,WLDUSDT Perpetual,Cross,Short 3.00x,"02/18/2024, 18:10:49",5.954 USDT,-682.74 USDT,"1,002 Contracts","02/19/2024, 22:02:35",6.639 USDT,-34.34%
6,WLDUSDT Perpetual,Cross,Short 3.00x,"02/18/2024, 17:49:39",5.846 USDT,-789.71 USDT,"1,005 Contracts","02/19/2024, 22:02:35",6.639 USDT,-40.33%
7,WLDUSDT Perpetual,Cross,Short 3.00x,"02/19/2024, 01:19:06",7.315 USDT,"+1,881.91 USDT","3,294 Contracts","02/19/2024, 21:56:05",6.745 USDT,+23.43%
8,WLDUSDT Perpetual,Cross,Short 3.00x,"02/19/2024, 16:49:57",7.741 USDT,+452.46 USDT,997 Contracts,"02/19/2024, 19:16:40",7.286 USDT,+17.58%
9,WLDUSDT Perpetual,Cross,Short 3.00x,"02/19/2024, 09:01:43",7.147 USDT,+12.07 USDT,845 Contracts,"02/19/2024, 11:18:00",7.131 USDT,+0.59%
10,WLDUSDT Perpetual,Cross,Short 3.00x,"02/19/2024, 01:16:17",7.276 USDT,+129.70 USDT,810 Contracts,"02/19/2024, 11:17:52",7.114 USDT,+6.60%
11,WLDUSDT Perpetual,Cross,Short 3.00x,"02/19/2024, 00:58:05",7.213 USDT,+49.88 USDT,535 Contracts,"02/19/2024, 11:17:49",7.117 USDT,+3.87%
12,WLDUSDT Perpetual,Cross,Short 3.00x,"02/19/2024, 00:55:52",7.160 USDT,+14.69 USDT,333 Contracts,"02/19/2024, 11:17:41",7.114 USDT,+1.84%
13,WLDUSDT Perpetual,Cross,Short 3.00x,"02/19/2024, 00:56:21",7.174 USDT,+3.73 USDT,61 Contracts,"02/19/2024, 11:17:39",7.110 USDT,+2.56%
14,WLDUSDT Perpetual,Cross,Short 3.00x,"02/19/2024, 00:56:37",7.174 USDT,+44.15 USDT,741 Contracts,"02/19/2024, 11:17:33",7.112 USDT,+2.49%
15,WLDUSDT Perpetual,Cross,Short 3.00x,"02/19/2024, 01:21:30",7.268 USDT,+32.26 USDT,221 Contracts,"02/19/2024, 11:17:20",7.120 USDT,+6.02%
