,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 15:52:00","2,957.62 USDT",+2.54 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",+17.22%
1,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 15:51:55","2,957.62 USDT",+2.54 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",+17.22%
2,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 15:51:51","2,956.09 USDT",+2.39 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",+16.20%
3,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 15:51:48","2,956.09 USDT",+2.39 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",+16.20%
4,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 15:51:43","2,955.75 USDT",+2.36 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",+15.97%
5,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 15:30:43","2,941.00 USDT",+0.88 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",+6.02%
6,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 15:30:40","2,941.62 USDT",+0.94 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",+6.44%
7,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 15:30:37","2,941.62 USDT",+0.94 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",+6.44%
8,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 15:30:34","2,941.84 USDT",+0.97 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",+6.59%
9,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 15:30:30","2,942.11 USDT",+0.99 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",+6.77%
10,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 15:56:18","2,970.00 USDT",+3.87 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",+26.08%
11,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 14:12:48","2,929.81 USDT",-0.24 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",-1.59%
12,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 14:12:45","2,930.17 USDT",-0.20 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",-1.34%
13,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 14:12:42","2,930.49 USDT",-0.17 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",-1.13%
14,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 14:12:39","2,930.64 USDT",-0.15 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",-1.02%
15,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 14:12:35","2,930.92 USDT",-0.13 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",-0.83%
16,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 14:12:33","2,930.92 USDT",-0.13 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",-0.83%
17,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 14:12:30","2,931.04 USDT",-0.11 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",-0.75%
18,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 14:12:27","2,931.37 USDT",-0.08 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",-0.53%
19,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 14:12:25","2,931.64 USDT",-0.05 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",-0.34%
20,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 14:12:23","2,931.68 USDT",-0.05 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",-0.31%
21,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 14:12:20","2,931.31 USDT",-0.09 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",-0.57%
22,ETHUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 14:12:18","2,931.49 USDT",-0.07 USDT,1 Contracts,"02/19/2024, 18:44:20","2,929.64 USDT",-0.44%
