,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,RONUSDT Perpetual,Isolated,Long 1.00x,"02/18/2024, 10:45:07",3.324 USDT,-83.68 USDT,"1,205 Contracts","02/18/2024, 20:32:29",3.260 USDT,-2.09%
1,IDUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 10:37:30",0.6186 USDT,-59.26 USDT,356 Contracts,"02/18/2024, 09:02:49",0.6022 USDT,-2.70%
2,ZETAUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 10:38:13",1.6960 USDT,+977.24 USDT,128 Contracts,"02/18/2024, 09:02:48",2.4926 USDT,+45.01%
3,STXUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 10:38:30",1.8605 USDT,+788.27 USDT,124 Contracts,"02/18/2024, 09:02:46",2.5149 USDT,+34.16%
4,IMXUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 10:38:47",2.7463 USDT,+374.69 USDT,794 Contracts,"02/18/2024, 09:02:44",3.2389 USDT,+17.18%
5,ANTUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 10:39:01",6.372 USDT,+251.85 USDT,360 Contracts,"02/18/2024, 09:02:43",7.097 USDT,+10.97%
6,TRXUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 10:39:49",0.12438 USDT,+175.71 USDT,18 Contracts,"02/18/2024, 09:02:41",0.13504 USDT,+7.84%
7,BTCUSDT Perpetual,Isolated,Long 3.00x,"02/11/2024, 10:40:33","48,169.3 USDT",+545.40 USDT,16 Contracts,"02/18/2024, 09:02:39","51,823.8 USDT",+21.22%
8,API3USDT Perpetual,Isolated,Long 1.00x,"02/12/2024, 09:54:57",3.796 USDT,+179.95 USDT,610 Contracts,"02/18/2024, 09:02:38",4.130 USDT,+7.76%
9,LPTUSDT Perpetual,Isolated,Long 1.00x,"02/16/2024, 06:44:15",12.409 USDT,"+1,115.85 USDT","1,880 Contracts","02/18/2024, 09:02:36",17.900 USDT,+47.82%
10,WLDUSDT Perpetual,Isolated,Long 1.00x,"02/16/2024, 12:28:25",4.455 USDT,+473.38 USDT,520 Contracts,"02/18/2024, 09:02:34",5.378 USDT,+20.43%
11,MKRUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 10:39:15","1,998.8 USDT",+42.82 USDT,113 Contracts,"02/16/2024, 12:28:14","2,048.3 USDT",+1.89%
12,SUIUSDT Perpetual,Isolated,Long 1.00x,"02/14/2024, 07:14:42",1.9321 USDT,-144.31 USDT,"1,309 Contracts","02/16/2024, 06:43:58",1.8271 USDT,-5.71%
13,BCHUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 10:40:15",276.2 USDT,-6.30 USDT,82 Contracts,"02/14/2024, 07:14:21",276.1 USDT,-0.28%
14,LINKUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 10:39:34",20.194 USDT,+8.86 USDT,110 Contracts,"02/12/2024, 09:54:46",20.304 USDT,+0.39%
15,TRXUSDT Perpetual,Isolated,Long 1.00x,"02/01/2024, 20:09:33",0.11600 USDT,+130.33 USDT,16 Contracts,"02/11/2024, 09:04:41",0.12432 USDT,+7.02%
16,NMRUSDT Perpetual,Isolated,Long 1.00x,"02/04/2024, 08:16:02",26.92 USDT,-231.99 USDT,793 Contracts,"02/11/2024, 09:04:40",24.09 USDT,-10.87%
17,ANTUSDT Perpetual,Isolated,Long 1.00x,"02/06/2024, 06:25:38",5.878 USDT,+167.60 USDT,316 Contracts,"02/11/2024, 09:04:38",6.363 USDT,+9.02%
18,SUIUSDT Perpetual,Isolated,Long 1.00x,"02/09/2024, 07:38:30",1.5995 USDT,+126.87 USDT,"1,409 Contracts","02/11/2024, 09:04:36",1.6929 USDT,+5.62%
19,MKRUSDT Perpetual,Isolated,Long 1.00x,"02/09/2024, 07:38:04","1,986.5 USDT",+44.38 USDT,114 Contracts,"02/11/2024, 09:04:34","2,028.0 USDT",+1.96%
20,STXUSDT Perpetual,Isolated,Long 1.00x,"02/08/2024, 08:35:30",1.7787 USDT,+95.83 USDT,124 Contracts,"02/11/2024, 09:04:33",1.8593 USDT,+4.34%
21,TIAUSDT Perpetual,Isolated,Long 1.00x,"02/07/2024, 19:28:54",19.497 USDT,-13.57 USDT,103 Contracts,"02/11/2024, 09:04:31",19.376 USDT,-0.68%
22,AGLDUSDT Perpetual,Isolated,Long 1.00x,"02/06/2024, 06:26:03",1.264 USDT,-24.87 USDT,"1,501 Contracts","02/11/2024, 09:04:29",1.251 USDT,-1.32%
23,LINKUSDT Perpetual,Isolated,Long 1.00x,"02/01/2024, 20:08:07",17.751 USDT,+280.89 USDT,109 Contracts,"02/10/2024, 23:39:41",20.394 USDT,+14.51%
24,IDUSDT Perpetual,Isolated,Long 1.00x,"02/07/2024, 08:46:16",0.5001 USDT,+372.38 USDT,364 Contracts,"02/08/2024, 19:53:26",0.5754 USDT,+20.45%
25,BTCUSDT Perpetual,Isolated,Long 3.00x,"01/30/2024, 20:21:31","42,693.6 USDT","+1,014.10 USDT",52 Contracts,"02/08/2024, 03:00:10","44,723.5 USDT",+13.70%
26,IMXUSDT Perpetual,Isolated,Long 1.00x,"01/30/2024, 17:15:33",2.0353 USDT,+248.44 USDT,835 Contracts,"02/07/2024, 17:51:09",2.3370 USDT,+14.61%
27,ENSUSDT Perpetual,Isolated,Long 1.00x,"02/06/2024, 06:25:05",22.219 USDT,-96.47 USDT,844 Contracts,"02/07/2024, 08:45:59",21.108 USDT,-5.15%
28,MKRUSDT Perpetual,Isolated,Long 1.00x,"01/26/2024, 12:43:20","2,056.0 USDT",-66.30 USDT,48 Contracts,"02/06/2024, 06:24:39","1,922.4 USDT",-6.72%
29,MKRUSDT Perpetual,Isolated,Long 1.00x,"01/26/2024, 12:05:13","2,044.3 USDT",-64.33 USDT,51 Contracts,"02/06/2024, 06:24:39","1,922.7 USDT",-6.17%
30,API3USDT Perpetual,Isolated,Long 1.00x,"02/02/2024, 05:18:23",3.143 USDT,-159.54 USDT,680 Contracts,"02/06/2024, 06:24:33",2.912 USDT,-7.47%
31,MAGICUSDT Perpetual,Isolated,Long 1.00x,"02/02/2024, 22:09:18",1.4074 USDT,-228.61 USDT,"1,428 Contracts","02/06/2024, 06:24:28",1.2500 USDT,-11.38%
32,TIAUSDT Perpetual,Isolated,Long 1.00x,"02/03/2024, 07:22:45",18.185 USDT,-139.49 USDT,121 Contracts,"02/04/2024, 08:15:42",17.022 USDT,-6.34%
33,AGLDUSDT Perpetual,Isolated,Long 1.00x,"02/01/2024, 20:06:08",1.254 USDT,-145.68 USDT,"1,514 Contracts","02/03/2024, 07:22:13",1.159 USDT,-7.68%
34,SUIUSDT Perpetual,Isolated,Long 1.00x,"01/29/2024, 11:55:57",1.5387 USDT,-143.07 USDT,"1,105 Contracts","02/02/2024, 22:05:17",1.4099 USDT,-8.42%
35,PYTHUSDT Perpetual,Isolated,Long 1.00x,"02/01/2024, 20:11:00",0.4917 USDT,+164.38 USDT,401 Contracts,"02/02/2024, 01:50:10",0.5332 USDT,+8.33%
36,UMAUSDT Perpetual,Isolated,Long 1.00x,"01/26/2024, 12:43:07",5.185 USDT,-146.68 USDT,"1,928 Contracts","02/01/2024, 20:04:24",4.423 USDT,-14.68%
37,UMAUSDT Perpetual,Isolated,Long 1.00x,"01/26/2024, 12:09:59",5.160 USDT,-119.64 USDT,"1,626 Contracts","02/01/2024, 20:04:24",4.423 USDT,-14.26%
38,API3USDT Perpetual,Isolated,Long 1.00x,"01/29/2024, 12:48:04",3.284 USDT,-309.98 USDT,517 Contracts,"02/01/2024, 20:04:19",2.691 USDT,-18.26%
39,MAGICUSDT Perpetual,Isolated,Long 1.00x,"01/30/2024, 09:09:29",1.2648 USDT,-60.91 USDT,"1,393 Contracts","02/01/2024, 20:04:17",1.2228 USDT,-3.46%
40,AUCTIONUSDT Perpetual,Isolated,Long 1.00x,"01/29/2024, 10:18:04",29.292 USDT,-225.64 USDT,506 Contracts,"01/30/2024, 04:25:03",24.871 USDT,-15.23%
41,API3USDT Perpetual,Isolated,Long 1.00x,"01/29/2024, 05:03:30",3.060 USDT,+160.81 USDT,498 Contracts,"01/29/2024, 12:06:46",3.385 USDT,+10.55%
