,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,SOLUSDT Perpetual,Cross,Long 20.00x,"02/19/2024, 19:21:33",110.00 USDT,-24.28 USDT,300 Contracts,"02/20/2024, 04:57:47",110.00 USDT,-1.48%
1,ETHUSDT Perpetual,Cross,Long 20.00x,"02/14/2024, 23:55:21","2,760.00 USDT",+144.77 USDT,200 Contracts,"02/15/2024, 02:03:52","2,770.08 USDT",+5.24%
2,SOLUSDT Perpetual,Cross,Long 20.00x,"02/12/2024, 00:35:44",105.00 USDT,-394.21 USDT,300 Contracts,"02/12/2024, 05:20:32",103.78 USDT,-25.03%
3,SOLUSDT Perpetual,Cross,Long 20.00x,"02/11/2024, 20:37:28",106.00 USDT,-692.10 USDT,300 Contracts,"02/12/2024, 05:20:32",103.79 USDT,-43.53%
4,SOLUSDT Perpetual,Cross,Long 20.00x,"02/11/2024, 20:37:21",107.00 USDT,-989.31 USDT,300 Contracts,"02/12/2024, 05:20:32",103.80 USDT,-61.64%
5,SOLUSDT Perpetual,Cross,Long 20.00x,"02/11/2024, 20:27:39",107.50 USDT,-379.78 USDT,100 Contracts,"02/12/2024, 05:20:32",103.80 USDT,-70.66%
6,SOLUSDT Perpetual,Cross,Long 20.00x,"02/11/2024, 20:47:24",105.00 USDT,+349.76 USDT,300 Contracts,"02/11/2024, 22:00:53",106.24 USDT,+22.20%
7,SOLUSDT Perpetual,Cross,Long 20.00x,"02/08/2024, 00:42:06",101.00 USDT,"+1,411.95 USDT",300 Contracts,"02/09/2024, 02:16:03",105.80 USDT,+93.19%
8,SOLUSDT Perpetual,Cross,Long 20.00x,"02/05/2024, 23:20:06",95.00 USDT,+280.22 USDT,300 Contracts,"02/06/2024, 10:23:30",96.00 USDT,+19.66%
9,SOLUSDT Perpetual,Cross,Long 20.00x,"02/05/2024, 15:35:23",95.00 USDT,+198.55 USDT,300 Contracts,"02/05/2024, 17:31:17",95.70 USDT,+13.93%
10,SOLUSDT Perpetual,Cross,Long 20.00x,"02/05/2024, 09:45:21",96.00 USDT,-104.60 USDT,300 Contracts,"02/05/2024, 17:31:17",95.70 USDT,-7.27%
11,SOLUSDT Perpetual,Cross,Long 20.00x,"01/31/2024, 22:13:43",93.60 USDT,+724.89 USDT,300 Contracts,"02/01/2024, 09:55:40",96.10 USDT,+51.63%
12,SOLUSDT Perpetual,Cross,Long 20.00x,"01/31/2024, 04:14:04",99.70 USDT,-694.45 USDT,300 Contracts,"01/31/2024, 05:45:00",97.45 USDT,-46.44%
13,SOLUSDT Perpetual,Cross,Long 20.00x,"01/31/2024, 05:13:09",98.00 USDT,-180.76 USDT,300 Contracts,"01/31/2024, 05:45:00",97.46 USDT,-12.30%
14,SOLUSDT Perpetual,Cross,Long 20.00x,"01/30/2024, 20:12:03",100.35 USDT,+92.92 USDT,100 Contracts,"01/30/2024, 23:33:46",101.35 USDT,+18.52%
15,SOLUSDT Perpetual,Cross,Long 20.00x,"01/30/2024, 20:13:09",100.20 USDT,+107.92 USDT,100 Contracts,"01/30/2024, 23:33:46",101.35 USDT,+21.54%
16,ENSUSDT Perpetual,Cross,Long 20.00x,"01/26/2024, 08:55:23",20.535 USDT,-523.92 USDT,"3,000 Contracts","01/30/2024, 07:13:36",18.819 USDT,-170.09%
