,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,PEPEUSDT Perpetual,Cross,Long 5.00x,"01/31/2024, 22:33:26",0.000000907 USDT,+102.85 USDT,"1,636 Contracts","02/05/2024, 12:11:33",0.000000915 USDT,+3.46%
1,PEPEUSDT Perpetual,Cross,Long 5.00x,"01/31/2024, 22:32:33",0.000000910 USDT,+75.19 USDT,"1,698 Contracts","02/05/2024, 12:08:36",0.000000916 USDT,+2.43%
2,PEPEUSDT Perpetual,Cross,Long 5.00x,"01/31/2024, 20:45:37",0.000000913 USDT,+859.17 USDT,"1,763 Contracts","02/05/2024, 06:17:49",0.000000964 USDT,+26.68%
3,BTCUSDT Perpetual,Cross,Long 8.00x,"01/23/2024, 03:36:33","39,100.5 USDT",+414.82 USDT,43 Contracts,"01/26/2024, 04:16:10","40,130.3 USDT",+19.73%
4,BTCUSDT Perpetual,Cross,Long 8.00x,"01/21/2024, 22:52:51","40,958.0 USDT","-1,117.48 USDT",125 Contracts,"01/26/2024, 04:16:10","40,130.3 USDT",-17.47%
5,BTCUSDT Perpetual,Cross,Long 8.00x,"01/23/2024, 03:09:22","39,270.0 USDT",+499.42 USDT,60 Contracts,"01/26/2024, 04:16:10","40,130.3 USDT",+16.95%
6,BTCUSDT Perpetual,Cross,Long 8.00x,"01/22/2024, 12:49:22","39,668.0 USDT",+291.39 USDT,40 Contracts,"01/24/2024, 04:46:23","40,439.1 USDT",+14.69%
7,BTCUSDT Perpetual,Cross,Long 8.00x,"01/22/2024, 12:49:21","39,890.0 USDT",+98.59 USDT,20 Contracts,"01/24/2024, 04:46:14","40,425.7 USDT",+9.88%
8,BTCUSDT Perpetual,Cross,Long 8.00x,"01/19/2024, 10:30:42","40,520.0 USDT",+237.99 USDT,25 Contracts,"01/20/2024, 09:05:50","41,514.0 USDT",+18.79%
9,BTCUSDT Perpetual,Cross,Long 8.00x,"01/18/2024, 11:57:53","41,746.0 USDT",-610.10 USDT,200 Contracts,"01/20/2024, 09:05:50","41,514.0 USDT",-5.85%
10,BTCUSDT Perpetual,Cross,Long 8.00x,"01/08/2024, 00:25:56","44,197.8 USDT","+3,313.83 USDT",150 Contracts,"01/10/2024, 18:06:01","46,501.7 USDT",+39.98%
11,PEPEUSDT Perpetual,Cross,Long 5.00x,"01/09/2024, 15:43:29",0.000001153 USDT,"+6,061.28 USDT","3,272 Contracts","01/10/2024, 17:28:03",0.000001339 USDT,+80.33%
12,BTCUSDT Perpetual,Cross,Long 8.00x,"12/29/2023, 16:48:24","41,845.0 USDT","+5,084.91 USDT",150 Contracts,"01/02/2024, 01:30:52","45,408.9 USDT",+64.80%
13,USTCUSDT Perpetual,Cross,Long 5.00x,"12/30/2023, 16:40:25",0.03300 USDT,+9.30 USDT,390 Contracts,"01/01/2024, 18:16:07",0.03337 USDT,+3.61%
14,USTCUSDT Perpetual,Cross,Long 5.00x,"12/30/2023, 16:30:51",0.03326 USDT,+3.86 USDT,"16,107 Contracts","01/01/2024, 18:16:07",0.03339 USDT,+0.03%
15,BTCUSDT Perpetual,Cross,Long 8.00x,"12/17/2023, 21:18:42","41,045.9 USDT","+2,392.04 USDT",100 Contracts,"12/25/2023, 18:50:59","43,480.2 USDT",+46.62%
16,PEPEUSDT Perpetual,Cross,Long 5.00x,"12/18/2023, 13:59:10",0.000001274 USDT,+425.07 USDT,"1,266 Contracts","12/21/2023, 20:21:51",0.000001308 USDT,+13.17%
17,USTCUSDT Perpetual,Cross,Long 5.00x,"12/20/2023, 22:20:20",0.03528 USDT,+609.59 USDT,"12,954 Contracts","12/21/2023, 20:17:16",0.03578 USDT,+6.66%
18,USTCUSDT Perpetual,Cross,Long 5.00x,"12/19/2023, 07:24:01",0.03529 USDT,+972.61 USDT,"7,037 Contracts","12/21/2023, 19:18:58",0.03670 USDT,+19.57%
19,DYDXUSDT Perpetual,Cross,Long 5.00x,"12/15/2023, 18:22:32",2.818 USDT,"+2,635.20 USDT","10,123 Contracts","12/17/2023, 07:22:50",3.080 USDT,+46.18%
20,DYDXUSDT Perpetual,Cross,Long 5.00x,"12/15/2023, 18:04:25",2.818 USDT,"+3,870.12 USDT","14,842 Contracts","12/17/2023, 07:22:50",3.082 USDT,+46.25%
21,USTCUSDT Perpetual,Cross,Long 5.00x,"12/09/2023, 20:24:39",0.04183 USDT,"+17,394.65 USDT","21,711 Contracts","12/10/2023, 10:46:56",0.04987 USDT,+95.76%
22,USTCUSDT Perpetual,Cross,Long 5.00x,"12/09/2023, 19:27:59",0.04162 USDT,-452.96 USDT,"20,726 Contracts","12/09/2023, 20:15:42",0.04143 USDT,-2.63%
23,USTCUSDT Perpetual,Cross,Long 5.00x,"12/07/2023, 22:02:50",0.04310 USDT,+418.15 USDT,"5,630 Contracts","12/09/2023, 02:42:51",0.04387 USDT,+8.61%
24,USTCUSDT Perpetual,Cross,Long 5.00x,"12/07/2023, 21:33:04",0.04286 USDT,+421.27 USDT,"4,189 Contracts","12/09/2023, 02:42:51",0.04389 USDT,+11.73%
25,USTCUSDT Perpetual,Cross,Long 5.00x,"12/07/2023, 21:31:55",0.04284 USDT,+544.77 USDT,"5,171 Contracts","12/09/2023, 02:42:51",0.04392 USDT,+12.29%
26,ETHUSDT Perpetual,Cross,Short 5.00x,"12/08/2023, 13:51:34","2,353.18 USDT",-677.80 USDT,420 Contracts,"12/08/2023, 22:34:30","2,366.96 USDT",-3.43%
27,ORDIUSDT Perpetual,Cross,Short 5.00x,"12/07/2023, 14:22:52",50.284 USDT,"+1,228.82 USDT","18,426 Contracts","12/07/2023, 19:32:24",49.583 USDT,+6.63%
28,PEPEUSDT Perpetual,Cross,Long 5.00x,"11/30/2023, 10:33:13",0.000001084 USDT,"+12,776.54 USDT","5,657 Contracts","12/04/2023, 00:09:43",0.000001310 USDT,+104.17%
29,BTCUSDT Perpetual,Cross,Long 5.00x,"11/14/2023, 13:21:08","35,300.3 USDT","+3,796.09 USDT",293 Contracts,"11/15/2023, 12:10:34","36,631.8 USDT",+18.35%
