,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,BNBUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 10:28:58",371.9 USDT,-612.81 USDT,"40,000 Contracts","02/21/2024, 11:07:40",370.5 USDT,-0.42%
1,WLDUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 08:27:18",6.067 USDT,+211.26 USDT,"3,000 Contracts","02/21/2024, 08:31:37",6.140 USDT,+1.16%
2,WLDUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 08:18:15",6.206 USDT,-135.94 USDT,"2,000 Contracts","02/21/2024, 08:31:37",6.140 USDT,-1.10%
3,WLDUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 08:20:40",6.155 USDT,-99.25 USDT,"5,000 Contracts","02/21/2024, 08:31:37",6.136 USDT,-0.33%
4,WLDUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 08:05:50",6.255 USDT,-538.48 USDT,"3,977 Contracts","02/21/2024, 08:31:28",6.121 USDT,-2.17%
5,WLDUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 08:04:09",6.347 USDT,"-1,486.77 USDT","10,000 Contracts","02/21/2024, 08:31:28",6.201 USDT,-2.35%
6,BNBUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 06:29:49",368.2 USDT,-117.47 USDT,"5,000 Contracts","02/21/2024, 08:20:28",366.0 USDT,-0.64%
7,BNBUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 06:28:25",367.7 USDT,-186.37 USDT,"10,000 Contracts","02/21/2024, 08:20:28",366.0 USDT,-0.51%
8,BNBUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 06:26:40",369.0 USDT,"-1,589.71 USDT","50,000 Contracts","02/21/2024, 08:20:28",366.0 USDT,-0.87%
9,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 06:09:25","50,861.6 USDT",+254.52 USDT,200 Contracts,"02/21/2024, 06:13:54","51,014.3 USDT",+0.25%
10,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 06:09:25","50,850.0 USDT",+302.25 USDT,200 Contracts,"02/21/2024, 06:13:54","51,016.4 USDT",+0.29%
11,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 06:09:13","50,837.7 USDT",+465.82 USDT,300 Contracts,"02/21/2024, 06:13:54","51,018.4 USDT",+0.30%
12,WLDUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 06:07:22",6.350 USDT,"+2,071.64 USDT","13,000 Contracts","02/21/2024, 06:10:57",6.510 USDT,+2.50%
13,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 06:05:26","50,855.0 USDT",-392.03 USDT,200 Contracts,"02/21/2024, 06:07:31","50,674.2 USDT",-0.39%
14,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 06:04:06","50,930.4 USDT",-281.05 USDT,100 Contracts,"02/21/2024, 06:07:31","50,674.7 USDT",-0.56%
15,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 05:59:08","51,047.3 USDT",-793.40 USDT,200 Contracts,"02/21/2024, 06:07:31","50,676.0 USDT",-0.78%
16,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 04:14:19","51,062.5 USDT",-411.22 USDT,100 Contracts,"02/21/2024, 06:07:31","50,676.8 USDT",-0.81%
17,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 04:12:28","50,959.6 USDT","-1,492.24 USDT",500 Contracts,"02/21/2024, 06:07:31","50,686.5 USDT",-0.59%
18,ETHUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 03:58:44","2,893.00 USDT",+145.07 USDT,200 Contracts,"02/21/2024, 06:03:24","2,901.12 USDT",+0.25%
19,ETHUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 03:55:19","2,904.08 USDT",-203.21 USDT,500 Contracts,"02/21/2024, 06:03:24","2,901.47 USDT",-0.14%
20,ETHUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 03:52:29","2,907.59 USDT",-74.73 USDT,100 Contracts,"02/21/2024, 06:03:24","2,901.57 USDT",-0.26%
21,ETHUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 03:51:32","2,909.47 USDT",-93.59 USDT,100 Contracts,"02/21/2024, 06:03:24","2,901.57 USDT",-0.33%
22,ETHUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 03:43:36","2,909.80 USDT",-317.51 USDT,600 Contracts,"02/21/2024, 06:03:24","2,905.42 USDT",-0.19%
23,WLDUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 04:11:49",6.555 USDT,+577.34 USDT,"4,000 Contracts","02/21/2024, 04:20:03",6.700 USDT,+2.20%
24,WLDUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 04:10:49",6.630 USDT,+138.66 USDT,"2,000 Contracts","02/21/2024, 04:20:03",6.700 USDT,+1.04%
25,WLDUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 04:10:49",6.630 USDT,+416.00 USDT,"6,000 Contracts","02/21/2024, 04:20:03",6.700 USDT,+1.04%
26,WLDUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 03:58:46",6.650 USDT,"+1,393.28 USDT","10,000 Contracts","02/21/2024, 04:04:14",6.790 USDT,+2.09%
27,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 03:11:14","51,460.0 USDT",-173.91 USDT,100 Contracts,"02/21/2024, 03:40:24","51,301.4 USDT",-0.34%
28,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 01:48:51","51,559.5 USDT",-289.54 USDT,100 Contracts,"02/21/2024, 03:40:24","51,302.0 USDT",-0.57%
29,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 01:07:35","51,560.0 USDT",-139.70 USDT,50 Contracts,"02/21/2024, 03:40:23","51,302.4 USDT",-0.55%
30,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 01:06:47","51,582.0 USDT",-311.63 USDT,100 Contracts,"02/21/2024, 03:40:23","51,302.4 USDT",-0.61%
31,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 00:41:14","51,737.0 USDT",-465.81 USDT,100 Contracts,"02/21/2024, 03:40:23","51,303.3 USDT",-0.91%
32,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 00:09:26","51,743.4 USDT",-472.15 USDT,100 Contracts,"02/21/2024, 03:40:23","51,303.4 USDT",-0.92%
33,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 00:07:59","51,745.5 USDT",-473.49 USDT,100 Contracts,"02/21/2024, 03:40:23","51,304.2 USDT",-0.92%
34,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 00:07:55","51,740.9 USDT",-467.30 USDT,100 Contracts,"02/21/2024, 03:40:23","51,305.7 USDT",-0.91%
35,BTCUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 00:06:36","51,752.1 USDT",-473.66 USDT,300 Contracts,"02/21/2024, 03:40:23","51,617.0 USDT",-0.31%
36,WLDUSDT Perpetual,Cross,Long 1.00x,"02/21/2024, 00:49:26",6.630 USDT,"+1,942.41 USDT","13,000 Contracts","02/21/2024, 01:23:28",6.780 USDT,+2.25%
37,WLDUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 23:57:15",6.651 USDT,+342.96 USDT,"2,500 Contracts","02/21/2024, 00:43:08",6.790 USDT,+2.06%
38,WLDUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 23:55:22",6.650 USDT,+63.39 USDT,455 Contracts,"02/21/2024, 00:43:08",6.790 USDT,+2.09%
39,WLDUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 23:54:35",6.659 USDT,+128.43 USDT,"1,000 Contracts","02/21/2024, 00:43:08",6.790 USDT,+1.92%
40,WLDUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 23:53:58",6.669 USDT,+125.02 USDT,"1,055 Contracts","02/21/2024, 00:43:07",6.790 USDT,+1.77%
41,WLDUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 23:52:34",6.648 USDT,+69.99 USDT,500 Contracts,"02/21/2024, 00:43:07",6.790 USDT,+2.10%
42,WLDUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 23:52:26",6.648 USDT,+209.81 USDT,"1,500 Contracts","02/21/2024, 00:43:07",6.790 USDT,+2.10%
43,WLDUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 23:52:21",6.649 USDT,+834.69 USDT,"6,000 Contracts","02/21/2024, 00:43:07",6.790 USDT,+2.09%
44,BTCUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 22:34:44","51,853.4 USDT",+444.28 USDT,500 Contracts,"02/20/2024, 22:49:30","51,968.2 USDT",+0.17%
45,OPUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 20:11:47",3.9254 USDT,-274.23 USDT,"5,000 Contracts","02/20/2024, 22:27:09",3.8725 USDT,-1.40%
46,OPUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 20:07:33",3.9512 USDT,-402.12 USDT,"5,000 Contracts","02/20/2024, 22:27:09",3.8728 USDT,-2.04%
47,OPUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 20:07:25",3.9492 USDT,-390.35 USDT,"5,000 Contracts","02/20/2024, 22:27:09",3.8731 USDT,-1.98%
48,OPUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 13:55:05",4.0850 USDT,"-3,196.18 USDT","15,000 Contracts","02/20/2024, 22:27:09",3.8741 USDT,-5.22%
49,BTCUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 13:51:06","52,107.3 USDT",-536.33 USDT,800 Contracts,"02/20/2024, 21:49:08","52,069.1 USDT",-0.13%
50,WLDUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 10:58:37",6.250 USDT,+365.09 USDT,"3,000 Contracts","02/20/2024, 11:44:44",6.373 USDT,+1.94%
51,WLDUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 10:58:54",6.220 USDT,+376.70 USDT,"2,405 Contracts","02/20/2024, 11:44:44",6.377 USDT,+2.51%
52,WLDUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 10:54:27",6.309 USDT,+138.17 USDT,"2,000 Contracts","02/20/2024, 11:43:23",6.380 USDT,+1.09%
53,WLDUSDT Perpetual,Cross,Long 1.00x,"02/20/2024, 10:42:53",6.304 USDT,+74.10 USDT,"1,000 Contracts","02/20/2024, 11:43:23",6.380 USDT,+1.17%
