,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,LUNAUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 20:21:57",0.7109 USDT,+393.92 USDT,"70,422 Contracts","02/20/2024, 00:00:55",0.7173 USDT,+7.86%
1,ETCUSDT Perpetual,Cross,Long 20.00x,"02/19/2024, 04:51:07",26.79 USDT,+706.77 USDT,182 Contracts,"02/19/2024, 20:20:17",27.24 USDT,+28.98%
2,BIGTIMEUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 02:41:30",0.4180 USDT,+972.13 USDT,"2,394 Contracts","02/19/2024, 20:19:52",0.4594 USDT,+97.13%
3,BIGTIMEUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 02:41:25",0.4174 USDT,+936.90 USDT,"2,396 Contracts","02/19/2024, 20:19:52",0.4573 USDT,+93.66%
4,BIGTIMEUSDT Perpetual,Cross,Long 10.00x,"02/16/2024, 08:42:40",0.4069 USDT,"+6,061.57 USDT","12,297 Contracts","02/19/2024, 20:19:52",0.4582 USDT,+121.13%
5,BIGTIMEUSDT Perpetual,Cross,Long 10.00x,"02/16/2024, 05:38:16",0.4279 USDT,"+3,543.07 USDT","12,067 Contracts","02/19/2024, 20:19:52",0.4593 USDT,+68.61%
6,BIGTIMEUSDT Perpetual,Cross,Long 10.00x,"02/16/2024, 05:38:13",0.4263 USDT,"+4,205.79 USDT","13,051 Contracts","02/19/2024, 20:19:52",0.4606 USDT,+75.58%
7,BIGTIMEUSDT Perpetual,Cross,Long 10.00x,"02/16/2024, 02:35:23",0.4223 USDT,"+3,981.47 USDT","10,653 Contracts","02/19/2024, 20:19:52",0.4617 USDT,+88.48%
8,BTCUSDT Perpetual,Cross,Long 100.00x,"02/17/2024, 10:34:56","50,782.0 USDT",+307.70 USDT,98 Contracts,"02/17/2024, 11:24:06","51,147.0 USDT",+61.83%
9,BIGTIMEUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 08:32:38",0.3816 USDT,+228.62 USDT,"2,616 Contracts","02/17/2024, 10:34:35",0.3909 USDT,+22.90%
10,BIGTIMEUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 08:32:48",0.3823 USDT,+225.98 USDT,"2,618 Contracts","02/17/2024, 10:34:31",0.3914 USDT,+22.57%
11,BIGTIMEUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 08:32:26",0.3811 USDT,+260.64 USDT,"2,623 Contracts","02/17/2024, 10:34:26",0.3916 USDT,+26.06%
12,SATSUSDT Perpetual,Cross,Long 3.00x,"02/15/2024, 19:26:23",0.00000048025 USDT,"+1,038.81 USDT","4,166 Contracts","02/16/2024, 05:36:32",0.00000050596 USDT,+15.57%
13,SATSUSDT Perpetual,Cross,Long 3.00x,"02/15/2024, 18:07:42",0.00000047244 USDT,"+1,405.91 USDT","4,233 Contracts","02/16/2024, 05:36:32",0.00000050628 USDT,+21.08%
14,SATSUSDT Perpetual,Cross,Long 3.00x,"02/15/2024, 15:13:30",0.00000047120 USDT,"+1,264.03 USDT","3,669 Contracts","02/16/2024, 05:36:32",0.00000050663 USDT,+21.93%
15,SATSUSDT Perpetual,Cross,Long 3.00x,"02/15/2024, 15:12:04",0.00000047110 USDT,"+1,742.98 USDT","5,000 Contracts","02/16/2024, 05:36:32",0.00000050678 USDT,+22.19%
16,SATSUSDT Perpetual,Cross,Long 3.00x,"02/15/2024, 14:39:02",0.00000047152 USDT,"+5,313.91 USDT","15,000 Contracts","02/16/2024, 05:36:32",0.00000050792 USDT,+22.53%
17,API3USDT Perpetual,Cross,Long 10.00x,"02/15/2024, 15:10:39",4.526 USDT,-497.90 USDT,"65,939 Contracts","02/15/2024, 15:11:10",4.522 USDT,-1.67%
18,API3USDT Perpetual,Cross,Short 10.00x,"02/14/2024, 22:09:13",4.553 USDT,+174.69 USDT,"5,000 Contracts","02/15/2024, 15:09:38",4.521 USDT,+7.67%
19,API3USDT Perpetual,Cross,Short 10.00x,"02/14/2024, 21:03:42",4.625 USDT,+419.72 USDT,"10,000 Contracts","02/15/2024, 14:27:26",4.585 USDT,+9.07%
20,BTCUSDT Perpetual,Cross,Short 100.00x,"02/15/2024, 08:34:07","52,733.4 USDT",+923.73 USDT,100 Contracts,"02/15/2024, 14:26:18","51,769.9 USDT",+175.17%
21,BTCUSDT Perpetual,Cross,Short 100.00x,"02/15/2024, 04:52:50","52,325.8 USDT",+516.34 USDT,100 Contracts,"02/15/2024, 14:26:18","51,769.9 USDT",+98.67%
22,BTCUSDT Perpetual,Cross,Short 100.00x,"02/14/2024, 21:37:59","52,327.4 USDT",+576.41 USDT,110 Contracts,"02/15/2024, 14:26:18","51,769.9 USDT",+100.14%
23,BTCUSDT Perpetual,Cross,Short 100.00x,"02/14/2024, 17:33:44","51,780.7 USDT",-8.46 USDT,193 Contracts,"02/15/2024, 14:26:18","51,769.9 USDT",-0.85%
24,SATSUSDT Perpetual,Cross,Long 15.00x,"02/12/2024, 22:26:42",0.00000047333 USDT,+218.13 USDT,"2,113 Contracts","02/14/2024, 18:56:39",0.00000048508 USDT,+32.71%
25,SATSUSDT Perpetual,Cross,Long 15.00x,"02/12/2024, 22:03:36",0.00000047293 USDT,+468.48 USDT,"4,232 Contracts","02/14/2024, 18:56:39",0.00000048543 USDT,+35.11%
26,SATSUSDT Perpetual,Cross,Long 15.00x,"02/12/2024, 18:40:24",0.00000047752 USDT,+146.88 USDT,"2,094 Contracts","02/14/2024, 18:56:39",0.00000048597 USDT,+22.03%
27,SATSUSDT Perpetual,Cross,Long 15.00x,"02/12/2024, 17:50:45",0.00000047175 USDT,+841.95 USDT,"6,363 Contracts","02/14/2024, 18:56:39",0.00000048651 USDT,+42.07%
28,SHIBUSDT Perpetual,Cross,Long 20.00x,"02/12/2024, 18:39:17",0.000009674 USDT,+111.32 USDT,"3,800 Contracts","02/14/2024, 17:29:28",0.000009730 USDT,+6.05%
29,SHIBUSDT Perpetual,Cross,Long 20.00x,"02/12/2024, 18:40:02",0.000009690 USDT,+14.33 USDT,911 Contracts,"02/14/2024, 17:29:28",0.000009732 USDT,+3.24%
30,SHIBUSDT Perpetual,Cross,Long 20.00x,"02/12/2024, 18:39:28",0.000009693 USDT,+45.69 USDT,"3,037 Contracts","02/14/2024, 17:29:28",0.000009734 USDT,+3.10%
31,SHIBUSDT Perpetual,Cross,Long 20.00x,"02/12/2024, 18:39:22",0.000009689 USDT,+96.33 USDT,"4,050 Contracts","02/14/2024, 17:29:28",0.000009739 USDT,+4.90%
32,JUPUSDT Perpetual,Cross,Long 10.00x,"02/13/2024, 05:23:59",0.4998 USDT,"+1,108.16 USDT","4,002 Contracts","02/14/2024, 17:28:54",0.5288 USDT,+55.39%
33,LRCUSDT Perpetual,Cross,Long 10.00x,"02/11/2024, 02:57:55",0.2417 USDT,+647.60 USDT,"20,163 Contracts","02/12/2024, 18:36:19",0.2455 USDT,+13.28%
34,LRCUSDT Perpetual,Cross,Long 10.00x,"02/11/2024, 02:57:52",0.2411 USDT,+402.15 USDT,"9,900 Contracts","02/12/2024, 18:36:19",0.2458 USDT,+16.84%
35,MEMEUSDT Perpetual,Cross,Long 20.00x,"02/12/2024, 11:27:56",0.02405 USDT,+430.93 USDT,"12,484 Contracts","02/12/2024, 18:36:15",0.02443 USDT,+28.70%
36,MEMEUSDT Perpetual,Cross,Long 20.00x,"02/12/2024, 11:27:51",0.02404 USDT,+45.31 USDT,"1,248 Contracts","02/12/2024, 18:36:15",0.02444 USDT,+30.21%
37,MEMEUSDT Perpetual,Cross,Long 20.00x,"02/12/2024, 09:39:20",0.02357 USDT,+700.01 USDT,"8,485 Contracts","02/12/2024, 18:36:15",0.02444 USDT,+69.97%
38,JUPUSDT Perpetual,Cross,Long 10.00x,"02/12/2024, 11:48:31",0.5013 USDT,+446.91 USDT,"3,992 Contracts","02/12/2024, 18:36:12",0.5133 USDT,+22.32%
39,JUPUSDT Perpetual,Cross,Long 10.00x,"02/12/2024, 10:16:11",0.4880 USDT,+403.09 USDT,"1,639 Contracts","02/12/2024, 18:36:12",0.5133 USDT,+50.38%
40,JUPUSDT Perpetual,Cross,Long 10.00x,"02/12/2024, 10:15:51",0.4885 USDT,+495.69 USDT,"2,046 Contracts","02/12/2024, 18:36:12",0.5134 USDT,+49.59%
41,JUPUSDT Perpetual,Cross,Long 10.00x,"02/12/2024, 10:15:19",0.4890 USDT,"+1,468.32 USDT","6,137 Contracts","02/12/2024, 18:36:12",0.5136 USDT,+48.92%
42,SATSUSDT Perpetual,Cross,Long 15.00x,"02/10/2024, 22:03:04",0.00000045135 USDT,+533.71 USDT,"3,325 Contracts","02/12/2024, 11:24:16",0.00000046858 USDT,+53.34%
43,SATSUSDT Perpetual,Cross,Long 15.00x,"02/10/2024, 22:02:59",0.00000045106 USDT,"+1,880.45 USDT","11,097 Contracts","02/12/2024, 11:24:16",0.00000046919 USDT,+56.35%
44,UNIUSDT Perpetual,Cross,Long 50.00x,"02/12/2024, 04:36:21",6.511 USDT,+177.77 USDT,"1,229 Contracts","02/12/2024, 10:14:51",6.664 USDT,+111.08%
45,UNIUSDT Perpetual,Cross,Long 50.00x,"02/12/2024, 04:36:02",6.508 USDT,+457.99 USDT,"3,074 Contracts","02/12/2024, 10:14:51",6.665 USDT,+114.46%
46,UNIUSDT Perpetual,Cross,Long 50.00x,"02/12/2024, 04:35:52",6.506 USDT,+47.10 USDT,307 Contracts,"02/12/2024, 10:14:51",6.667 USDT,+117.92%
47,MEMEUSDT Perpetual,Cross,Long 20.00x,"02/10/2024, 10:22:58",0.02328 USDT,+810.26 USDT,"8,594 Contracts","02/11/2024, 02:56:21",0.02426 USDT,+80.99%
48,MEMEUSDT Perpetual,Cross,Long 20.00x,"02/10/2024, 10:22:45",0.02325 USDT,+838.43 USDT,"8,609 Contracts","02/11/2024, 02:56:21",0.02427 USDT,+83.74%
49,MEMEUSDT Perpetual,Cross,Long 20.00x,"02/10/2024, 10:22:24",0.02323 USDT,"+1,298.94 USDT","12,919 Contracts","02/11/2024, 02:56:21",0.02428 USDT,+86.53%
50,OPUSDT Perpetual,Cross,Long 30.00x,"02/08/2024, 22:39:47",3.3304 USDT,+461.50 USDT,"2,102 Contracts","02/10/2024, 22:02:17",3.5553 USDT,+197.76%
51,OPUSDT Perpetual,Cross,Long 30.00x,"02/08/2024, 22:15:06",3.3520 USDT,+801.92 USDT,"4,050 Contracts","02/10/2024, 22:02:17",3.5553 USDT,+177.20%
52,OPUSDT Perpetual,Cross,Long 30.00x,"02/08/2024, 22:11:12",3.3540 USDT,"+2,948.86 USDT","15,000 Contracts","02/10/2024, 22:02:17",3.5558 USDT,+175.84%
53,STARLUSDT Perpetual,Cross,Long 13.00x,"02/07/2024, 15:14:54",0.000002855 USDT,+789.04 USDT,"28,089 Contracts","02/10/2024, 10:13:50",0.000003145 USDT,+127.87%
54,STARLUSDT Perpetual,Cross,Long 13.00x,"02/07/2024, 15:14:50",0.000002851 USDT,+806.94 USDT,"28,119 Contracts","02/10/2024, 10:13:50",0.000003146 USDT,+130.84%
55,STARLUSDT Perpetual,Cross,Long 13.00x,"02/07/2024, 15:14:06",0.000002841 USDT,+853.58 USDT,"28,218 Contracts","02/10/2024, 10:13:50",0.000003151 USDT,+138.40%
56,STARLUSDT Perpetual,Cross,Long 13.00x,"02/07/2024, 15:07:15",0.000002873 USDT,+773.07 USDT,"27,981 Contracts","02/10/2024, 10:13:50",0.000003157 USDT,+125.01%
57,STARLUSDT Perpetual,Cross,Long 13.00x,"02/07/2024, 15:07:10",0.000002864 USDT,+811.93 USDT,"27,972 Contracts","02/10/2024, 10:13:50",0.000003162 USDT,+131.74%
58,STARLUSDT Perpetual,Cross,Long 13.00x,"02/07/2024, 15:07:05",0.000002862 USDT,+827.87 USDT,"27,972 Contracts","02/10/2024, 10:13:50",0.000003166 USDT,+134.40%
59,STARLUSDT Perpetual,Cross,Long 13.00x,"02/07/2024, 15:06:59",0.000002846 USDT,+901.27 USDT,"28,139 Contracts","02/10/2024, 10:13:50",0.000003175 USDT,+146.25%
60,STARLUSDT Perpetual,Cross,Long 13.00x,"02/07/2024, 15:06:50",0.000002832 USDT,+960.36 USDT,"28,308 Contracts","02/10/2024, 10:13:50",0.000003179 USDT,+155.71%
61,SATSUSDT Perpetual,Cross,Long 15.00x,"02/08/2024, 18:02:48",0.00000043502 USDT,+243.37 USDT,"1,840 Contracts","02/08/2024, 22:10:53",0.00000044869 USDT,+45.60%
62,SATSUSDT Perpetual,Cross,Long 15.00x,"02/08/2024, 18:02:36",0.00000043487 USDT,+61.79 USDT,459 Contracts,"02/08/2024, 22:10:53",0.00000044878 USDT,+46.43%
63,SATSUSDT Perpetual,Cross,Long 15.00x,"02/08/2024, 18:02:25",0.00000043445 USDT,"+1,629.25 USDT","11,513 Contracts","02/08/2024, 22:10:53",0.00000044904 USDT,+48.85%
64,LQTYUSDT Perpetual,Cross,Long 10.00x,"02/07/2024, 21:04:43",1.325 USDT,+101.89 USDT,"7,558 Contracts","02/08/2024, 18:02:03",1.340 USDT,+10.17%
65,LQTYUSDT Perpetual,Cross,Long 10.00x,"02/07/2024, 21:04:36",1.325 USDT,+222.63 USDT,"15,128 Contracts","02/08/2024, 18:02:03",1.342 USDT,+11.10%
