,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,BTCUSDT Perpetual,Cross,Short 10.00x,"02/20/2024, 08:23:23","52,100.0 USDT",+196.87 USDT,19 Contracts,"02/21/2024, 06:13:13","51,047.4 USDT",+19.88%
1,ZETAUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 08:34:10",2.2400 USDT,-1.20 USDT,446 Contracts,"02/19/2024, 19:54:08",2.2495 USDT,-0.12%
2,ZETAUSDT Perpetual,Cross,Long 10.00x,"02/16/2024, 23:02:21",2.4000 USDT,-32.29 USDT,20 Contracts,"02/19/2024, 19:54:08",2.2500 USDT,-67.26%
3,ZETAUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 02:48:13",2.3800 USDT,-58.72 USDT,42 Contracts,"02/19/2024, 19:54:08",2.2500 USDT,-58.74%
4,ZETAUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 03:24:11",2.3600 USDT,-75.40 USDT,63 Contracts,"02/19/2024, 19:54:08",2.2501 USDT,-50.71%
5,ZETAUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 05:34:11",2.3400 USDT,-84.51 USDT,85 Contracts,"02/19/2024, 19:54:08",2.2504 USDT,-42.49%
6,ZETAUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 07:06:19",2.3200 USDT,-84.42 USDT,107 Contracts,"02/19/2024, 19:54:08",2.2509 USDT,-34.01%
7,ZETAUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 07:13:05",2.3000 USDT,-63.57 USDT,108 Contracts,"02/19/2024, 19:54:08",2.2510 USDT,-25.60%
8,ZETAUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 07:36:33",2.2800 USDT,-68.00 USDT,175 Contracts,"02/19/2024, 19:54:08",2.2510 USDT,-17.05%
9,ZETAUSDT Perpetual,Cross,Long 10.00x,"02/17/2024, 08:33:29",2.2600 USDT,-49.38 USDT,265 Contracts,"02/19/2024, 19:54:08",2.2512 USDT,-8.25%
10,COMPUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 16:43:56",61.70 USDT,-124.62 USDT,"1,620 Contracts","02/19/2024, 19:53:20",60.99 USDT,-12.47%
11,YGGUSDT Perpetual,Cross,Long 10.00x,"02/19/2024, 16:52:03",0.5682 USDT,-42.25 USDT,"1,757 Contracts","02/19/2024, 19:53:19",0.5449 USDT,-42.32%
