,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,ETHUSDT Perpetual,Cross,Long 50.00x,"02/21/2024, 04:04:17","2,907.86 USDT",+145.03 USDT,100 Contracts,"02/21/2024, 06:44:00","2,925.28 USDT",+24.93%
1,ETHUSDT Perpetual,Cross,Short 50.00x,"02/20/2024, 13:53:24","2,982.43 USDT",+70.72 USDT,100 Contracts,"02/20/2024, 14:32:48","2,972.38 USDT",+11.85%
2,ETHUSDT Perpetual,Cross,Long 50.00x,"02/20/2024, 11:31:56","2,907.38 USDT",+396.86 USDT,100 Contracts,"02/20/2024, 13:28:16","2,949.99 USDT",+68.25%
3,ETHUSDT Perpetual,Cross,Long 50.00x,"02/19/2024, 10:20:07","2,917.00 USDT",+293.96 USDT,100 Contracts,"02/19/2024, 12:02:23","2,949.33 USDT",+50.38%
4,ETHUSDT Perpetual,Cross,Short 50.00x,"02/18/2024, 17:22:05","2,889.20 USDT",+96.31 USDT,100 Contracts,"02/18/2024, 17:30:35","2,876.69 USDT",+16.66%
5,ETHUSDT Perpetual,Cross,Short 50.00x,"02/18/2024, 03:23:20","2,820.43 USDT",+286.27 USDT,100 Contracts,"02/18/2024, 07:14:39","2,789.00 USDT",+50.75%
6,BTCUSDT Perpetual,Cross,Long 100.00x,"02/17/2024, 08:43:40","50,759.3 USDT",-2.28 USDT,10 Contracts,"02/17/2024, 09:02:32","50,787.3 USDT",-4.49%
7,ETHUSDT Perpetual,Cross,Long 50.00x,"02/17/2024, 08:40:21","2,729.41 USDT",+7.78 USDT,10 Contracts,"02/17/2024, 09:02:30","2,739.92 USDT",+14.25%
8,ETHUSDT Perpetual,Cross,Long 50.00x,"02/16/2024, 19:46:20","2,786.00 USDT",+22.10 USDT,50 Contracts,"02/16/2024, 21:55:57","2,793.21 USDT",+7.93%
9,ETHUSDT Perpetual,Cross,Long 50.00x,"02/16/2024, 05:43:22","2,832.15 USDT",+67.03 USDT,100 Contracts,"02/16/2024, 06:41:41","2,841.69 USDT",+11.83%
