,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,ARBUSDT Perpetual,Cross,Long 20.00x,"02/20/2024, 22:16:44",1.9500 USDT,-256.70 USDT,500 Contracts,"02/21/2024, 01:01:10",1.9000 USDT,-52.66%
1,ARBUSDT Perpetual,Cross,Long 20.00x,"02/20/2024, 10:58:46",1.9200 USDT,+904.45 USDT,"2,000 Contracts","02/20/2024, 14:16:39",1.9660 USDT,+47.10%
2,ARBUSDT Perpetual,Cross,Long 20.00x,"02/20/2024, 09:31:08",1.9200 USDT,+392.24 USDT,"1,000 Contracts","02/20/2024, 09:42:33",1.9600 USDT,+40.85%
3,ARBUSDT Perpetual,Cross,Long 20.00x,"02/20/2024, 09:10:40",1.9800 USDT,-207.88 USDT,"1,000 Contracts","02/20/2024, 09:42:33",1.9600 USDT,-21.00%
4,ARBUSDT Perpetual,Cross,Short 20.00x,"02/20/2024, 08:03:57",2.0750 USDT,+483.50 USDT,"2,000 Contracts","02/20/2024, 08:12:53",2.0500 USDT,+23.30%
5,ARBUSDT Perpetual,Cross,Long 20.00x,"02/19/2024, 22:02:08",1.9850 USDT,+284.06 USDT,"2,000 Contracts","02/19/2024, 22:34:00",2.0000 USDT,+14.31%
6,ARBUSDT Perpetual,Cross,Long 20.00x,"02/19/2024, 19:22:44",2.0000 USDT,+211.95 USDT,"1,000 Contracts","02/19/2024, 20:35:07",2.0220 USDT,+21.19%
7,ARBUSDT Perpetual,Cross,Long 20.00x,"02/19/2024, 19:18:16",2.0200 USDT,+11.91 USDT,"1,000 Contracts","02/19/2024, 20:35:07",2.0220 USDT,+1.17%
8,ARBUSDT Perpetual,Cross,Long 20.00x,"02/19/2024, 18:44:07",2.0300 USDT,+203.71 USDT,"2,000 Contracts","02/19/2024, 18:46:59",2.0410 USDT,+10.03%
9,ARBUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 01:30:31",2.0950 USDT,+187.40 USDT,"1,000 Contracts","02/19/2024, 02:39:05",2.0760 USDT,+17.89%
10,ARBUSDT Perpetual,Cross,Short 20.00x,"02/19/2024, 00:11:10",2.0740 USDT,-22.56 USDT,"1,000 Contracts","02/19/2024, 02:38:56",2.0760 USDT,-2.18%
