,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/13/2024, 08:27:42",66.887 USDT,"+2,037.66 USDT","3,600 Contracts","02/14/2024, 19:05:48",72.728 USDT,+423.11%
1,BTCUSDT Perpetual,Cross,Long 100.00x,"02/06/2024, 23:22:36","43,000.3 USDT","+4,358.38 USDT",85 Contracts,"02/13/2024, 11:12:10","48,302.8 USDT","+1,192.43%"
2,ORDIUSDT Perpetual,Cross,Short 50.00x,"02/12/2024, 21:04:10",70.612 USDT,"+1,338.45 USDT","3,600 Contracts","02/13/2024, 08:27:42",66.871 USDT,+263.26%
3,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/09/2024, 10:35:52",62.276 USDT,+183.06 USDT,224 Contracts,"02/12/2024, 20:55:10",70.640 USDT,+656.16%
4,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/09/2024, 09:06:59",62.537 USDT,"+1,325.18 USDT","1,677 Contracts","02/12/2024, 20:55:10",70.647 USDT,+631.78%
5,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/09/2024, 09:04:10",62.215 USDT,"+1,733.91 USDT","2,100 Contracts","02/12/2024, 20:55:10",70.660 USDT,+663.56%
6,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/05/2024, 07:48:03",54.939 USDT,+334.38 USDT,469 Contracts,"02/09/2024, 08:54:45",62.167 USDT,+648.87%
7,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/01/2024, 07:35:49",59.099 USDT,+330.23 USDT,"1,157 Contracts","02/09/2024, 08:54:45",62.168 USDT,+241.47%
8,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/01/2024, 07:35:01",58.944 USDT,+633.14 USDT,"2,100 Contracts","02/09/2024, 08:54:45",62.173 USDT,+255.74%
9,ETHUSDT Perpetual,Cross,Short 100.00x,"02/06/2024, 22:24:24","2,360.50 USDT",-55.05 USDT,72 Contracts,"02/06/2024, 23:22:27","2,366.49 USDT",-32.39%
10,ETHUSDT Perpetual,Cross,Short 100.00x,"02/06/2024, 18:41:04","2,381.03 USDT",+176.39 USDT,144 Contracts,"02/06/2024, 23:22:27","2,366.41 USDT",+51.44%
11,BTCUSDT Perpetual,Cross,Short 100.00x,"02/06/2024, 22:24:31","42,834.8 USDT",-59.44 USDT,30 Contracts,"02/06/2024, 23:18:39","42,990.0 USDT",-46.26%
12,BTCUSDT Perpetual,Cross,Short 100.00x,"02/06/2024, 18:39:25","43,083.5 USDT",+31.79 USDT,63 Contracts,"02/06/2024, 23:18:39","42,990.0 USDT",+11.71%
13,BTCUSDT Perpetual,Cross,Short 100.00x,"02/06/2024, 18:38:40","43,069.0 USDT",+13.38 USDT,36 Contracts,"02/06/2024, 23:18:39","42,988.9 USDT",+8.62%
14,ETHUSDT Perpetual,Cross,Long 100.00x,"02/03/2024, 19:55:15","2,306.22 USDT","+1,041.05 USDT",144 Contracts,"02/06/2024, 18:41:04","2,381.03 USDT",+313.47%
15,BTCUSDT Perpetual,Cross,Long 100.00x,"02/03/2024, 19:56:26","43,049.1 USDT",-1.34 USDT,141 Contracts,"02/06/2024, 18:38:40","43,095.4 USDT",-0.23%
16,BTCUSDT Perpetual,Cross,Short 100.00x,"02/02/2024, 01:37:25","43,186.1 USDT",+190.29 USDT,35 Contracts,"02/04/2024, 13:11:56","42,610.4 USDT",+125.89%
17,BTCUSDT Perpetual,Cross,Short 100.00x,"02/01/2024, 12:01:52","42,892.8 USDT",+68.02 USDT,27 Contracts,"02/04/2024, 13:11:56","42,609.7 USDT",+58.74%
18,BTCUSDT Perpetual,Cross,Short 100.00x,"02/01/2024, 10:38:32","42,393.9 USDT",-209.11 USDT,86 Contracts,"02/04/2024, 13:11:56","42,606.1 USDT",-57.36%
19,ETHUSDT Perpetual,Cross,Short 100.00x,"02/02/2024, 01:58:55","2,314.15 USDT",+82.31 USDT,144 Contracts,"02/03/2024, 19:55:15","2,306.22 USDT",+24.70%
20,BTCUSDT Perpetual,Cross,Long 100.00x,"02/01/2024, 07:58:27","42,241.5 USDT",+76.63 USDT,71 Contracts,"02/01/2024, 10:37:56","42,392.2 USDT",+25.55%
21,ETHUSDT Perpetual,Cross,Long 100.00x,"02/01/2024, 07:56:37","2,272.54 USDT",+14.78 USDT,131 Contracts,"02/01/2024, 10:35:00","2,276.00 USDT",+4.96%
22,ETHUSDT Perpetual,Cross,Short 100.00x,"01/18/2024, 11:26:30","2,485.00 USDT",+784.74 USDT,38 Contracts,"02/01/2024, 08:18:02","2,280.52 USDT",+831.03%
23,ETHUSDT Perpetual,Cross,Short 100.00x,"01/16/2024, 21:44:48","2,575.70 USDT",+923.77 USDT,31 Contracts,"02/01/2024, 08:18:02","2,280.44 USDT","+1,156.93%"
24,ETHUSDT Perpetual,Cross,Short 100.00x,"01/16/2024, 11:00:39","2,576.99 USDT","+1,890.19 USDT",63 Contracts,"02/01/2024, 08:18:02","2,280.39 USDT","+1,164.27%"
25,ORDIUSDT Perpetual,Cross,Short 50.00x,"01/29/2024, 10:07:32",57.780 USDT,-251.73 USDT,"2,100 Contracts","02/01/2024, 07:35:01",58.933 USDT,-103.74%
26,BTCUSDT Perpetual,Cross,Short 100.00x,"02/01/2024, 00:15:44","42,197.9 USDT",+23.11 USDT,90 Contracts,"02/01/2024, 07:25:17","42,145.2 USDT",+6.08%
27,BTCUSDT Perpetual,Cross,Short 100.00x,"01/27/2024, 22:59:58","42,720.0 USDT",+173.23 USDT,36 Contracts,"02/01/2024, 00:14:15","42,219.4 USDT",+112.64%
28,BTCUSDT Perpetual,Cross,Short 100.00x,"01/27/2024, 22:06:26","42,303.3 USDT",+42.55 USDT,82 Contracts,"02/01/2024, 00:14:15","42,219.4 USDT",+12.26%
29,ORDIUSDT Perpetual,Cross,Long 50.00x,"01/28/2024, 07:07:08",55.558 USDT,+181.49 USDT,"1,290 Contracts","01/29/2024, 04:22:21",56.989 USDT,+126.62%
30,ORDIUSDT Perpetual,Cross,Long 50.00x,"01/28/2024, 06:01:26",56.766 USDT,+42.01 USDT,"2,100 Contracts","01/29/2024, 04:22:21",56.990 USDT,+17.62%
31,ORDIUSDT Perpetual,Cross,Short 50.00x,"01/27/2024, 22:38:01",57.955 USDT,+120.68 USDT,"1,047 Contracts","01/28/2024, 01:57:35",56.747 USDT,+99.44%
32,ORDIUSDT Perpetual,Cross,Short 50.00x,"01/27/2024, 22:12:48",57.460 USDT,+27.47 USDT,405 Contracts,"01/28/2024, 01:57:35",56.742 USDT,+59.02%
33,ORDIUSDT Perpetual,Cross,Short 50.00x,"01/27/2024, 22:12:20",57.393 USDT,+92.87 USDT,"1,500 Contracts","01/28/2024, 01:57:35",56.734 USDT,+53.93%
34,ORDIUSDT Perpetual,Cross,Long 30.00x,"01/27/2024, 00:12:16",57.056 USDT,+31.24 USDT,855 Contracts,"01/27/2024, 22:10:16",57.477 USDT,+19.21%
35,ORDIUSDT Perpetual,Cross,Long 30.00x,"01/27/2024, 00:03:05",57.356 USDT,+4.72 USDT,882 Contracts,"01/27/2024, 22:10:16",57.484 USDT,+2.80%
36,ORDIUSDT Perpetual,Cross,Long 30.00x,"01/26/2024, 23:58:53",57.057 USDT,+21.65 USDT,600 Contracts,"01/27/2024, 22:10:16",57.492 USDT,+18.97%
37,BTCUSDT Perpetual,Cross,Long 100.00x,"01/24/2024, 08:23:35","39,848.5 USDT","+1,972.31 USDT",82 Contracts,"01/27/2024, 22:06:26","42,303.3 USDT",+603.60%
38,ETHUSDT Perpetual,Cross,Long 100.00x,"01/23/2024, 09:42:26","2,227.50 USDT",+424.63 USDT,69 Contracts,"01/27/2024, 22:06:15","2,291.83 USDT",+276.28%
39,ETHUSDT Perpetual,Cross,Long 100.00x,"01/23/2024, 02:30:29","2,314.65 USDT",-361.22 USDT,145 Contracts,"01/27/2024, 22:06:15","2,291.87 USDT",-107.63%
40,ORDIUSDT Perpetual,Cross,Short 30.00x,"01/26/2024, 23:12:46",58.967 USDT,+9.79 USDT,288 Contracts,"01/26/2024, 23:31:11",58.586 USDT,+17.29%
41,ORDIUSDT Perpetual,Cross,Short 30.00x,"01/26/2024, 23:11:01",58.924 USDT,+36.36 USDT,"1,200 Contracts","01/26/2024, 23:31:11",58.577 USDT,+15.42%
42,ORDIUSDT Perpetual,Cross,Long 30.00x,"01/26/2024, 08:12:36",55.050 USDT,+309.67 USDT,798 Contracts,"01/26/2024, 23:09:18",58.967 USDT,+211.47%
43,ORDIUSDT Perpetual,Cross,Long 30.00x,"01/26/2024, 08:11:55",54.824 USDT,+690.78 USDT,"1,682 Contracts","01/26/2024, 23:09:18",58.977 USDT,+224.72%
44,BTCUSDT Perpetual,Cross,Short 100.00x,"01/19/2024, 22:52:35","41,647.9 USDT",+9.36 USDT,7 Contracts,"01/26/2024, 06:27:15","41,507.6 USDT",+32.13%
45,BTCUSDT Perpetual,Cross,Short 100.00x,"01/19/2024, 22:47:23","41,622.3 USDT",+74.64 USDT,69 Contracts,"01/26/2024, 06:27:15","41,507.6 USDT",+25.99%
46,BTCUSDT Perpetual,Cross,Long 100.00x,"01/23/2024, 02:30:29","39,673.9 USDT",+91.73 USDT,83 Contracts,"01/24/2024, 08:19:23","39,813.1 USDT",+27.85%
47,BTCUSDT Perpetual,Cross,Short 100.00x,"01/18/2024, 11:16:51","41,855.0 USDT",+37.16 USDT,22 Contracts,"01/19/2024, 12:50:04","41,675.1 USDT",+40.36%
48,BTCUSDT Perpetual,Cross,Short 100.00x,"01/16/2024, 21:46:05","42,934.0 USDT",+225.61 USDT,18 Contracts,"01/19/2024, 12:50:04","41,675.1 USDT",+291.93%
49,BTCUSDT Perpetual,Cross,Short 100.00x,"01/16/2024, 10:59:33","43,228.2 USDT",+608.29 USDT,39 Contracts,"01/19/2024, 12:50:04","41,675.0 USDT",+360.81%
50,ORDIUSDT Perpetual,Cross,Long 30.00x,"01/14/2024, 23:06:40",74.981 USDT,-152.70 USDT,831 Contracts,"01/15/2024, 01:22:09",73.218 USDT,-73.52%
51,LPTUSDT Perpetual,Cross,Long 25.00x,"01/14/2024, 20:59:53",8.051 USDT,-17.62 USDT,"2,873 Contracts","01/14/2024, 23:06:26",7.997 USDT,-19.04%
52,LPTUSDT Perpetual,Cross,Long 25.00x,"01/14/2024, 20:29:29",7.935 USDT,+7.47 USDT,"1,266 Contracts","01/14/2024, 23:06:26",8.000 USDT,+18.61%
53,LPTUSDT Perpetual,Cross,Long 25.00x,"01/14/2024, 20:21:17",7.949 USDT,+11.36 USDT,"2,617 Contracts","01/14/2024, 23:06:26",8.000 USDT,+13.66%
54,ETHUSDT Perpetual,Cross,Long 100.00x,"01/14/2024, 03:41:21","2,546.00 USDT",-13.92 USDT,2 Contracts,"01/14/2024, 17:35:56","2,478.76 USDT",-273.28%
55,ETHUSDT Perpetual,Cross,Long 100.00x,"01/14/2024, 03:40:38","2,545.51 USDT",-139.70 USDT,20 Contracts,"01/14/2024, 17:35:56","2,478.76 USDT",-274.41%
56,ORDIUSDT Perpetual,Cross,Long 30.00x,"01/13/2024, 09:58:08",74.509 USDT,-200.44 USDT,497 Contracts,"01/14/2024, 17:24:35",70.566 USDT,-162.39%
57,BTCUSDT Perpetual,Cross,Long 100.00x,"01/13/2024, 05:18:06","42,701.2 USDT",-2.50 USDT,4 Contracts,"01/14/2024, 13:33:44","42,688.2 USDT",-14.62%
58,BTCUSDT Perpetual,Cross,Long 100.00x,"01/13/2024, 05:12:17","42,638.0 USDT",+0.11 USDT,14 Contracts,"01/14/2024, 13:33:44","42,688.2 USDT",+0.18%
59,ETHUSDT Perpetual,Cross,Long 100.00x,"01/13/2024, 05:18:20","2,538.59 USDT",+0.99 USDT,6 Contracts,"01/14/2024, 03:38:32","2,542.66 USDT",+6.55%
60,ETHUSDT Perpetual,Cross,Long 100.00x,"01/13/2024, 04:24:17","2,535.84 USDT",+8.83 USDT,20 Contracts,"01/14/2024, 03:38:32","2,542.66 USDT",+17.41%
61,BTCUSDT Perpetual,Cross,Long 100.00x,"01/12/2024, 10:03:14","44,483.0 USDT",-24.42 USDT,5 Contracts,"01/12/2024, 10:16:24","44,202.5 USDT",-109.78%
62,BTCUSDT Perpetual,Cross,Long 100.00x,"01/12/2024, 08:41:17","45,438.1 USDT",-38.16 USDT,13 Contracts,"01/12/2024, 09:14:43","45,189.9 USDT",-64.60%
63,ETHUSDT Perpetual,Cross,Short 100.00x,"01/12/2024, 07:56:38","2,670.56 USDT",-95.91 USDT,56 Contracts,"01/12/2024, 08:28:39","2,685.00 USDT",-64.13%
64,BCHUSDT Perpetual,Cross,Long 50.00x,"01/12/2024, 07:19:00",283.9 USDT,-11.14 USDT,51 Contracts,"01/12/2024, 07:29:47",282.0 USDT,-38.45%
65,BCHUSDT Perpetual,Cross,Long 50.00x,"01/12/2024, 07:18:09",283.6 USDT,-5.04 USDT,28 Contracts,"01/12/2024, 07:29:47",282.0 USDT,-31.70%
66,BCHUSDT Perpetual,Cross,Long 50.00x,"01/12/2024, 07:08:58",281.9 USDT,-0.17 USDT,9 Contracts,"01/12/2024, 07:29:47",282.0 USDT,-3.23%
67,BCHUSDT Perpetual,Cross,Long 50.00x,"01/12/2024, 07:08:52",281.8 USDT,-0.32 USDT,38 Contracts,"01/12/2024, 07:29:47",282.0 USDT,-1.46%
68,BCHUSDT Perpetual,Cross,Long 50.00x,"01/12/2024, 06:53:55",279.8 USDT,+44.26 USDT,227 Contracts,"01/12/2024, 07:29:47",282.0 USDT,+34.84%
69,BCHUSDT Perpetual,Cross,Long 50.00x,"01/12/2024, 03:49:28",285.7 USDT,-25.84 USDT,35 Contracts,"01/12/2024, 06:47:17",278.6 USDT,-129.20%
70,BCHUSDT Perpetual,Cross,Long 50.00x,"01/12/2024, 02:47:14",286.3 USDT,-285.17 USDT,356 Contracts,"01/12/2024, 06:47:17",278.6 USDT,-139.87%
71,BCHUSDT Perpetual,Cross,Short 50.00x,"01/12/2024, 00:59:34",290.9 USDT,+157.83 USDT,356 Contracts,"01/12/2024, 02:47:14",286.3 USDT,+76.20%
72,ETHUSDT Perpetual,Cross,Long 100.00x,"01/11/2024, 09:21:23","2,661.91 USDT",-65.90 USDT,14 Contracts,"01/11/2024, 09:38:11","2,627.20 USDT",-176.81%
73,ETHUSDT Perpetual,Cross,Long 100.00x,"01/11/2024, 09:20:36","2,656.00 USDT",-131.70 USDT,32 Contracts,"01/11/2024, 09:38:11","2,627.20 USDT",-154.95%
74,BTCUSDT Perpetual,Cross,Long 100.00x,"01/11/2024, 09:08:48","48,027.5 USDT",-36.39 USDT,5 Contracts,"01/11/2024, 09:38:11","47,537.8 USDT",-151.51%
75,BTCUSDT Perpetual,Cross,Long 100.00x,"01/11/2024, 09:08:17","48,183.5 USDT",-269.47 USDT,31 Contracts,"01/11/2024, 09:38:11","47,537.8 USDT",-180.41%
76,ETHUSDT Perpetual,Cross,Long 100.00x,"01/11/2024, 08:42:05","2,646.32 USDT",-2.44 USDT,10 Contracts,"01/11/2024, 09:19:56","2,645.74 USDT",-9.20%
77,ETHUSDT Perpetual,Cross,Long 100.00x,"01/11/2024, 08:41:02","2,641.40 USDT",+2.73 USDT,11 Contracts,"01/11/2024, 09:19:56","2,645.74 USDT",+9.42%
78,ETHUSDT Perpetual,Cross,Long 100.00x,"01/11/2024, 08:39:04","2,639.41 USDT",+5.37 USDT,12 Contracts,"01/11/2024, 09:19:56","2,645.74 USDT",+16.97%
79,ETHUSDT Perpetual,Cross,Long 100.00x,"01/11/2024, 08:36:37","2,635.41 USDT",+90.58 USDT,116 Contracts,"01/11/2024, 09:19:56","2,645.85 USDT",+29.63%
80,ETHUSDT Perpetual,Cross,Short 100.00x,"01/11/2024, 02:27:53","2,605.30 USDT",-370.61 USDT,116 Contracts,"01/11/2024, 08:36:37","2,635.41 USDT",-122.63%
81,BTCUSDT Perpetual,Cross,Short 100.00x,"01/11/2024, 01:16:23","46,091.9 USDT","-1,252.29 USDT",66 Contracts,"01/11/2024, 08:34:58","47,947.6 USDT",-411.66%
82,ETHUSDT Perpetual,Cross,Short 100.00x,"01/10/2024, 23:47:15","2,591.38 USDT",-23.09 USDT,21 Contracts,"01/11/2024, 02:21:49","2,600.00 USDT",-42.42%
83,ETHUSDT Perpetual,Cross,Short 100.00x,"01/10/2024, 22:56:13","2,614.99 USDT",+124.89 USDT,99 Contracts,"01/11/2024, 02:21:49","2,600.00 USDT",+48.24%
84,BTCUSDT Perpetual,Cross,Short 100.00x,"01/10/2024, 23:47:45","46,042.7 USDT",-34.62 USDT,30 Contracts,"01/11/2024, 01:14:16","46,112.0 USDT",-25.06%
85,BTCUSDT Perpetual,Cross,Short 100.00x,"01/10/2024, 22:56:00","46,420.1 USDT",+107.35 USDT,41 Contracts,"01/11/2024, 01:14:16","46,112.0 USDT",+56.40%
