,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,GALUSDT Perpetual,Isolated,Long 1.00x,"02/18/2024, 21:12:42",3.449 USDT,-982.58 USDT,"3,606 Contracts","02/20/2024, 04:35:17",3.187 USDT,-7.91%
1,RONUSDT Perpetual,Isolated,Long 1.00x,"02/18/2024, 10:41:54",3.292 USDT,-73.38 USDT,"3,800 Contracts","02/18/2024, 21:12:24",3.278 USDT,-0.59%
2,IDUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 15:46:39",0.6174 USDT,-203.04 USDT,"1,366 Contracts","02/18/2024, 09:02:26",0.6029 USDT,-2.41%
3,STXUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 15:47:44",1.8457 USDT,"+2,786.56 USDT",426 Contracts,"02/18/2024, 09:02:24",2.5186 USDT,+35.43%
4,BTCUSDT Perpetual,Isolated,Long 3.00x,"02/11/2024, 15:51:42","48,132.1 USDT","+1,826.63 USDT",53 Contracts,"02/18/2024, 09:02:22","51,824.3 USDT",+21.48%
5,ZETAUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 15:52:00",1.7381 USDT,"+3,530.38 USDT",486 Contracts,"02/18/2024, 09:02:19",2.4977 USDT,+41.79%
6,IMXUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 15:52:14",2.7593 USDT,"+1,374.12 USDT","2,973 Contracts","02/18/2024, 09:02:17",3.2423 USDT,+16.75%
7,TRXUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 15:58:06",0.12425 USDT,+671.98 USDT,68 Contracts,"02/18/2024, 09:02:15",0.13504 USDT,+7.95%
8,ANTUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 15:59:26",6.352 USDT,+964.26 USDT,"1,321 Contracts","02/18/2024, 09:02:13",7.108 USDT,+11.49%
9,API3USDT Perpetual,Isolated,Long 1.00x,"02/12/2024, 09:54:35",3.797 USDT,+659.20 USDT,"2,205 Contracts","02/18/2024, 09:02:09",4.134 USDT,+7.87%
10,LPTUSDT Perpetual,Isolated,Long 1.00x,"02/16/2024, 06:43:41",12.265 USDT,"+3,457.08 USDT","5,645 Contracts","02/18/2024, 09:02:07",17.945 USDT,+49.92%
11,WLDUSDT Perpetual,Isolated,Long 1.00x,"02/16/2024, 12:28:04",4.437 USDT,"+1,718.54 USDT","1,820 Contracts","02/18/2024, 09:02:02",5.394 USDT,+21.28%
12,MKRUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 16:03:29","2,011.8 USDT",+111.01 USDT,410 Contracts,"02/16/2024, 12:27:49","2,050.5 USDT",+1.34%
13,SUIUSDT Perpetual,Isolated,Long 1.00x,"02/14/2024, 07:14:12",1.9316 USDT,-455.96 USDT,"4,138 Contracts","02/16/2024, 06:43:00",1.8266 USDT,-5.71%
14,BCHUSDT Perpetual,Isolated,Long 1.00x,"02/11/2024, 16:03:10",278.3 USDT,-78.34 USDT,295 Contracts,"02/14/2024, 07:13:56",276.4 USDT,-0.96%
