,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/20/2024, 12:07:14",65.380 USDT,+138.47 USDT,902 Contracts,"02/20/2024, 14:38:55",66.961 USDT,+117.40%
1,BTCUSDT Perpetual,Cross,Long 75.00x,"02/20/2024, 12:04:52","51,343.1 USDT",+125.12 USDT,16 Contracts,"02/20/2024, 14:38:55","52,161.5 USDT",+114.23%
2,BTCUSDT Perpetual,Cross,Long 75.00x,"02/20/2024, 11:00:57","51,300.0 USDT",+222.79 USDT,27 Contracts,"02/20/2024, 14:38:55","52,161.5 USDT",+120.63%
3,BTCUSDT Perpetual,Cross,Long 75.00x,"02/20/2024, 10:02:46","51,670.6 USDT",+61.45 USDT,14 Contracts,"02/20/2024, 14:38:55","52,161.5 USDT",+63.71%
4,BTCUSDT Perpetual,Cross,Long 75.00x,"02/20/2024, 10:02:44","51,688.0 USDT",+104.89 USDT,24 Contracts,"02/20/2024, 14:38:55","52,161.5 USDT",+63.42%
5,BTCUSDT Perpetual,Cross,Long 75.00x,"02/20/2024, 10:02:44","51,688.0 USDT",+113.64 USDT,26 Contracts,"02/20/2024, 14:38:55","52,161.5 USDT",+63.42%
6,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/20/2024, 12:07:24",65.330 USDT,+114.50 USDT,720 Contracts,"02/20/2024, 14:38:55",66.966 USDT,+121.71%
7,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/20/2024, 10:48:51",65.289 USDT,+168.93 USDT,"1,044 Contracts","02/20/2024, 14:38:55",66.974 USDT,+123.92%
8,ORDIUSDT Perpetual,Cross,Long 50.00x,"02/20/2024, 10:09:19",66.380 USDT,+108.66 USDT,"1,950 Contracts","02/20/2024, 14:38:55",66.984 USDT,+41.97%
9,ETHUSDT Perpetual,Cross,Long 30.00x,"02/20/2024, 07:26:17","2,969.81 USDT",+60.71 USDT,21 Contracts,"02/20/2024, 07:45:37","3,001.71 USDT",+29.20%
10,ETHUSDT Perpetual,Cross,Long 30.00x,"02/20/2024, 07:24:29","2,963.00 USDT",+91.54 USDT,25 Contracts,"02/20/2024, 07:45:37","3,001.71 USDT",+37.07%
11,ETHUSDT Perpetual,Cross,Long 30.00x,"02/20/2024, 07:22:14","2,970.00 USDT",+79.96 USDT,27 Contracts,"02/20/2024, 07:45:37","3,001.71 USDT",+29.91%
12,TRBUSDT Perpetual,Cross,Long 50.00x,"02/20/2024, 01:49:33",144.60 USDT,+16.65 USDT,336 Contracts,"02/20/2024, 01:50:10",145.19 USDT,+17.14%
13,TRBUSDT Perpetual,Cross,Long 50.00x,"02/20/2024, 01:46:19",144.85 USDT,+15.42 USDT,640 Contracts,"02/20/2024, 01:50:09",145.23 USDT,+8.31%
14,BTCUSDT Perpetual,Cross,Long 75.00x,"02/17/2024, 08:34:25","50,877.7 USDT",+178.90 USDT,19 Contracts,"02/17/2024, 15:23:38","51,882.9 USDT",+138.80%
15,BTCUSDT Perpetual,Cross,Long 75.00x,"02/17/2024, 08:13:53","51,215.1 USDT",+84.58 USDT,14 Contracts,"02/17/2024, 15:23:38","51,882.9 USDT",+88.47%
16,BTCUSDT Perpetual,Cross,Long 75.00x,"02/17/2024, 07:35:22","51,130.0 USDT",+105.70 USDT,15 Contracts,"02/17/2024, 15:23:38","51,883.0 USDT",+103.36%
17,BTCUSDT Perpetual,Cross,Long 75.00x,"02/17/2024, 07:14:30","51,578.9 USDT",+14.41 USDT,6 Contracts,"02/17/2024, 15:23:38","51,883.0 USDT",+34.93%
18,BTCUSDT Perpetual,Cross,Long 75.00x,"02/17/2024, 07:14:28","51,578.9 USDT",+7.20 USDT,3 Contracts,"02/17/2024, 15:23:38","51,883.0 USDT",+34.93%
19,BTCUSDT Perpetual,Cross,Long 75.00x,"02/17/2024, 07:13:12","51,590.4 USDT",+51.28 USDT,21 Contracts,"02/17/2024, 15:23:38","51,883.0 USDT",+35.50%
20,BTCUSDT Perpetual,Cross,Long 75.00x,"02/17/2024, 06:41:36","51,620.0 USDT",+12.87 USDT,6 Contracts,"02/17/2024, 15:23:38","51,883.0 USDT",+31.18%
21,BTCUSDT Perpetual,Cross,Long 75.00x,"02/17/2024, 06:41:36","51,620.0 USDT",+12.87 USDT,6 Contracts,"02/17/2024, 15:23:38","51,883.0 USDT",+31.18%
22,BTCUSDT Perpetual,Cross,Long 75.00x,"02/17/2024, 06:41:08","51,620.0 USDT",+33.88 USDT,17 Contracts,"02/17/2024, 15:23:38","51,883.2 USDT",+28.95%
23,BTCUSDT Perpetual,Cross,Short 75.00x,"02/16/2024, 08:39:04","52,300.0 USDT",+16.37 USDT,6 Contracts,"02/16/2024, 08:49:16","51,990.7 USDT",+39.12%
24,BTCUSDT Perpetual,Cross,Short 75.00x,"02/16/2024, 08:39:04","52,300.0 USDT",+35.46 USDT,13 Contracts,"02/16/2024, 08:49:16","51,990.7 USDT",+39.12%
25,BTCUSDT Perpetual,Cross,Short 75.00x,"02/16/2024, 08:34:51","52,200.0 USDT",+3.45 USDT,2 Contracts,"02/16/2024, 08:49:16","51,990.7 USDT",+24.83%
26,BTCUSDT Perpetual,Cross,Short 75.00x,"02/16/2024, 08:33:45","52,133.9 USDT",+5.46 USDT,6 Contracts,"02/16/2024, 08:49:16","51,990.7 USDT",+13.11%
27,BTCUSDT Perpetual,Cross,Short 75.00x,"02/16/2024, 08:33:44","52,128.7 USDT",+7.11 USDT,7 Contracts,"02/16/2024, 08:49:16","51,990.7 USDT",+14.61%
28,BTCUSDT Perpetual,Cross,Short 75.00x,"02/16/2024, 08:33:39","52,129.9 USDT",+6.09 USDT,7 Contracts,"02/16/2024, 08:49:16","51,990.7 USDT",+12.53%
29,BTCUSDT Perpetual,Cross,Long 75.00x,"02/15/2024, 10:19:56","51,966.9 USDT",+10.63 USDT,3 Contracts,"02/15/2024, 10:40:56","52,358.0 USDT",+51.16%
30,BTCUSDT Perpetual,Cross,Long 75.00x,"02/15/2024, 10:19:39","51,974.2 USDT",+6.63 USDT,2 Contracts,"02/15/2024, 10:40:56","52,358.0 USDT",+47.85%
31,BTCUSDT Perpetual,Cross,Long 75.00x,"02/15/2024, 10:19:35","51,986.5 USDT",+9.57 USDT,3 Contracts,"02/15/2024, 10:40:56","52,358.0 USDT",+46.06%
32,BTCUSDT Perpetual,Cross,Long 75.00x,"02/15/2024, 09:40:19","51,938.4 USDT",+10.64 USDT,3 Contracts,"02/15/2024, 10:40:56","52,358.0 USDT",+51.25%
33,BTCUSDT Perpetual,Cross,Long 75.00x,"02/15/2024, 09:40:03","52,000.0 USDT",+9.26 USDT,3 Contracts,"02/15/2024, 10:40:56","52,358.0 USDT",+44.55%
34,BTCUSDT Perpetual,Cross,Long 75.00x,"02/15/2024, 09:39:44","52,000.0 USDT",+9.26 USDT,3 Contracts,"02/15/2024, 10:40:56","52,358.0 USDT",+44.55%
35,BTCUSDT Perpetual,Cross,Short 75.00x,"02/15/2024, 07:13:03","52,240.0 USDT",-1.06 USDT,1 Contracts,"02/15/2024, 09:24:38","52,308.4 USDT",-15.08%
36,BTCUSDT Perpetual,Cross,Short 75.00x,"02/15/2024, 07:12:17","52,234.0 USDT",-1.27 USDT,1 Contracts,"02/15/2024, 09:24:38","52,308.4 USDT",-18.19%
37,BTCUSDT Perpetual,Cross,Short 75.00x,"02/15/2024, 07:12:11","52,213.0 USDT",-1.48 USDT,1 Contracts,"02/15/2024, 09:24:38","52,308.4 USDT",-21.22%
38,BTCUSDT Perpetual,Cross,Short 75.00x,"02/15/2024, 07:11:45","52,230.0 USDT",-2.31 USDT,2 Contracts,"02/15/2024, 09:24:38","52,308.4 USDT",-16.52%
39,BTCUSDT Perpetual,Cross,Short 75.00x,"02/15/2024, 07:11:45","52,230.0 USDT",-1.16 USDT,1 Contracts,"02/15/2024, 09:24:38","52,308.4 USDT",-16.52%
40,BTCUSDT Perpetual,Cross,Short 75.00x,"02/15/2024, 07:11:22","52,200.1 USDT",-1.61 USDT,1 Contracts,"02/15/2024, 09:24:38","52,308.4 USDT",-23.07%
41,BTCUSDT Perpetual,Cross,Short 75.00x,"02/15/2024, 08:31:24","52,500.0 USDT",+1.57 USDT,1 Contracts,"02/15/2024, 09:24:38","52,306.3 USDT",+22.43%
42,BTCUSDT Perpetual,Cross,Short 75.00x,"02/15/2024, 08:31:24","52,500.0 USDT",+4.71 USDT,3 Contracts,"02/15/2024, 09:24:38","52,306.2 USDT",+22.45%
43,BTCUSDT Perpetual,Cross,Short 75.00x,"02/15/2024, 08:31:24","52,500.0 USDT",+3.14 USDT,2 Contracts,"02/15/2024, 09:24:38","52,305.9 USDT",+22.49%
