,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent
0,ATOMUSDT Perpetual,Cross,Long 20.00x,"02/07/2024, 00:09:26",9.271 USDT,+88.90 USDT,107 Contracts,"02/17/2024, 03:54:47",10.172 USDT,+179.24%
1,ATOMUSDT Perpetual,Cross,Long 20.00x,"02/07/2024, 00:07:49",9.269 USDT,+89.18 USDT,107 Contracts,"02/17/2024, 03:54:47",10.172 USDT,+179.82%
2,ATOMUSDT Perpetual,Cross,Long 20.00x,"02/07/2024, 00:07:12",9.268 USDT,+89.32 USDT,107 Contracts,"02/17/2024, 03:54:47",10.173 USDT,+180.13%
3,ATOMUSDT Perpetual,Cross,Long 20.00x,"02/07/2024, 00:06:38",9.265 USDT,+89.70 USDT,107 Contracts,"02/17/2024, 03:54:47",10.173 USDT,+180.97%
4,ATOMUSDT Perpetual,Cross,Long 20.00x,"02/07/2024, 00:06:27",9.260 USDT,+90.14 USDT,107 Contracts,"02/17/2024, 03:54:47",10.173 USDT,+181.94%
5,DYDXUSDT Perpetual,Cross,Long 20.00x,"01/29/2024, 10:27:37",2.772 USDT,+15.15 USDT,67 Contracts,--,3.159 USDT,+163.18%
6,DYDXUSDT Perpetual,Cross,Long 20.00x,"01/27/2024, 14:24:27",2.722 USDT,+147.98 USDT,367 Contracts,"02/16/2024, 08:16:39",3.159 USDT,+296.27%
7,DYDXUSDT Perpetual,Cross,Long 20.00x,"01/27/2024, 10:08:34",2.728 USDT,+145.38 USDT,366 Contracts,"02/16/2024, 08:16:39",3.159 USDT,+291.22%
8,DYDXUSDT Perpetual,Cross,Long 20.00x,"01/27/2024, 10:08:02",2.726 USDT,+146.11 USDT,366 Contracts,"02/16/2024, 08:16:39",3.159 USDT,+292.90%
9,DYDXUSDT Perpetual,Cross,Long 20.00x,"01/17/2024, 19:26:07",3.058 USDT,+19.78 USDT,327 Contracts,"02/16/2024, 08:16:39",3.159 USDT,+39.55%
10,DYDXUSDT Perpetual,Cross,Long 20.00x,"01/12/2024, 13:10:37",2.828 USDT,+101.49 USDT,353 Contracts,"02/16/2024, 08:16:39",3.160 USDT,+203.27%
11,DYDXUSDT Perpetual,Cross,Long 20.00x,"01/12/2024, 13:10:21",2.828 USDT,+101.76 USDT,353 Contracts,"02/16/2024, 08:16:39",3.160 USDT,+203.88%
12,DYDXUSDT Perpetual,Cross,Long 20.00x,"01/12/2024, 13:10:04",2.823 USDT,+103.82 USDT,354 Contracts,"02/16/2024, 08:16:39",3.160 USDT,+207.79%
13,DYDXUSDT Perpetual,Cross,Long 20.00x,"01/12/2024, 13:09:35",2.819 USDT,+105.00 USDT,354 Contracts,"02/16/2024, 08:16:39",3.160 USDT,+210.40%
14,DYDXUSDT Perpetual,Cross,Long 20.00x,"01/12/2024, 13:09:18",2.819 USDT,+57.98 USDT,354 Contracts,"02/16/2024, 08:16:39",3.018 USDT,+116.21%
15,TIAUSDT Perpetual,Cross,Short 20.00x,"02/13/2024, 02:13:45",19.524 USDT,+24.50 USDT,51 Contracts,"02/13/2024, 14:43:08",19.026 USDT,+49.22%
16,TIAUSDT Perpetual,Cross,Short 20.00x,"02/13/2024, 02:07:39",19.447 USDT,+20.58 USDT,51 Contracts,"02/13/2024, 14:43:08",19.026 USDT,+41.50%
17,SNXUSDT Perpetual,Cross,Long 20.00x,"02/03/2024, 17:25:27",3.110 USDT,+158.53 USDT,321 Contracts,"02/12/2024, 17:21:17",3.618 USDT,+317.61%
18,SNXUSDT Perpetual,Cross,Long 20.00x,"02/03/2024, 17:10:43",3.121 USDT,+154.23 USDT,320 Contracts,"02/12/2024, 17:21:17",3.618 USDT,+308.86%
19,INJUSDT Perpetual,Cross,Short 20.00x,"02/05/2024, 16:42:01",31.583 USDT,-1.09 USDT,316 Contracts,"02/06/2024, 21:24:25",31.610 USDT,-2.18%
20,INJUSDT Perpetual,Cross,Short 20.00x,"02/05/2024, 16:37:12",31.562 USDT,-1.75 USDT,316 Contracts,"02/06/2024, 21:24:25",31.610 USDT,-3.50%
21,INJUSDT Perpetual,Cross,Short 20.00x,"02/02/2024, 18:27:48",34.970 USDT,+96.63 USDT,285 Contracts,"02/06/2024, 21:24:25",31.610 USDT,+193.92%
22,INJUSDT Perpetual,Cross,Short 20.00x,"02/02/2024, 14:40:35",34.720 USDT,+90.59 USDT,288 Contracts,"02/06/2024, 21:24:25",31.610 USDT,+181.20%
23,INJUSDT Perpetual,Cross,Short 20.00x,"02/02/2024, 14:38:03",34.678 USDT,+89.07 USDT,288 Contracts,"02/06/2024, 21:24:25",31.610 USDT,+178.38%
24,INJUSDT Perpetual,Cross,Short 20.00x,"02/02/2024, 12:39:16",34.364 USDT,+80.52 USDT,290 Contracts,"02/06/2024, 21:24:25",31.609 USDT,+161.59%
25,INJUSDT Perpetual,Cross,Short 20.00x,"02/02/2024, 17:08:02",34.780 USDT,+70.94 USDT,287 Contracts,"02/05/2024, 13:27:44",32.319 USDT,+142.14%
26,INJUSDT Perpetual,Cross,Short 20.00x,"02/02/2024, 21:14:27",34.348 USDT,+58.95 USDT,291 Contracts,"02/05/2024, 13:27:33",32.317 USDT,+117.96%
27,INJUSDT Perpetual,Cross,Short 20.00x,"02/03/2024, 17:25:32",33.037 USDT,+21.70 USDT,302 Contracts,"02/05/2024, 13:27:29",32.306 USDT,+43.51%
28,INJUSDT Perpetual,Cross,Short 20.00x,"02/03/2024, 17:35:23",33.008 USDT,+21.05 USDT,302 Contracts,"02/05/2024, 13:27:26",32.299 USDT,+42.25%
29,OPUSDT Perpetual,Cross,Short 20.00x,"02/03/2024, 17:30:13",2.9584 USDT,-46.77 USDT,338 Contracts,"02/05/2024, 13:26:38",3.0959 USDT,-93.54%
30,OPUSDT Perpetual,Cross,Short 20.00x,"02/03/2024, 17:29:39",2.9581 USDT,-46.78 USDT,338 Contracts,"02/05/2024, 13:26:38",3.0957 USDT,-93.56%
31,OPUSDT Perpetual,Cross,Short 20.00x,"02/03/2024, 16:47:38",2.9654 USDT,-44.11 USDT,337 Contracts,"02/05/2024, 13:26:38",3.0955 USDT,-88.28%
32,OPUSDT Perpetual,Cross,Short 20.00x,"02/03/2024, 16:30:56",2.9701 USDT,-42.40 USDT,336 Contracts,"02/05/2024, 13:26:38",3.0954 USDT,-84.97%
33,IMXUSDT Perpetual,Cross,Short 20.00x,"01/23/2024, 05:03:57",1.7191 USDT,-288.54 USDT,581 Contracts,"02/01/2024, 23:37:41",2.2144 USDT,-577.79%
34,IMXUSDT Perpetual,Cross,Short 20.00x,"01/23/2024, 05:02:45",1.7208 USDT,-287.13 USDT,581 Contracts,"02/01/2024, 23:36:57",2.2136 USDT,-574.39%
35,IMXUSDT Perpetual,Cross,Short 20.00x,"01/23/2024, 05:03:40",1.7171 USDT,-292.53 USDT,582 Contracts,"02/01/2024, 23:34:18",2.2183 USDT,-585.47%
36,IMXUSDT Perpetual,Cross,Short 20.00x,"01/23/2024, 05:21:57",1.7106 USDT,-297.59 USDT,584 Contracts,"02/01/2024, 23:33:39",2.2189 USDT,-595.79%
37,IMXUSDT Perpetual,Cross,Short 20.00x,"01/23/2024, 05:03:21",1.7180 USDT,-291.37 USDT,581 Contracts,"02/01/2024, 23:33:28",2.2181 USDT,-583.84%
38,IMXUSDT Perpetual,Cross,Short 20.00x,"01/23/2024, 05:22:54",1.7113 USDT,-300.79 USDT,584 Contracts,"02/01/2024, 23:32:48",2.2250 USDT,-601.98%
39,IMXUSDT Perpetual,Cross,Short 20.00x,"01/23/2024, 05:26:10",1.7118 USDT,-301.28 USDT,584 Contracts,"02/01/2024, 23:32:43",2.2263 USDT,-602.79%
40,IMXUSDT Perpetual,Cross,Short 20.00x,"01/23/2024, 05:32:03",1.7113 USDT,-299.55 USDT,583 Contracts,"02/01/2024, 23:32:36",2.2237 USDT,-600.51%
41,IMXUSDT Perpetual,Cross,Short 20.00x,"01/23/2024, 06:01:33",1.7200 USDT,-184.02 USDT,581 Contracts,"02/01/2024, 15:11:22",2.0352 USDT,-368.31%
